"","ID","Proud","Success","Superior","Angry","Excluded","Envious","Resentful","Ashamed","Insecure","Enthusiastic","Relaxed","Anxious","Sad","Lonely"
"1127",1127,0.301514886983921,0.264546091594056,0.287882677263136,0.506901195107515,0.383981590314201,0.17503401116401,0.178885438199983,0.3209623041498,0.480856888866151,0.375324818797228,0.608942445665767,0.273176541527282,0.453032867673935,0.364490377344
"1128",1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129",1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130",1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131",1131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132",1132,0.106530560518764,0.205792134108482,0.0146215971132339,0.048401693931222,0.0109402376361621,0.00783821844221883,0.00588982303437457,0.0186540272193094,0.0695049185372211,0.110926118096294,0.251349802800853,0.0329382439908069,0.0292047760335691,0.0200629076675492
"1133",1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134",1134,0.861191637652035,0.628335058088911,0.309694528106533,1.04308927248995,0.983006404877865,0.0894427190999916,0,1.08815528184267,0.521806457817953,0.537731213378541,1.03222258235813,1.2692306238098,1.11359012499155,0.736941062490738
"1135",1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136",1136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1137",1137,0.316422705796825,0.331692794196077,0.0594338325397718,0.0698920144794888,0.0707106781186548,0.13445073840265,0.00490721773118552,0.203817271041036,0.102851672487134,0.289740597340914,0.307039523006218,0.139391761475988,0.0865683972003045,0.0540782173304433
"1138",1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139",1139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140",1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141",1141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142",1142,0.31422564386005,0.381017355577602,0.0303847118353168,0.230146270444424,0.529855975480319,0.255837441811636,0.0577350269189626,0.0493021142197282,0.194074096199097,0.424160938672748,0.28153410385715,0.277864279305435,0.37599508403971,0.278602937209845
