"","ID","Anxious","Guilty","Depressed","Confident","Happy","Inspired"
"1",1,0.315706913717018,0.350568103608678,0.225195205110763,0.0533480172196512,0.18762042066505,0.287660457594624
"2",3,0.0994781167104101,0.149962828914192,0.122286138094235,0.0744241754796258,0.115465089823111,0.0692208518825555
"3",4,0.136602992392571,0.24059078819268,0.0539540842332927,0.167040723968955,0.122955153334026,0.181441272379886
"4",5,0.278767012175154,0.331720491399217,0.234881272104459,0.221653975796023,0.273051790304655,0.215694499055392
"5",7,0.379604593141662,0.152915928948662,0.283331295115728,0.202965822131071,0.345095356905308,0.133174735021061
"6",8,0.121995902802501,0.149978633143747,0.237901076072924,0.135217962735308,0.0649612876170552,0.165358484575352
"7",11,0.112048932587396,0.146774798517046,0.105303944298314,0.107568986400571,0.261930566535755,0.0797279815500739
"8",12,0.15998811742702,0.198939163495202,0.19129896746714,0.157142088946452,0.198011795844567,0.101276108081065
"9",13,0.150835583953657,0.0706660281245291,0.117982242316388,0.138606472284176,0.0896377352407721,0.0761320525584613
"10",14,NA,NA,NA,NA,NA,NA
"11",15,0.395974612461949,0.195616327320503,0.183329069561887,0.0855937796169409,0.109128015048012,0.167965138773299
"12",16,0.188767448615489,0.075086940746425,0.211246508374767,0.218046273286575,0.198548601816156,0.194618518395846
"13",18,0.308241049161746,0.240233754766364,0.302137344436679,0.182275642368882,0.344861722572306,0.158035934684729
"14",20,0.161984234754484,0.173387299549921,0.206745910095014,0.10827620431358,0.152984507307769,0.221229837663423
"15",21,0.334638807793764,0.152185163558196,0.245489992355653,0.147027504992721,0.207220962010214,0.184230758251299
"16",22,NA,NA,NA,NA,NA,NA
"17",23,0.0820594122650702,0.0696544840783051,0.0805904950947578,0.048159776365833,0.226515750438678,0.0151942704149283
"18",24,0.0842890434936663,0.0622089092135646,0.0796399973491148,0.079930530383972,0.125210969843387,0.106497273033144
"19",25,NA,NA,NA,NA,NA,NA
"20",27,0.377446183130467,0.300826458589693,0.604562195170438,0.448314568989632,0.405900384964459,0.337828698430385
"21",28,0.216152413940084,0.174124525857679,0.28762053288653,0.101332626422569,0.141102368702337,0.112622127579544
"22",29,NA,NA,NA,NA,NA,NA
"23",30,NA,NA,NA,NA,NA,NA
"24",31,0.22299818524324,0.107955508618424,0.180972332072917,0.0441285513507732,0.0660024066307129,0.0975583467291676
"25",32,NA,NA,NA,NA,NA,NA
"26",33,NA,NA,NA,NA,NA,NA
"27",34,0.0509368632048444,0.0254635749439627,0.019307992215047,0.0467922715302818,0.0219477199776297,0.051552675242671
"28",35,0.00961851638390217,0.0134164078649987,0.00084069859897835,0.315353738061973,0.041482287089567,0.106836431649998
"29",36,0.338372813989886,0.271465554921997,0.315242931958624,0.477690415088505,0.14166712344287,0.258459493115072
"30",37,0.0193007904071567,0.0211620712700922,0.0131447051137714,0.00524065508550252,0.0144997408153627,0.00969723355959765
"31",38,0.215549864288877,0.243493762645497,0.159584361172121,0.0887168502590938,0.0952647284773094,0.0919283355679975
"32",40,0.0759650188222865,0.119318027081979,0.0743359220178519,0.1026145488716,0.121349302945925,0.0423559508954427
"33",43,0.492997767063471,0.117027586711441,0.404103978834784,0.20007428972616,0.154841366758474,0.341696611948263
"34",44,0.388588101219452,0.203881296857478,0.355671769963646,0.414214663898349,0.302983412666349,0.517150652721601
"35",45,0.458701110080756,0.434206568955769,0.484135208312456,0.521598846412311,0.671266936758697,0.501938033193393
"36",46,NA,NA,NA,NA,NA,NA
"37",47,NA,NA,NA,NA,NA,NA
"38",48,0.132255238246561,0.0729974725397309,0.0797401836797784,0.104546014932758,0.0961984497721392,0.0854019966529022
"39",51,NA,NA,NA,NA,NA,NA
"40",52,NA,NA,NA,NA,NA,NA
"41",53,0.190796575797762,0.167366670433547,0.200885146106675,0.146352561946273,0.128495042710453,0.132412604787394
"42",54,0.213774464506788,0.318993829405697,0.349893788891207,0.215512523647237,0.23723601424643,0.0900656084238556
"43",55,0.179182621420962,0.110164947712205,0.107289420759418,0.0942088228330705,0.159115560931782,0.124533379045449
"44",56,NA,NA,NA,NA,NA,NA
"45",58,0.136125477110004,0.331912648848654,0.177573600120765,0.240751806012852,0.177395987756854,0.274978052090532
"46",59,NA,NA,NA,NA,NA,NA
"47",60,0.353274776093084,0.199159815011929,0.277825138932382,0.138042321302103,0.191153015702603,0.222444901693403
"48",62,NA,NA,NA,NA,NA,NA
"49",63,0.131082379141542,0.268476423849454,0.166717735499943,0.127802481125936,0.111960059875554,0.162075535017404
"50",64,0.0832410684570993,0.190445720150084,0.118061265254788,0.0917503373979921,0.04613013532257,0.237423609546139
"51",65,0.205422701640847,0.322646932597707,0.172406401273957,0.152864176662456,0.136237788947633,0.190590312595721
"52",66,NA,NA,NA,NA,NA,NA
"53",67,0.0648830365820404,0.073689493058408,0.0999337687608155,0.0871304611591525,0.126271481341666,0.112738423610579
"54",68,NA,NA,NA,NA,NA,NA
"55",69,0,0,0.118477267341535,0.378365216925565,0.318194703756328,1.1306040625157
"56",70,0.257094563336894,0.418897477147981,0.306559424540265,0.189465485900525,0.283486475505818,0.533727202426533
"57",71,NA,NA,NA,NA,NA,NA
"58",72,0.159773215182171,0.222324070696426,0.24729323845895,0.107281048919232,0.206595232311079,0.100044845160079
"59",73,0.135231705082597,0.0655841953614525,0.0837992622199272,0.0489727564890345,0.0778084710783956,0.109202596282013
"60",74,0.0608256463740836,0.0725312259295055,0.0864651616027765,0.06522259373284,0.040337948790162,0.0518890797310384
"61",75,NA,NA,NA,NA,NA,NA
