"","ID","Happy","Excited","Relaxed","Satisfied","Angry","Anxious","Depressed","Sad"
"1",1,0.119975447533608,0.18398479958485,0.157782107817936,0.118305875247385,0.188234630862777,0.248667898723073,0.161492418237051,0.262509666815945
"2",2,0.14599489540341,0.267418711909993,0.182354908325594,0.187572469275187,0.176427135142507,0.164751542883541,0.212611620833472,0.106043870890653
"3",3,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,0.0700390981249964,0.0901748391143419,0.11941587896727,0.159808315959208,0.142184410070997,0.157570897233564,0.111142523897826,0.142248652302041
"5",6,0.0850038449631123,0.148553526966943,0.178840088572482,0.169052423659383,0.0432210900213393,0.054345507463587,0.0769822137018756,0.0425417271755274
"6",7,0.138987619189918,0.144836142810809,0.185330123459809,0.169972662463775,0.243855182161739,0.221521955456425,0.25055710659107,0.253732955743777
"7",8,0.0484277132950447,0.0833582636954032,0.108970277820469,0.117095289578973,0.126508002850409,0.134866442270457,0.109098413610084,0.157487418363426
"8",10,0.100027667410762,0.131369229669038,0.162509668108098,0.109690931152794,0.0568397637846286,0.0776361046270809,0.153885979543283,0.139624244915518
"9",11,0.0825123824182883,0.251573740050458,0.151912464116771,0.140633871509481,0.14920352999335,0.173856581802251,0.144686268689902,0.236470681130931
"10",12,0.159696850806474,0.196945546391488,0.216629773344734,0.194493243161938,0.0809962656475426,0.279895110954932,0.172735063409745,0.101537927318251
"11",13,0.0744634200320499,0.0793598040002889,0.0841717314317572,0.0928654851735866,0.0812855382723094,0.208852752774966,0.0652540291872443,0.115832391473407
"12",14,0.0978607224131735,0.175131887180286,0.225775121689726,0.149420748438266,0.0994055936665462,0.0329977806698614,0.134356724801251,0.09533145049208
"13",15,0.0944381567408913,0.12445185476591,0.175033634922507,0.0996033033998633,0.117564255333574,0.0921161252078078,0.0470625622550222,0.0505437881530308
"14",18,0.17178750223566,0.212413421648068,0.154209264697978,0.126836829140019,0.163886381396493,0.145149723394575,0.171601139909069,0.0323001635506748
"15",19,0.0636787432000301,0.0844039150510427,0.0930654435908079,0.0704360911436163,0.0750512517754669,0.0773777891674308,0.0894965315702616,0.0950750757001052
"16",21,0.141108046808947,0.26985072486974,0.122511736250833,0.101338764878134,0.165407333165423,0.0970778650034161,0.121266801741281,0.108865740035359
"17",22,0.127348093772684,0.140012822134896,0.146845947977221,0.161439841520285,0.0413090403519139,0.00492690835882225,0.0319125293794193,0.00787214810274903
"18",23,0.163164593875157,0.0722104475158841,0.10239225258,0.158465669985052,0.262446613416151,0.265882432685751,0.346024462331735,0.219881747323844
