"","ID","Cheerful","Satisfied","Happy","Insecure","Anxious","Down","Tired","Energetic"
"1",27953,NA,NA,NA,NA,NA,NA,NA,NA
"2",27954,NA,NA,NA,NA,NA,NA,NA,NA
"3",27955,NA,NA,NA,NA,NA,NA,NA,NA
"4",27956,NA,NA,NA,NA,NA,NA,NA,NA
"5",27957,0.153421443350486,0.204124120983711,0.117851413130761,0.191653820641946,0.222131377992258,0.215699866878147,0.199050222852552,0.18779548982984
"6",27958,NA,NA,NA,NA,NA,NA,NA,NA
"7",27959,NA,NA,NA,NA,NA,NA,NA,NA
"8",27966,0.0523355239970685,0.0521762517123574,0.0129772435735537,0.276664134308153,0.136457356477118,0.100999491373832,0.22692489867874,0.0851781063355658
"9",27972,0.25460852562635,0.0555119336874389,0.0872322822290273,0.319880088361714,0.0834254169875598,0.0801430473563459,0.304722174454851,0.162950280719061
"10",27984,0.136232406162729,0.194343986470357,0.149193084512462,0.115286791138061,0.109256487793115,0.121776182698788,0.158473716836127,0.143877435697833
"11",27985,NA,NA,NA,NA,NA,NA,NA,NA
"12",27987,0.120740175195756,0.0785599558948535,0.0908770624931482,0.0875200150141563,0.104119299951299,0.10456085969799,0.183439876965015,0.128663116956542
"13",27994,0.097474569053539,0.135047898556777,0.172592701271062,0.294697668040496,0.172372554214577,0.125543175242352,0.24034381938205,0.139231774758599
"14",27995,NA,NA,NA,NA,NA,NA,NA,NA
"15",27999,0.26469356498666,0.223895805245709,0.0661720770088097,0.175759311834632,0.228840282385082,0.086628316676902,0.27651896014636,0.276242901567631
"16",28004,NA,NA,NA,NA,NA,NA,NA,NA
"17",28010,NA,NA,NA,NA,NA,NA,NA,NA
"18",28012,NA,NA,NA,NA,NA,NA,NA,NA
"19",28039,NA,NA,NA,NA,NA,NA,NA,NA
"20",28063,NA,NA,NA,NA,NA,NA,NA,NA
"21",28065,NA,NA,NA,NA,NA,NA,NA,NA
"22",28081,NA,NA,NA,NA,NA,NA,NA,NA
"23",28085,NA,NA,NA,NA,NA,NA,NA,NA
"24",28092,0.134190757556698,0.133330153056594,0.117060700017794,0.149311052729348,0.155243496587806,0.208398796631197,0.159172965935564,0.115364564593649
"25",28097,0.108450048857138,0.194343441003346,0.102421751612377,0.128598054169058,0.162447300429134,0.201691009119463,0.159951440767173,0.25470967253055
"26",28116,0.218217902414896,0.18118362892675,0.134083259898138,0.158398491016004,0.168318887048801,0.127708487177231,0.107297707470362,0.221773027557348
