"","ID","Anxious","Guilty","Depressed","Confident","Happy","Inspired"
"1",1,0.327402138609721,0.330747957421879,0.225911749164952,0.0436606716496919,0.0985469703520136,0.300971084426167
"2",2,NA,NA,NA,NA,NA,NA
"3",3,0.0667785303939091,0.0526219011166194,0.102981920370341,0.0544410867587406,0.0888944772757496,0.0768701279194334
"4",4,0.206096349969413,0.214762268454854,0.115495537500927,0.140167513306808,0.173674969987676,0.1616711686956
"5",5,0.235438050808337,0.321392625610176,0.259815122266597,0.238684037997652,0.273208165923236,0.216914831066021
"6",6,NA,NA,NA,NA,NA,NA
"7",7,0.353428704361971,0.138479285711205,0.249481566365079,0.14776556457941,0.365329418465499,0.158920306249936
"8",8,0.151285039898642,0.146119118353686,0.206175807572722,0.123267228493425,0.100716338544598,0.487835872607539
"9",9,0.129379762659603,0.0275457693421029,0.091215903135993,0.0104863721337815,0.0380099482051206,0.0437945834207566
"10",10,NA,NA,NA,NA,NA,NA
"11",11,0.0986418721837846,0.170043551566758,0.0741407565343358,0.0932429532422053,0.175820026356748,0.0741362241723199
"12",12,0.204433779965563,0.212462151844299,0.176182761001154,0.177440850267482,0.216320282444951,0.0702950618183707
"13",13,0.150023455292387,0.0737717794969713,0.117599688738364,0.138672861202259,0.0946073251257309,0.0795605388369556
"14",14,0.272254333233509,0.0859543519169081,0.188343824867421,0.105168861621026,0.0939168131773924,0.503421982276011
"15",15,0.362123923022713,0.119994440406599,0.18664724756276,0.13894527961016,0.126546472794071,0.132376049518508
"16",16,0.163088590098376,0.0532449558634659,0.213752710309946,0.198631532249354,0.186888086262847,0.184891140758456
"17",17,0.0590752562138255,0.0968308212673572,0.0346562875631733,0.0109915048903411,0.000850995107971448,0.0661847508964382
"18",18,0.280970352166449,0.198785452919895,0.272947559949107,0.165064954715753,0.311285314710657,0.155049669851408
"19",19,0.0136000482997989,0.0173045233967894,0.0068634144731779,0.00212909814930076,0.016713074434785,0.0179884617002716
"20",20,0.161984234754484,0.173387299549921,0.206745910095014,0.10827620431358,0.152984507307769,0.221229837663423
"21",21,0.25177089711319,0.161475359675515,0.161038387038835,0.150318536270047,0.155592505414135,0.10157644928232
"22",22,0.070349896518237,0.0669226923200815,0.0596904468912849,0.130619399883854,0.0634278414172158,0.167412898397517
"23",23,0.124171756424423,0.0501189156877579,0.0984138659579594,0.0427266450587361,0.192384756549393,0.0209191618575618
"24",24,0.0669780202423634,0.0777420558100215,0.0628121090041729,0.0757159679491548,0.0998066756014538,0.0825956000341238
"25",25,0.0354097707496229,0.121583765300248,0.0278048446072573,0.0542613618555302,0.0801392304548003,0.0644580536919472
"26",26,0.296452346308307,0.232478530035488,0.337415163872861,0.732118526054521,0.435479867010444,0.367344840822831
"27",27,0.229379826931428,0.283331130797341,0.281935202866784,0.17996722324555,0.133394315451689,0.135646257322486
"28",28,0.211019120833451,0.0934383010111522,0.21546630045803,0.100140061334553,0.133298969261435,0.118951821808084
"29",29,0.160834161045229,0.147634093295257,0.197987357932157,0.167407920882353,0.165084301628267,0.204964790896746
"30",30,0.161050747308472,0.290884319894111,0.123348507146847,0.159449403902657,0.158418198806426,0.23334011491272
"31",31,0.127406146478464,0.0918292460191391,0.206940488319586,0.0347446032710406,0.0488928593318533,0.0830118334000356
"32",32,0.0553695780861783,0.0390867751782357,0.0718966363256125,0.081647962372972,0.0743553377310299,0.0303309697058028
"33",33,0.062402031380645,0.0682471485989495,0.0832839412070248,0.0855654311306559,0.0949903398653468,0.098536193038279
"34",34,0.044852818178094,0.0204551613198709,0.00837628068462422,0.253797439387983,0.0310065854797754,0.0462241318914771
"35",35,0.0167127710847085,0.0131644800887977,0.291024718184877,0.259067399232887,0.480939452785737,0.449819809898882
"36",36,0.357471669840481,0.235413812353851,0.412638548617768,0.372459559104006,0.0778404015560073,0.334645941063187
"37",37,0.0120197648063908,0.0163974922006365,0.00935446115608871,0.00632137251695133,0.0103938956792331,0.0120815821070848
"38",38,0.201667686775061,0.224743797441619,0.094560956011555,0.0795901707251615,0.0470898453454022,0.0652668993102555
"39",39,0.0108604540717339,0.049480080527831,0.0129500030364111,0.00480632937316326,0.0611322238208262,0.00383254405297128
"40",40,0.061732627189712,0.0736730277828126,0.0690739336300136,0.0744467714228302,0.101049316570854,0.0519426040984432
"41",41,0.235263640055329,0.0390489105087188,0.144288325621736,0.14445326701029,0.262480439160938,0.305548948158753
"42",42,0.0585169787822775,0.0403437553507333,0.166413163883373,0.428858645140698,0.0343977057165309,0.0609645574022953
"43",43,0.473310277995366,0.120870632767523,0.386119627661342,0.105669885712794,0.112905516741475,0.325986590509276
"44",44,0.291449324549575,0.28034853159981,0.283070385925543,0.380508606324813,0.296185336451394,0.321599728803818
"45",45,0.428536868876165,0.378181881891579,0.414287812827855,0.412785850402327,0.534422795571387,0.455294688526597
"46",46,0.0670293110651011,0.0798279543716236,0.0713522686902936,0.0343133845876995,0.0701354554738657,0.0586144347987483
"47",47,0.0313774155285102,0.00737605125875499,0.00360276722046299,0.0227529079548146,0.036085318546579,0.0571622337187034
"48",48,0.0974799999305706,0.0630316475470206,0.0773958279447459,0.106479128021828,0.0971153951617935,0.0692939264785069
"49",49,NA,NA,NA,NA,NA,NA
"50",50,0.146844291121886,0.13490580573048,0.148227301054627,0.0345953360811165,0.0782423087609463,0.0976402199822414
"51",51,0.267969283669587,0.32504694081463,0.219679533685675,0.0965961189165287,0.129748459683245,0.189211354301248
"52",52,0.105847980815162,0.119612446734512,0.06343508903981,0.141864295980759,0.128759959753262,0.147903433424774
