"","X","ID","day","beep","obsNumber","missed","Sad","Angry","Disappointed","Ashamed","Anxious","Stressed","Proud","Happy","Content","Relieved"
"8322",8322,254,3,10,30,1,0.02,0.03,0.86,0.82,0.03,0.03,0.01,0.03,0.02,0.91
"8323",8323,254,4,1,31,1,0.08,0.01,0.84,0.95,0.07,0.05,0.06,0.02,0.05,0.93
"8324",8324,254,4,2,32,1,0.06,0.05,0.86,0.9,0.07,0.04,0.07,0.08,0.09,0.91
"8325",8325,254,4,3,33,1,0.03,0.04,0.86,0.91,0.03,0.02,0.05,0.03,0.04,0.88
"8326",8326,254,4,4,34,1,0.06,0.02,0.81,0.91,0.12,0.05,0,0.03,0.11,0.94
"8327",8327,254,4,5,35,1,0.03,0.04,0.03,0.63,0.04,0.06,0.08,0.02,0.07,0.08
"8328",8328,254,4,6,36,1,0.04,0.04,0.83,0.81,0.11,0.05,0.07,0.04,0.08,0.03
"8329",8329,254,4,7,37,1,0,0.05,0.79,0.79,0.1,0.06,0.04,0.04,0.09,0.85
"8330",8330,254,4,8,38,1,0.05,0.1,0.78,0.85,0.03,0.11,0.07,0.01,0.02,0.87
"8331",8331,254,4,9,39,1,0.04,0.05,0.7,0.75,0.07,0.01,0.01,0.04,0.06,0.86
"8332",8332,254,4,10,40,1,0.06,0.07,0.78,0.74,0.03,0.05,0.06,0.04,0.03,0.04
"8333",8333,254,5,1,41,1,0.2,0.06,0.83,0.86,0.04,0,0.1,0.11,0.02,1
"8334",8334,254,5,2,42,1,0.08,0.04,0.8,0.86,0.03,0.8,0.07,0.04,0.05,0.98
"8335",8335,254,5,3,43,1,0.07,0.03,0.85,0.88,0,0.06,0,0.06,0.02,0.9
"8336",8336,254,5,4,44,1,0.01,0.04,0.52,0.45,0.03,0.01,0.05,0.07,0.01,0.45
"8337",8337,254,5,5,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8338",8338,254,5,6,46,1,0.07,0.03,0.03,0.04,0.03,0.06,0.04,0.07,0.08,0.07
"8339",8339,254,5,7,47,1,0.02,0.06,0.03,0.03,0.05,0.03,0.07,0.02,0.02,0.06
"8340",8340,254,5,8,48,1,0.05,0.07,0.08,0.11,0.05,0.12,0.12,0.05,0.13,0.07
"8341",8341,254,5,9,49,1,0.01,0.04,0.04,0.03,0.05,0.06,0.03,0.05,0.07,0.04
"8342",8342,254,5,10,50,1,0.05,0.01,0.02,0.04,0.07,0.04,0.04,0.03,0.01,0.04
"8343",8343,254,6,1,51,1,0.1,0.09,0.1,0.35,0.1,0.09,0.09,0.08,0.09,0.08
"8344",8344,254,6,2,52,1,0.03,0.04,0.36,0.38,0.01,0.04,0.03,0.1,0,0.35
"8345",8345,254,6,3,53,1,0,0,0.28,0.28,0,0,0,0,0.02,0.1
"8346",8346,254,6,4,54,1,0,0,0.36,0.37,0.01,0,0.01,0,0,0.23
"8347",8347,254,6,5,55,1,0.05,0,0.3,0.26,0,0,0,0.02,0,0.25
"8348",8348,254,6,6,56,1,0.01,0,0.35,0.3,0,0,0,0,0.02,0.04
"8349",8349,254,6,7,57,1,0,0.02,0.27,0.28,0,0.01,0,0,0.01,0.2
"8350",8350,254,6,8,58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8351",8351,254,6,9,59,1,0,0,0.35,0.27,0,0.01,0,0.01,0.01,0.06
"8352",8352,254,6,10,60,1,0,0,0.25,0.24,0,0.02,0.01,0.01,0,0.08
"8353",8353,254,7,1,61,1,0,0.01,0.42,0.44,0,0,0.01,0.01,0,0.2
"8354",8354,254,7,2,62,1,0.02,0.02,0.31,0.36,0.08,0.03,0.02,0,0.05,0.03
"8355",8355,254,7,3,63,1,0.02,0.04,0.33,0.33,0.04,0,0.01,0.01,0.06,0.15
"8356",8356,254,7,4,64,1,0.04,0.04,0.4,0.35,0.08,0.07,0.08,0.03,0.14,0.26
"8357",8357,254,7,5,65,1,0.09,0.09,0.37,0.37,0.11,0.08,0.07,0.12,0.1,0.23
"8358",8358,254,7,6,66,1,0.04,0.1,0.38,0.38,0.05,0.05,0.03,0.08,0.05,0.08
"8359",8359,254,7,7,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8360",8360,254,7,8,68,1,0.05,0.05,0.37,0.38,0.04,0.03,0.01,0.06,0.16,0.23
"8361",8361,254,7,9,69,1,0.11,0.06,0.35,0.29,0.05,0.06,0.03,0.05,0.04,0.21
"8362",8362,254,7,10,70,1,0.05,0.03,0.31,0.33,0.04,0.05,0.02,0.07,0.04,0.14
"8363",8363,254,8,1,71,1,0.03,0.09,0.36,0.32,0.08,0.04,0.05,0.06,0.07,0.05
"8364",8364,254,8,2,72,1,0.07,0.08,0.29,0.32,0.05,0.1,0.01,0.07,0.06,0.04
"8365",8365,254,8,3,73,1,0.03,0.06,0.3,0.28,0.05,0.03,0.02,0.03,0.04,0.14
"8366",8366,254,8,4,74,1,0.02,0.05,0.32,0.34,0.03,0.04,0.01,0.05,0.06,0.2
"8367",8367,254,8,5,75,1,0.07,0.06,0.33,0.28,0.01,0.04,0.04,0.03,0.02,0.06
"8368",8368,254,8,6,76,1,0.06,0.07,0.31,0.29,0.06,0.04,0.06,0.07,0.08,0.08
"8369",8369,254,8,7,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8370",8370,254,8,8,78,1,0.08,0.03,0.32,0.29,0.04,0.04,0.04,0.06,0.02,0.05
"8371",8371,254,8,9,79,1,0.12,0.02,0.3,0.28,0.02,0.04,0.05,0.08,0.02,0.08
"8372",8372,254,8,10,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8373",8373,254,9,1,81,1,0.04,0.1,0.29,0.33,0.05,0.06,0.02,0.04,0.02,0.02
"8374",8374,254,9,2,82,1,0.1,0.06,0.33,0.19,0.02,0.07,0.02,0.02,0.03,0.02
"8375",8375,254,9,3,83,1,0.06,0.06,0.09,0.25,0.06,0.23,0.08,0.09,0.05,0.07
"8376",8376,254,9,4,84,1,0.01,0.03,0.33,0.35,0.04,0.04,0.04,0.04,0.03,0.05
"8377",8377,254,9,5,85,1,0.04,0.07,0.31,0.31,0.08,0.07,0.02,0.09,0.06,0.05
"8378",8378,254,9,6,86,1,0.06,0.05,0.25,0.36,0.06,0.08,0.03,0.04,0.11,0.08
"8379",8379,254,9,7,87,1,0.08,0.06,0.28,0.3,0.06,0.06,0.05,0.04,0.05,0.08
"8380",8380,254,9,8,88,1,0.05,0.03,0.41,0.38,0.05,0.04,0,0.05,0.05,0.07
"8381",8381,254,9,9,89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8382",8382,254,9,10,90,1,0.04,0.06,0.33,0.36,0.09,0.02,0.05,0.03,0.06,0.06
"8383",8383,255,1,1,1,1,0.62,0.06,0.5,0.49,0.49,0.71,0.43,0.3,0.29,0.19
"8384",8384,255,1,2,2,1,0.52,0.16,0.45,0.42,0.13,0.87,0.06,0.19,0.45,0.2
