"","X","ID","day","beep","observationID","missing","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"72",72,104,6,3,18,0,0,0.25,0,0,0,0,0.5,0.5
"73",73,105,1,1,1,0,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0
"74",74,105,1,2,2,0,1,0.5,0.25,0.25,0.5,0.5,0.25,0
"75",75,105,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,105,2,1,4,0,0.75,0.5,0.5,0.75,0.25,0,0,0
"77",77,105,2,2,5,0,0.75,0.5,0.25,0.75,0.25,0,0,0
"78",78,105,2,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,105,3,1,7,0,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0.5
"80",80,105,3,2,8,0,0.5,0.5,0.25,0.75,0.25,0.25,0.25,0
"81",81,105,3,3,9,0,0.75,0.5,0,0.75,0.25,0,0,0
"82",82,105,4,1,10,0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"83",83,105,4,2,11,0,0.5,0.75,0,0.5,0,0,0.25,0
"84",84,105,4,3,12,0,0.5,0.75,0.25,0.75,0,0,0,0
"85",85,105,5,1,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,105,5,2,14,0,0.25,0.5,0,0.5,0.25,0,0,0
"87",87,105,5,3,15,0,0.25,0.25,0,0.75,0,0,0.25,0
"88",88,105,6,1,16,0,0.25,0.5,0,0.25,0.25,0,0,0
"89",89,105,6,2,17,0,0,0.25,0,0.25,0.5,0.75,0.5,0.5
"90",90,105,6,3,18,0,0.25,0.25,0,1,0,0.25,0.25,0
"91",91,106,1,1,1,0,0,0.25,0.5,0.25,0,0,0.75,0.5
"92",92,106,1,2,2,0,0,0,0,0,0,0,0.5,0
"93",93,106,1,3,3,0,0,0,0.25,0,0,0,0.25,0.25
"94",94,106,2,1,4,0,0,0.25,0,0.25,0,0,0.5,0.25
"95",95,106,2,2,5,0,0,0.5,0.25,0.25,0,0,0.25,0.25
"96",96,106,2,3,6,0,0,0.5,0,0.25,0,0,0.5,0
"97",97,106,3,1,7,0,0,0,0.25,0.5,0,0,0.5,0.25
"98",98,106,3,2,8,0,0,0.25,0,0,0,0,0.5,0.5
"99",99,106,3,3,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,106,4,1,10,0,0,0.25,0,0.25,0.25,0,0.25,0.25
"101",101,106,4,2,11,0,0,0,0,0,0,0,0.25,0.25
"102",102,106,4,3,12,0,0,0.25,0,0,0,0,0.5,0.25
"103",103,106,5,1,13,0,0,0,0,0,0,0,0.5,0.25
"104",104,106,5,2,14,0,0,0,0.25,0.25,0.25,0,0.5,0.25
"105",105,106,5,3,15,0,0.25,0,0,0,0.25,0,0.5,0.25
"106",106,106,6,1,16,0,0,0,0,0.25,0,0,0.5,0.5
"107",107,106,6,2,17,1,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,106,6,3,18,0,0,0,0,0,0.25,0,0.5,0.25
"109",109,107,1,1,1,0,0,0,0,0,0,0,0.75,0.75
"110",110,107,1,2,2,0,0,0,0,0,0,0,0.5,0.25
"111",111,107,1,3,3,0,0,0,0,0,0,0,0.75,0.75
"112",112,107,2,1,4,0,0,0,0,0,0,0,0.5,0.25
"113",113,107,2,2,5,0,0,0,0,0,0,0,0.5,0.25
"114",114,107,2,3,6,0,0,0,0,0,0,0,0.75,0.5
"115",115,107,3,1,7,0,0,0,0,0,0,0,0.25,0
"116",116,107,3,2,8,0,0,0,0,0,0,0,0.25,0
"117",117,107,3,3,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,107,4,1,10,0,0,0,0,0.25,0,0,0.5,0.75
"119",119,107,4,2,11,0,0,0,0,0.25,0,0,0.25,0.25
"120",120,107,4,3,12,0,0.25,0.5,0,0,0,0,0.25,0
"121",121,107,5,1,13,0,0,0.25,0,0,0,0,0.5,0.25
"122",122,107,5,2,14,0,0,0,0,0,0,0,0.5,0.5
"123",123,107,5,3,15,0,0,0,0,0,0,0,0.5,0.25
"124",124,107,6,1,16,0,0,0,0,0,0,0,0.25,0.25
"125",125,107,6,2,17,0,0,0,0,0,0,0,0.25,0.5
"126",126,107,6,3,18,0,0,0,0,0,0,0,0.75,0.75
"127",127,108,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,108,1,2,2,0,0,0,0.25,0.25,0,0,1,0.75
"129",129,108,1,3,3,0,0,0,0,0,0,0,1,0.5
"130",130,108,2,1,4,0,0,0,0,0.5,0,0,1,0.25
"131",131,108,2,2,5,0,0,0,0.5,0.5,0.25,0,0.5,0.5
