"","X","ID","day","beep","obsNumber","missed","Angry","Anxiety","Guilty","Sad","Happy","Relaxed","Confident"
"88",88,2,2,6,15,0,0.04,0.14,0.11,0.17,0.87,0.71,0.66
"89",89,2,2,7,16,0,0.14,0.08,0.16,0.25,0.77,0.63,0.73
"90",90,2,3,1,17,0,0.13,0.35,0.14,0.4,0.66,0.55,0.68
"91",91,2,3,2,18,0,0.13,0.13,0.1,0.18,0.8,0.7,0.79
"92",92,2,3,3,19,0,0.12,0.14,0.1,0.16,0.78,0.77,0.71
"93",93,2,3,4,20,0,0,0.12,0,0.2,0.71,0.73,0.68
"94",94,2,3,5,21,0,0.16,0.1,0.04,0.2,0.83,0.73,0.78
"95",95,2,3,6,22,0,0.1,0.1,0.15,0.14,0.8,0.75,0.82
"96",96,2,3,7,23,0,0.14,0.1,0,0.06,0.84,0.8,0.79
"97",97,2,3,8,24,0,0.18,0.21,0.02,0.18,0.73,0.86,0.81
"98",98,2,3,9,25,0,0.16,0.3,0.08,0.57,0.71,0.66,0.7
"99",99,2,3,10,26,0,0,0.04,0.14,0.14,0.85,0.75,0.71
"100",100,2,4,1,27,0,0,0,0.07,0.12,0.69,0.69,0.76
"101",101,2,4,2,28,0,0.2,0,0.09,0.14,0.75,0.8,0.71
"102",102,2,4,3,29,0,0.11,0.14,0.14,0,0.8,0.78,0.73
"103",103,2,4,4,30,0,0.06,0.23,0,0,0.78,0.83,0.83
"104",104,2,4,5,31,1,NA,NA,NA,NA,NA,NA,NA
"105",105,2,4,6,32,0,0.25,0.13,0.03,0.05,0.81,0.8,0.78
"106",106,2,4,7,33,0,0.15,0.19,0,0.23,0.83,0.76,0.86
"107",107,2,4,8,34,0,0.04,0.05,0,0,0.82,0.81,0.78
"108",108,2,4,9,35,0,0.19,0.12,0.03,0.09,0.79,0.73,0.75
"109",109,2,4,10,36,0,0.09,0.09,0,0.07,0.79,0.76,0.88
"110",110,2,4,11,37,0,0.04,0.18,0,0.14,0.83,0.75,0.73
"111",111,2,5,1,38,0,0,0.02,0.03,0.09,0.68,0.72,0.79
"112",112,2,5,2,39,0,0.1,0.05,0.02,0.12,0.71,0.83,0.79
"113",113,2,5,3,40,0,0.19,0.23,0.14,0.18,0.8,0.82,0.8
"114",114,2,5,4,41,0,0.06,0.1,0.06,0.15,0.83,0.84,0.88
"115",115,2,5,5,42,0,0,0.08,0,0.05,0.81,0.77,0.8
"116",116,2,5,6,43,0,0.03,0,0,0,0.83,0.04,0.85
"117",117,2,5,7,44,0,0.14,0.11,0,0,0.8,0.82,0.83
"118",118,2,5,8,45,0,0.09,0.02,0.06,0.04,0.89,0.89,0.86
"119",119,2,5,9,46,0,0.03,0,0.04,0.01,0.85,0.81,0.83
"120",120,2,5,10,47,0,0,0.12,0,0,0.76,0.76,0.8
"121",121,2,6,1,48,0,0.02,0,0.16,0.07,1,0.78,0.84
"122",122,2,6,2,49,0,0.04,0.16,0.05,0.19,0.83,0.79,0.8
"123",123,2,6,3,50,0,0,0.04,0.28,0.04,1,0.83,0.95
"124",124,2,6,4,51,0,0.22,0.16,0.14,0.08,0.79,0.75,0.78
"125",125,2,6,5,52,1,NA,NA,NA,NA,NA,NA,NA
"126",126,2,6,6,53,1,NA,NA,NA,NA,NA,NA,NA
"127",127,2,6,7,54,0,0.3,0.05,0.07,0.11,0.79,0.79,0.83
"128",128,2,6,8,55,0,0.1,0.28,0.13,0.27,0.83,0.71,0.84
"129",129,2,6,9,56,1,NA,NA,NA,NA,NA,NA,NA
"130",130,2,7,1,57,0,0.1,0.09,0.12,0.16,0.78,0.8,0.8
"131",131,2,7,2,58,0,0.16,0.22,0.12,0.21,0.82,0.83,NA
"132",132,2,7,3,59,0,0.15,0.16,0.16,0.24,0.84,0.83,0.85
"133",133,2,7,4,60,0,0.06,0.12,0.16,0.08,0.85,0.07,0.81
"134",134,2,7,5,61,0,0.06,0.1,0.09,0.11,0.84,0.79,0.88
"135",135,2,7,6,62,0,0.17,0.15,0.18,0.1,0.85,0.12,0.81
"136",136,2,7,7,63,0,0.12,0.09,0.06,0.18,0.9,0.85,0.96
"137",137,2,7,8,64,1,NA,NA,NA,NA,NA,NA,NA
"138",138,2,7,9,65,0,0.08,0.23,0.9,0.22,0.82,0.12,0.72
"139",139,2,7,10,66,0,0,0.02,0.08,0.22,0.89,0.76,0.79
"140",140,2,7,11,67,0,0,0.25,0.08,0.19,0.85,0.73,0.83
"141",141,3,1,1,0,0,0,0.77,0,0,0,0.08,0.1
"142",142,3,1,2,1,0,0,0.18,NA,0,NA,0.46,0.19
"143",143,3,1,3,2,0,0,0.26,0.16,0,0.04,0.27,0.22
"144",144,3,1,4,3,0,0,0.13,0,0,0.08,0.27,0.16
"145",145,3,1,5,4,0,0,0.04,0,0,0.11,0.06,0.03
"146",146,3,1,6,5,1,NA,NA,NA,NA,NA,NA,NA
"147",147,3,1,7,6,0,0,0.23,0,0,0.36,0.09,0.13
"148",148,3,1,8,7,0,0,0,0.21,0,0.34,0.49,0.27
"149",149,3,1,9,8,0,0,0,0,0,0.14,0.38,0.05
"150",150,3,2,1,9,0,0,0.02,0,0,0.27,0.45,0.19
"151",151,3,2,2,10,0,0,0.04,0,0,0.24,0.14,0.08
"152",152,3,2,3,11,0,0,0.36,0,0,0.11,0.56,0.12
"153",153,3,2,4,12,0,0.3,0.4,0,0,0.14,0.3,0.05
"154",154,3,2,5,13,0,0,0.15,0,0,0.06,0.32,0.13
"155",155,3,2,6,14,0,0,0.56,0.55,0.06,0.29,0.25,0.02
"156",156,3,2,7,15,0,0,0.07,0.1,0,0.24,0.37,0.01
"157",157,3,2,8,16,0,0,0.2,0.6,0,1,0.6,0
"158",158,3,2,9,17,0,0,0.6,0.28,0,0.73,0.31,0.06
"159",159,3,2,10,18,0,0.1,0.09,0.25,0,0.19,0.51,0.27
"160",160,3,3,1,19,0,0,0.27,0.23,0,0.12,0.24,0.1
"161",161,3,3,2,20,0,0,0.13,0.06,0,0.35,0.52,0.09
"162",162,3,3,3,21,0,0,0.01,0,0,0.27,0.39,0.09
"163",163,3,3,4,22,0,0,0.14,0,0,0.57,0.25,0.44
"164",164,3,3,5,23,0,0,0.05,0,0,0.32,0.59,0.62
"165",165,3,3,6,24,0,0,0.02,0,0,0.38,0.26,0.09
"166",166,3,3,7,25,0,0,0,0.38,0,0.55,0.75,0.05
"167",167,3,3,8,26,0,0,0,0.35,0,0.57,0.65,0.11
"168",168,3,3,9,27,0,0.13,0.5,1,1,0,0,0
"169",169,3,3,10,28,0,0.13,0.37,1,1,0,0.37,0.08
"170",170,3,4,1,29,0,0.63,0.43,0.22,1,0,0.17,0.06
"171",171,3,4,2,30,0,0.02,0.07,0.12,0.53,0,0.18,0.06
"172",172,3,4,3,31,0,0,0.06,0.14,0.41,0.14,0.26,0
"173",173,3,4,4,32,0,0,0.05,0,0.16,0.13,0.34,0.03
"174",174,3,4,5,33,0,0,0,0.25,0.3,0.29,0.66,0.06
"175",175,3,4,6,34,0,0,0.1,0.68,0.12,0.41,0.79,0.03
"176",176,3,4,7,35,0,0,0.14,0.42,0.09,0.23,0.63,0.29
"177",177,3,4,8,36,0,0,0.12,0.21,0.11,0.21,0.71,0.05
"178",178,3,4,9,37,0,0,0.15,0.2,0.24,0,0.6,0.12
"179",179,3,4,10,38,1,NA,NA,NA,NA,NA,NA,NA
"180",180,3,5,1,39,1,NA,NA,NA,NA,NA,NA,NA
"181",181,3,5,2,40,0,0,0.12,0.06,0.23,0.17,0.74,0.03
"182",182,3,5,3,41,0,0,0.34,0.71,0.25,0.06,0.55,0.13
"183",183,3,5,4,42,0,0,0.01,0.07,0.14,0.41,0.9,0.03
"184",184,3,5,5,43,0,0,0.25,0.11,0.07,0.11,0.61,0.01
"185",185,3,5,6,44,0,0,0.31,0.02,0.08,0.06,0.35,0.04
"186",186,3,5,7,45,0,0,0.71,0,0.02,0.07,0.32,0.11
"187",187,3,5,8,46,0,0,0.2,0,0,0.6,0.66,0.03
"188",188,3,5,9,47,0,0,0.25,0,0,0.76,0.77,0.12
"189",189,3,5,10,48,0,0,0.03,0.05,0,1,0.73,0.06
"190",190,3,5,11,49,0,0,0,0.13,0,0.56,0.6,0.02
"191",191,3,6,1,50,0,0,0.55,0.28,0,0.07,0.8,0.04
"192",192,3,6,2,51,1,NA,NA,NA,NA,NA,NA,NA
"193",193,3,6,3,52,1,NA,NA,NA,NA,NA,NA,NA
"194",194,3,6,4,53,0,0.68,0.64,0.07,0.59,0,0.6,0.04
"195",195,3,6,5,54,0,0.22,0.41,0.02,0.23,0.05,0.57,0.04
"196",196,3,6,6,55,0,0,0.46,0.28,0.06,0.22,0.41,0.05
"197",197,3,7,1,56,0,0,0.06,0.05,0,0.54,0.56,0.26
"198",198,3,7,2,57,1,NA,NA,NA,NA,NA,NA,NA
"199",199,3,7,3,58,0,0,0.16,0,0,0.22,0.19,0.11
"200",200,3,7,4,59,0,0,0.17,0,0,0.26,0.31,0.04
"201",201,3,7,5,60,0,0,0,0,0,0.38,0.58,0.05
"202",202,3,7,6,61,0,0,0,0.15,0,0.32,0.78,0.06
"203",203,3,7,7,62,0,0,0,0,0,0.19,0.85,0.01
"204",204,3,7,8,63,0,0,0,0,0,0.26,1,0.02
"205",205,3,7,9,64,1,NA,NA,NA,NA,NA,NA,NA
"206",206,3,7,10,65,1,NA,NA,NA,NA,NA,NA,NA
"207",207,3,8,1,66,0,0,0.49,0,0,0.35,0.52,0.06
"208",208,3,8,2,67,0,0,0.28,0,0,0.12,0.7,0.02
"209",209,4,1,1,0,0,0,0.02,0.01,0,1,0.04,1
"210",210,4,1,2,1,0,0,0.58,0,0,0.59,0.33,0.62
"211",211,4,1,3,2,0,0.86,0.37,0,0,0.39,0.35,0.85
"212",212,4,1,4,3,0,0.05,0,0.04,0,0.76,0.64,0.76
"213",213,4,1,5,4,0,0,0,0.04,0,0.81,1,0.78
"214",214,4,1,6,5,0,0,0.73,1,0,0.81,0.99,1
"215",215,4,1,7,6,0,0,0.01,0,0,0.86,1,0.71
"216",216,4,1,8,7,0,0,0.74,0.02,0,0.77,0.31,0.75
"217",217,4,1,9,8,0,0,0.01,0.01,0,1,1,0.81
"218",218,4,2,1,9,0,0,0,0,0,0.77,1,0.76
"219",219,4,2,2,10,0,0,0.02,0,0,0.8,1,0.74
"220",220,4,2,3,11,0,0,0,0,0,0.77,0.86,0.72
"221",221,4,2,4,12,0,0,0,0,0.24,0.65,1,0.68
"222",222,4,2,5,13,0,0,0,0,0,0.91,1,0.65
"223",223,4,2,6,14,0,0,0.64,0,0.6,0.27,0.33,0.31
"224",224,4,2,7,15,1,NA,NA,NA,NA,NA,NA,NA
"225",225,4,2,8,16,1,NA,NA,NA,NA,NA,NA,NA
"226",226,4,2,9,17,1,NA,NA,NA,NA,NA,NA,NA
"227",227,4,2,10,18,0,0,0.68,0,0,0.63,0.81,0.72
"228",228,4,2,11,19,1,NA,NA,NA,NA,NA,NA,NA
"229",229,4,2,12,20,0,0,0,0,0,0.74,1,0.72
"230",230,4,3,1,21,0,0.01,0,0,0.01,0.66,0.87,0.62
"231",231,4,3,2,22,0,0,0.24,0.21,0,0.66,0.34,0.29
"232",232,4,3,3,23,0,0,0.16,0.04,0,0.67,0.88,0.68
"233",233,4,3,4,24,0,0.07,0.61,0.63,0.64,0.42,0.32,0.68
"234",234,4,3,5,25,0,0,0.63,0.24,0,0.83,1,0.68
"235",235,4,3,6,26,0,0,0.28,0.61,0.06,0.6,0.56,0.27
"236",236,4,3,7,27,1,NA,NA,NA,NA,NA,NA,NA
"237",237,4,3,8,28,1,NA,NA,NA,NA,NA,NA,NA
"238",238,4,3,9,29,1,NA,NA,NA,NA,NA,NA,NA
"239",239,4,3,10,30,0,0,0.14,0.68,0.13,0.68,1,0.67
"240",240,4,4,1,31,0,0.07,0.1,0.59,0.33,0.73,1,0.58
"241",241,4,4,2,32,0,0.6,0.61,0.18,0.62,0.61,1,0.33
"242",242,4,4,3,33,0,0.3,0.26,0.09,0.27,0.66,1,0.37
"243",243,4,4,4,34,0,0,0,0,0,0.71,0,0.78
"244",244,4,4,5,35,0,0,0.24,0,0,0.76,0.68,0.74
"245",245,4,4,6,36,0,0,0.13,0.17,0.14,0.68,0.68,0.72
"246",246,4,4,7,37,0,0.14,0,0,0,0.72,1,0.8
"247",247,4,4,8,38,0,0,0.13,0.08,0.11,0.74,0.88,0.71
"248",248,4,4,9,39,0,0,0.21,0,0.05,0.63,0.74,0.66
"249",249,4,4,10,40,0,0,0.15,0,0,0.66,0.75,0.76
"250",250,4,4,11,41,0,0,0.68,0,0.04,0.81,0.35,0.74
"251",251,4,5,1,42,0,0,0.03,0,0,0.79,1,0.77
"252",252,4,5,2,43,0,0.59,0.6,0.73,0.22,0.57,0.61,0.67
"253",253,4,5,3,44,0,0,0.6,0,0.61,0.38,1,0.59
"254",254,4,5,4,45,0,0,0.66,0.77,0.17,0.61,0.7,0.72
"255",255,4,5,5,46,0,0,0.6,0,0.2,0.84,0.32,0.68
"256",256,4,5,6,47,0,0,0.63,0.13,0.24,0.73,0.77,0.28
"257",257,4,5,7,48,0,0,0,0,0,0.72,0.86,0.75
"258",258,4,5,8,49,0,0,0,0,0,0.83,0.9,0.8
"259",259,4,5,9,50,0,0.13,0.18,0.61,0,0.8,1,0.86
"260",260,4,5,10,51,0,0,0,0,0.11,0.82,1,0.79
"261",261,4,6,1,52,0,0,0,0.03,0.2,0.72,1,0.79
"262",262,4,6,2,53,1,NA,NA,NA,NA,NA,NA,NA
"263",263,4,6,3,54,0,0,0.24,0.15,0.29,0.63,0.79,0.69
"264",264,4,6,4,55,0,0.02,0.66,0.63,0.27,0.62,0.24,0.37
"265",265,4,6,5,56,0,0,0.14,0.18,0.63,0.59,0.68,0.37
"266",266,4,6,6,57,0,0.13,0.59,0,0,0.6,0.37,0.61
"267",267,4,6,7,58,1,NA,NA,NA,NA,NA,NA,NA
"268",268,4,6,8,59,1,NA,NA,NA,NA,NA,NA,NA
"269",269,4,6,9,60,1,NA,NA,NA,NA,NA,NA,NA
"270",270,4,7,1,61,0,0,0,0.02,0,0.78,0.87,0.76
"271",271,4,7,2,63,0,0,0.5,0.67,0,0.64,1,0.74
"272",272,4,7,3,64,0,0.11,0.27,0,0.08,0.64,0.78,0.63
"273",273,4,7,4,65,0,0.1,0.28,0,0,0.66,0.84,0.74
"274",274,4,7,5,66,1,NA,NA,NA,NA,NA,NA,NA
"275",275,4,7,6,67,1,NA,NA,NA,NA,NA,NA,NA
"276",276,4,7,7,68,1,NA,NA,NA,NA,NA,NA,NA
"277",277,4,7,8,69,1,NA,NA,NA,NA,NA,NA,NA
"278",278,4,7,9,70,0,0.02,0,0,0,0.68,0.34,0.77
"279",279,5,1,1,0,0,0.07,1,0.25,0,1,1,0.98
"280",280,5,1,2,1,0,0,0.01,0.02,0,1,0.33,0.83
"281",281,5,1,3,2,0,0,0.3,0,0,1,0.28,0.43
"282",282,5,1,4,3,0,0,0,0,0,1,0.95,0.81
"283",283,5,1,5,4,0,0,0,0,0,1,0.49,0.78
"284",284,5,1,6,5,1,NA,NA,NA,NA,NA,NA,NA
"285",285,5,1,7,6,0,0,0,0,0.01,0.83,0.7,1
"286",286,5,1,8,7,0,1,0.16,0.78,0,1,0.36,0.61
"287",287,5,1,9,8,0,0.9,0,0,0,1,0.34,0.79
"288",288,5,1,10,9,0,0,0,0,0,1,0.81,0.8
"289",289,5,1,11,10,0,0,0,0,0,1,0.17,0.7
"290",290,5,2,1,11,0,0.06,0.69,0.09,0.1,1,0.14,0.62
"291",291,5,2,2,12,1,NA,NA,NA,NA,NA,NA,NA
"292",292,5,2,3,13,0,0,0.1,0.73,0,0.74,0.24,0.77
"293",293,5,2,4,14,0,0.09,0.08,0.28,0.13,0.92,0.2,0.86
"294",294,5,2,5,15,0,0.12,0.04,0.19,0,1,0.78,0.68
"295",295,5,2,6,16,1,NA,NA,NA,NA,NA,NA,NA
"296",296,5,2,7,17,1,NA,NA,NA,NA,NA,NA,NA
"297",297,5,2,8,18,1,NA,NA,NA,NA,NA,NA,NA
"298",298,5,2,9,19,1,NA,NA,NA,NA,NA,NA,NA
"299",299,5,2,10,20,1,NA,NA,NA,NA,NA,NA,NA
"300",300,5,2,11,21,1,NA,NA,NA,NA,NA,NA,NA
"301",301,5,3,1,22,0,0,0,0,0,1,0.68,0.84
"302",302,5,3,2,23,0,0.15,0.17,0.94,0.14,0.88,0.79,0.83
"303",303,5,3,3,24,0,0,0.02,0.03,0.03,0.87,0.79,0.88
"304",304,5,3,4,25,0,0.16,0.18,0.11,0.1,1,0.49,0.77
"305",305,5,3,5,26,0,0.03,0.02,0.44,0.04,0.82,0.31,0.65
"306",306,5,3,6,27,0,0.04,0.05,0.03,0.11,0.32,0.7,0.26
"307",307,5,3,7,28,1,NA,NA,NA,NA,NA,NA,NA
"308",308,5,3,8,29,1,NA,NA,NA,NA,NA,NA,NA
"309",309,5,3,9,30,0,0.1,0.14,0.11,0.04,0.78,0.12,0.71
"310",310,5,3,10,31,0,0.03,0.14,0.06,0.1,0.86,0.16,0.21
"311",311,5,3,11,32,0,0.11,0.19,0.11,0.06,0.92,0.27,0.74
"312",312,5,4,1,33,0,0.08,0.07,0.05,0,0.93,0.21,0.82
"313",313,5,4,2,34,1,NA,NA,NA,NA,NA,NA,NA
"314",314,5,4,3,35,1,NA,NA,NA,NA,NA,NA,NA
"315",315,5,4,4,36,1,NA,NA,NA,NA,NA,NA,NA
"316",316,5,4,5,37,0,0.08,0.12,0.04,0.15,1,0.85,0.95
"317",317,5,4,6,38,0,0.17,0.2,0.4,0.1,0.91,0.75,0.7
"318",318,5,4,7,39,0,0.06,0.15,0.14,0.04,1,0.68,0.76
"319",319,5,4,8,40,1,NA,NA,NA,NA,NA,NA,NA
"320",320,5,4,9,41,0,0,0,0,0,1,0.81,0.12
"321",321,5,4,10,42,1,NA,NA,NA,NA,NA,NA,NA
"322",322,5,5,1,43,1,NA,NA,NA,NA,NA,NA,NA
"323",323,5,5,2,44,0,0.17,0.01,0.11,0,0.79,0.9,0.8
"324",324,5,5,3,45,0,0.11,NA,NA,NA,NA,NA,NA
"325",325,5,5,4,46,0,0.11,0.27,0.14,0.02,1,0.16,0.74
"326",326,5,5,5,47,0,0.02,0.12,0.04,0.09,0.88,0.78,0.88
"327",327,5,5,6,48,0,0.01,0.06,0.04,0.02,0.97,0.74,0.72
"328",328,5,5,7,49,1,NA,NA,NA,NA,NA,NA,NA
"329",329,5,5,8,50,0,0.06,0.11,0.08,0.16,0.99,0.93,0.99
"330",330,5,5,9,51,1,NA,NA,NA,NA,NA,NA,NA
"331",331,5,6,1,52,0,0,0,0.06,0,0.92,0.26,0.92
"332",332,5,6,2,53,1,NA,NA,NA,NA,NA,NA,NA
"333",333,5,6,3,54,1,NA,NA,NA,NA,NA,NA,NA
"334",334,5,6,4,55,1,NA,NA,NA,NA,NA,NA,NA
"335",335,5,6,5,56,1,NA,NA,NA,NA,NA,NA,NA
"336",336,5,6,6,57,0,0.66,0.75,0.06,0.63,0.29,0.67,0.14
"337",337,5,6,7,58,1,NA,NA,NA,NA,NA,NA,NA
"338",338,5,6,8,59,1,NA,NA,NA,NA,NA,NA,NA
"339",339,5,6,9,61,0,0,0,0.13,0.11,0.92,0.12,0.87
"340",340,6,1,1,0,0,0.79,0.17,0.24,0.23,0.88,0.98,1
"341",341,6,1,2,1,0,0.07,0.25,0,0.14,0.99,0.97,0.77
"342",342,6,1,3,2,0,0.01,0.08,0.4,0.04,0.81,1,1
"343",343,6,1,4,3,0,0,0.03,0.11,0.02,0.87,1,0.61
"344",344,6,1,5,4,1,NA,NA,NA,NA,NA,NA,NA
"345",345,6,1,6,5,1,NA,NA,NA,NA,NA,NA,NA
"346",346,6,1,7,6,0,0,0.75,0.13,0.23,0.65,0.37,1
"347",347,6,1,8,7,0,0.11,0.65,0.14,0.13,0.7,0.28,0.72
"348",348,6,1,9,8,0,0,0.82,0,0.2,0.74,0.27,0.35
"349",349,6,1,10,9,0,0.01,0.28,0,0.05,1,0.69,0.78
"350",350,6,2,1,10,0,0,0.2,0,0.09,0.84,0.39,0.64
"351",351,6,2,2,11,0,0,0.11,0.07,0.34,0.87,1,0.78
"352",352,6,2,3,12,0,0.02,0.01,0.04,0,0.97,0.85,1
"353",353,6,2,4,13,0,0.37,0.2,0.12,0.15,0.95,0.68,0.42
"354",354,6,2,5,14,0,0.01,0.67,0.04,0,0.76,0.3,0.71
