"","X","ID","day","beep","obsNumber","missed","Angry","Anxiety","Guilty","Sad","Happy","Relaxed","Confident"
"1",1,1,1,1,0,0,0.25,0.13,0,0.2,0.6,0.66,0.69
"2",2,1,1,2,1,0,0.3,0.21,0,0.26,0.8,0.67,0.3
"3",3,1,1,3,2,0,0.04,0.08,0,0.12,0.69,0.69,0.6
"4",4,1,1,4,3,0,0.08,0.67,0,0.07,0.61,0.41,0.33
"5",5,1,1,5,4,0,0.3,0.69,0,0.32,0.37,0.27,0.29
"6",6,1,1,6,5,0,0.2,0.75,0.17,0.16,0.68,0.59,0.2
"7",7,1,1,7,6,0,0.05,0.17,0,0.2,0.73,0.72,0.61
"8",8,1,1,8,7,0,0,0.7,0,0.15,0.73,0.75,0.15
"9",9,1,1,9,8,0,0,0.69,0,0.18,0.28,0.21,0.31
"10",10,1,1,10,9,0,0.15,0.65,0,0.18,0.7,0.63,0.36
"11",11,1,2,1,10,0,0.63,0.31,0.08,0.22,0.47,0.83,0.37
"12",12,1,2,2,11,0,0.24,0.65,0.11,0.26,0.76,0.67,0.7
"13",13,1,2,3,12,0,0.25,0.62,0,0.05,0.7,0.53,0.65
"14",14,1,2,4,13,0,0.24,0.69,0.21,0.38,0.83,0.68,0.31
"15",15,1,2,5,14,0,0.03,0.69,0.24,0.23,0.91,0.74,0.35
"16",16,1,2,6,15,1,NA,NA,NA,NA,NA,NA,NA
"17",17,1,2,7,16,0,0.14,0.24,0.15,0.24,0.66,0.72,0.68
"18",18,1,2,8,17,0,0.34,0.32,0.08,0.3,0.79,0.73,0.34
"19",19,1,2,9,18,0,0.25,0.29,0.12,0.24,0.81,0.76,0.33
"20",20,1,2,10,19,0,0.11,0.76,0.11,0.64,0.82,0.82,0.61
"21",21,1,3,1,20,0,0.62,0.68,0.29,0.71,0.26,0.29,0.35
"22",22,1,3,2,21,0,0.66,0.72,0.19,0.66,0.26,0.39,0.08
"23",23,1,3,3,22,0,0.59,0.75,0.18,0.65,0.35,0.83,0.3
"24",24,1,3,4,23,0,0.19,0.71,0.25,0.62,0.64,0.75,0.21
"25",25,1,3,5,24,0,0.31,0.71,0.1,0.36,0.39,0.29,0.37
"26",26,1,3,6,25,0,0.2,0.65,0.15,0.23,0.27,0.26,0.32
"27",27,1,3,7,26,0,0.21,0.59,0.26,0.22,0.59,0.61,0.32
"28",28,1,3,8,27,0,0.67,0.72,0.18,0.73,0.28,0.26,0.32
"29",29,1,3,9,28,0,0.63,0.76,0.24,0.36,0.38,0.76,0.33
"30",30,1,3,10,29,0,0.3,0.78,0.27,0.23,0.33,0.28,0.26
"31",31,1,4,1,30,0,0.7,0.69,0.69,0.72,0.41,0.75,0.25
"32",32,1,5,1,31,0,0.3,0.63,0.33,0.82,0.71,0.31,0.3
"33",33,1,5,2,32,0,0.22,0.71,0.21,0.66,0.64,0.28,0.33
"34",34,1,5,3,33,0,0.23,0.79,0.31,0.75,0.38,0.38,0.3
"35",35,1,5,4,34,0,0.22,0.66,0.21,0.81,0.37,0.29,0.28
"36",36,1,5,5,35,0,0.23,0.33,0.14,0.6,0.72,0.7,0.26
"37",37,1,5,6,36,0,0.23,0.77,0.27,0.77,0.73,0.63,0.25
"38",38,1,5,7,37,0,0.33,0.62,0.3,0.7,0.34,0.73,0.34
"39",39,1,5,8,38,0,0.29,0.26,0.39,0.74,0.78,0.75,0.29
"40",40,1,5,9,39,0,0.21,0.7,0.25,0.38,0.82,0.72,0.27
"41",41,1,5,10,40,0,0.2,0.65,0.18,0.78,0.74,0.16,0.25
"42",42,1,6,1,41,0,0.21,0.62,0.35,0.85,0.46,0.68,0.35
"43",43,1,6,2,42,0,0.14,0.79,0.21,0.95,0.22,0.78,0.76
"44",44,1,6,3,43,0,0.35,0.36,0.29,0.84,0.68,0.19,0.32
"45",45,1,6,4,44,0,0.17,0.37,0.13,0.35,0.7,0.65,0.32
"46",46,1,6,5,45,0,0.25,0.27,0.29,0.74,0.59,0.73,0.26
"47",47,1,6,6,46,0,0.23,0.26,0.77,0.7,0.26,0.33,0.18
"48",48,1,6,7,47,0,0.1,0.7,0.29,0.71,0.32,0.37,0.27
"49",49,1,6,8,48,0,0.19,0.79,0.19,0.67,0.65,0.27,0.23
"50",50,1,6,9,49,0,0.31,0.8,0.46,0.69,0.38,0.28,0.31
"51",51,1,6,10,50,1,NA,NA,NA,NA,NA,NA,NA
"52",52,1,7,1,51,0,0.63,0.71,0.31,0.73,0.3,0.34,0.33
"53",53,1,7,2,52,0,0.22,0.3,0.73,0.34,0.68,0.27,0.34
"54",54,1,7,3,53,0,0.24,0.62,0.25,0.61,0.3,0.66,0.37
"55",55,1,7,4,54,0,0.56,0.71,0.22,0.68,0.26,0.18,0.13
"56",56,1,7,5,55,0,0.79,0.8,0.29,0.72,0.3,0.13,0.15
"57",57,1,7,6,56,0,0.31,0.63,0.28,0.76,0.31,0.33,0.3
"58",58,1,7,7,57,0,0.26,0.72,0.22,0.63,0.39,0.31,0.29
"59",59,1,7,8,58,0,0.03,0.82,0.52,0.22,0.27,0.69,0.23
"60",60,1,7,9,59,0,0.3,0.79,0.35,0.68,0.55,0.72,0.11
"61",61,1,8,1,60,0,0.29,0.67,0.28,0.21,0.39,0.65,0.69
"62",62,1,8,2,61,1,NA,NA,NA,NA,NA,NA,NA
"63",63,1,8,3,62,1,NA,NA,NA,NA,NA,NA,NA
"64",64,1,8,4,63,1,NA,NA,NA,NA,NA,NA,NA
"65",65,1,9,1,64,1,NA,NA,NA,NA,NA,NA,NA
"66",66,1,9,2,65,1,NA,NA,NA,NA,NA,NA,NA
"67",67,1,9,3,66,1,NA,NA,NA,NA,NA,NA,NA
"68",68,1,9,4,67,1,NA,NA,NA,NA,NA,NA,NA
"69",69,1,9,5,68,1,NA,NA,NA,NA,NA,NA,NA
"70",70,1,9,6,69,1,NA,NA,NA,NA,NA,NA,NA
"71",71,1,9,7,70,1,NA,NA,NA,NA,NA,NA,NA
"72",72,1,9,8,71,1,NA,NA,NA,NA,NA,NA,NA
"73",73,1,9,9,72,1,NA,NA,NA,NA,NA,NA,NA
"74",74,2,1,1,0,0,0.08,0.11,0.04,0.14,0.69,0.72,0.31
"75",75,2,1,2,1,0,0.2,0.79,0.07,0.62,0.41,0.16,0.19
"76",76,2,1,3,2,1,NA,NA,NA,NA,NA,NA,NA
"77",77,2,1,4,3,0,0.22,0.27,0.13,0.23,0.65,0.74,0.67
"78",78,2,1,5,4,0,0.06,0.24,0.11,0.21,0.75,0.79,0.67
"79",79,2,1,6,5,0,0.16,0.15,0.15,0.18,0.8,0.74,0.63
"80",80,2,1,7,6,0,0.18,0.23,0.2,0.25,0.77,0.72,0.67
"81",81,2,1,8,7,0,0.11,0.16,0.19,0.19,0.54,0.7,0.58
"82",82,2,1,9,8,0,0.16,0.31,0.24,0.33,0.76,0.66,0.22
"83",83,2,2,1,9,0,0.16,0.25,0.13,0.16,0.68,0.33,0.41
"84",84,2,2,2,10,1,NA,NA,NA,NA,NA,NA,NA
"85",85,2,2,3,12,0,0.14,0.08,0.2,0.24,0.62,0.67,0.67
"86",86,2,2,4,13,0,0.16,0.26,0.16,0.22,0.76,0.85,0.66
"87",87,2,2,5,14,0,0.1,0.13,0.09,0.13,0.76,0.83,0.39
