"","X","ID","beep","day","observationID","missing","Energetic","Cheerful","Relaxed","Satisfied","Nervous","Irritated","Bored","Down"
"1",1,54016,1,1,1,0,0.191919191919192,0.626262626262626,1,0.858585858585859,0.0101010101010101,0,0,0.0404040404040404
"2",2,54016,2,1,2,0,1,0.97979797979798,0.151515151515152,0.878787878787879,0,0,0.0202020202020202,0
"3",3,54016,3,1,3,0,0.646464646464647,0.606060606060606,0.767676767676768,0.595959595959596,0.0101010101010101,0,0,0
"4",4,54016,1,2,4,0,0.242424242424242,0.868686868686869,0.838383838383838,0.757575757575758,0,0.292929292929293,0.101010101010101,0.0606060606060606
"5",5,54016,2,2,5,0,0.535353535353535,0.919191919191919,1,1,0.0101010101010101,0,0,0.0101010101010101
"6",6,54016,3,2,6,0,0.787878787878788,1,1,1,0,0.0303030303030303,0,0
"7",7,54016,1,3,7,0,0.646464646464647,0.696969696969697,0.828282828282828,0.686868686868687,0,0.181818181818182,0.303030303030303,0
"8",8,54016,2,3,8,0,0.262626262626263,0.818181818181818,0.353535353535354,0.888888888888889,0,0,0.0303030303030303,0
"9",9,54016,3,3,9,0,0.767676767676768,0.777777777777778,0.767676767676768,0.98989898989899,0.0101010101010101,0.0303030303030303,0,0.0606060606060606
"10",10,54016,1,4,10,0,0.676767676767677,0.404040404040404,0.676767676767677,0,0.0505050505050505,0,0.242424242424242,0.111111111111111
"11",11,54016,2,4,11,1,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,54016,3,4,12,0,0.181818181818182,0.232323232323232,0.191919191919192,0.737373737373737,0.0707070707070707,0.181818181818182,0.0101010101010101,0.282828282828283
"13",13,54016,1,5,13,0,0.191919191919192,0.373737373737374,0.808080808080808,0.737373737373737,0.0707070707070707,0.0101010101010101,0.0505050505050505,0.141414141414141
"14",14,54016,2,5,14,0,0.828282828282828,0.888888888888889,0.94949494949495,0.808080808080808,0,0,0.0101010101010101,0.0101010101010101
"15",15,54016,3,5,15,0,0.787878787878788,0.848484848484849,0.909090909090909,0.898989898989899,0.0101010101010101,0.0404040404040404,0.0303030303030303,0
"16",16,54016,1,6,16,0,0.797979797979798,0.888888888888889,0.919191919191919,0.868686868686869,0,0,0.0606060606060606,0
"17",17,54016,2,6,17,0,0.666666666666667,0.939393939393939,0.696969696969697,0.818181818181818,0,0,0,0
"18",18,54016,3,6,18,0,0.818181818181818,0.737373737373737,0.888888888888889,0.888888888888889,0.0101010101010101,0.0707070707070707,0,0
"19",19,54016,1,7,19,0,0.939393939393939,0.858585858585859,0.95959595959596,0.939393939393939,0.0404040404040404,0.0404040404040404,0,0
"20",20,54016,2,7,20,0,0.797979797979798,0.797979797979798,0.838383838383838,0.96969696969697,0,0,0,0
"21",21,54016,3,7,21,0,0.96969696969697,0.848484848484849,0.858585858585859,0.888888888888889,0,0.0202020202020202,0,0
"22",22,54016,1,8,22,0,0.878787878787879,0.909090909090909,1,0.868686868686869,0,0,0,0
"23",23,54016,2,8,23,0,0.757575757575758,0.767676767676768,0.737373737373737,0.626262626262626,0,0.292929292929293,0.0101010101010101,0.0606060606060606
"24",24,54016,3,8,24,0,0.0202020202020202,0.898989898989899,0.757575757575758,0.868686868686869,0,0,0.0606060606060606,0.0505050505050505
"25",25,54016,1,9,25,0,0.838383838383838,0.919191919191919,0.919191919191919,0.929292929292929,0,0,0,0.0202020202020202
"26",26,54016,2,9,26,0,0.898989898989899,0.878787878787879,0.929292929292929,0.888888888888889,0,0,0.0505050505050505,0
"27",27,54016,3,9,27,0,0.383838383838384,0.212121212121212,0.585858585858586,0.0707070707070707,0,0,0,0.151515151515152
"28",28,54016,1,10,28,0,0.707070707070707,0.313131313131313,0.626262626262626,0.656565656565657,0,0,0,0
"29",29,54016,2,10,29,1,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,54016,3,10,30,1,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,54016,1,11,31,1,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,54016,2,11,32,1,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,54016,3,11,33,1,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,54016,1,12,34,1,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,54016,2,12,35,1,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,54016,3,12,36,1,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,54016,1,13,37,1,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,54016,2,13,38,1,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,54016,3,13,39,1,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,54016,1,14,40,1,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,54016,2,14,41,1,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,54016,3,14,42,1,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,54049,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,54049,2,1,2,0,0.666666666666667,0.595959595959596,0.121212121212121,0.454545454545455,0.494949494949495,0,0.555555555555556,0.121212121212121
"45",45,54049,3,1,3,0,0.97979797979798,1,0.545454545454545,1,0.0404040404040404,0.0303030303030303,0,0
"46",46,54049,1,2,4,0,0.424242424242424,0.141414141414141,0.0202020202020202,0.515151515151515,0.696969696969697,0.545454545454545,0.212121212121212,0.525252525252525
"47",47,54049,2,2,5,0,0.96969696969697,1,0.404040404040404,0.97979797979798,0,0,0.0303030303030303,0
"48",48,54049,3,2,6,0,0.878787878787879,0.797979797979798,0.737373737373737,0.888888888888889,0.0404040404040404,0.151515151515152,0.171717171717172,0.0909090909090909
"49",49,54049,1,3,7,0,0.616161616161616,0.696969696969697,0.262626262626263,0.616161616161616,0.262626262626263,0.212121212121212,0.171717171717172,0.383838383838384
"50",50,54049,2,3,8,0,0.868686868686869,0.898989898989899,0.777777777777778,0.616161616161616,0.111111111111111,0.121212121212121,0.0707070707070707,0.0606060606060606
"51",51,54049,3,3,9,0,1,0.95959595959596,0,0.909090909090909,0,0.0808080808080808,0,0.0404040404040404
"52",52,54049,1,4,10,0,0.575757575757576,0.595959595959596,0.0606060606060606,0.737373737373737,0.565656565656566,0.707070707070707,0.0808080808080808,0.343434343434343
"53",53,54049,2,4,11,0,0.212121212121212,0.666666666666667,0.636363636363636,0.878787878787879,0.191919191919192,0.262626262626263,0.242424242424242,0.161616161616162
"54",54,54049,3,4,12,0,0.676767676767677,0.636363636363636,0.545454545454545,0.696969696969697,0.262626262626263,0.252525252525253,0.262626262626263,0.212121212121212
"55",55,54049,1,5,13,0,0.232323232323232,0.252525252525253,0.383838383838384,0.585858585858586,0.636363636363636,0.252525252525253,0.242424242424242,0.262626262626263
"56",56,54049,2,5,14,0,0.95959595959596,0.676767676767677,0.313131313131313,0.696969696969697,0.373737373737374,0.242424242424242,0.242424242424242,0.242424242424242
"57",57,54049,3,5,15,0,0.696969696969697,0.757575757575758,0.606060606060606,0.646464646464647,0,0.151515151515152,0.141414141414141,0
"58",58,54049,1,6,16,0,0.414141414141414,0.575757575757576,0.717171717171717,0.575757575757576,0.0505050505050505,0.0707070707070707,0.0101010101010101,0.0606060606060606
"59",59,54049,2,6,17,0,0.0606060606060606,0.363636363636364,0.383838383838384,0.383838383838384,0.232323232323232,0.595959595959596,0.767676767676768,0.161616161616162
"60",60,54049,3,6,18,0,0.404040404040404,0.373737373737374,0.565656565656566,0.333333333333333,0.272727272727273,0.292929292929293,0.151515151515152,0.626262626262626
"61",61,54049,1,7,19,0,0.676767676767677,0.717171717171717,0.585858585858586,0.656565656565657,0.121212121212121,0.141414141414141,0.151515151515152,0.141414141414141
"62",62,54049,2,7,20,0,0.575757575757576,0.535353535353535,0.686868686868687,0.707070707070707,0.252525252525253,0.202020202020202,0.151515151515152,0.222222222222222
"63",63,54049,3,7,21,0,0.848484848484849,0.868686868686869,0.545454545454545,0.777777777777778,0.0808080808080808,0.0909090909090909,0.111111111111111,0.111111111111111
"64",64,54049,1,8,22,0,0.686868686868687,0.666666666666667,0.565656565656566,0.414141414141414,0.0707070707070707,0.111111111111111,0.0606060606060606,0.222222222222222
"65",65,54049,2,8,23,0,0.818181818181818,0.858585858585859,0.727272727272727,0.737373737373737,0.202020202020202,0.292929292929293,0.0606060606060606,0.0505050505050505
"66",66,54049,3,8,24,0,0.585858585858586,0.565656565656566,0.242424242424242,0.575757575757576,0.222222222222222,0.232323232323232,0.272727272727273,0.232323232323232
"67",67,54049,1,9,25,0,0.141414141414141,0.121212121212121,0.121212121212121,0.202020202020202,0.696969696969697,0.686868686868687,0.636363636363636,0.929292929292929
"68",68,54049,2,9,26,0,0.707070707070707,0.747474747474748,0.676767676767677,0.696969696969697,0.212121212121212,0.191919191919192,0.282828282828283,0.242424242424242
"69",69,54049,3,9,27,0,0.767676767676768,0.737373737373737,0.666666666666667,0.616161616161616,0.202020202020202,0.202020202020202,0.232323232323232,0.141414141414141
"70",70,54049,1,10,28,1,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,54049,2,10,29,0,0.161616161616162,0.292929292929293,0.171717171717172,0.202020202020202,0.676767676767677,0.595959595959596,0.656565656565657,0.848484848484849
"72",72,54049,3,10,30,0,0.161616161616162,0.171717171717172,0.161616161616162,0.151515151515152,0.828282828282828,0.797979797979798,0.818181818181818,0.818181818181818
"73",73,54049,1,11,31,0,0.717171717171717,0.292929292929293,0.242424242424242,0.363636363636364,0.666666666666667,0.0606060606060606,0.0808080808080808,0.606060606060606
"74",74,54049,2,11,32,0,0.494949494949495,0.515151515151515,0.656565656565657,0.606060606060606,0.242424242424242,0.353535353535354,0.343434343434343,0.272727272727273
"75",75,54049,3,11,33,0,0.313131313131313,0.111111111111111,0.414141414141414,0.323232323232323,0.242424242424242,0.191919191919192,0.676767676767677,0.838383838383838
"76",76,54049,1,12,34,0,0.212121212121212,0.292929292929293,0.303030303030303,0.333333333333333,0.616161616161616,0.575757575757576,0.626262626262626,0.606060606060606
"77",77,54049,2,12,35,1,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,54049,3,12,36,1,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,54049,1,13,37,1,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,54049,2,13,38,1,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,54049,3,13,39,1,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,54049,1,14,40,1,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,54049,2,14,41,1,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,54049,3,14,42,1,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,54050,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,54050,2,1,2,0,0.212121212121212,0.323232323232323,0.242424242424242,0.313131313131313,0.95959595959596,0.777777777777778,0.101010101010101,0.888888888888889
"87",87,54050,3,1,3,0,0.666666666666667,0.676767676767677,0.767676767676768,0.96969696969697,0.404040404040404,0.313131313131313,0.343434343434343,0.373737373737374
"88",88,54050,1,2,4,0,0.222222222222222,0.242424242424242,0.151515151515152,0.171717171717172,0.858585858585859,0.878787878787879,0.171717171717172,0.919191919191919
"89",89,54050,2,2,5,0,0.818181818181818,0.616161616161616,0.191919191919192,0.202020202020202,0.898989898989899,0.747474747474748,0.0909090909090909,0.838383838383838
"90",90,54050,3,2,6,0,0.878787878787879,0.696969696969697,0.838383838383838,0.98989898989899,0.232323232323232,0.202020202020202,0,0.0505050505050505
"91",91,54050,1,3,7,0,0.626262626262626,0.404040404040404,0.404040404040404,0.343434343434343,0.616161616161616,0.787878787878788,0.383838383838384,0.616161616161616
"92",92,54050,2,3,8,0,1,0.777777777777778,0.151515151515152,0.929292929292929,0.202020202020202,0.0808080808080808,0.161616161616162,0.161616161616162
"93",93,54050,3,3,9,0,0.313131313131313,0.696969696969697,0.474747474747475,1,0.161616161616162,0.111111111111111,0.191919191919192,0.212121212121212
"94",94,54050,1,4,10,0,0.121212121212121,0.333333333333333,0.151515151515152,0.727272727272727,0.131313131313131,0.656565656565657,0.202020202020202,0.101010101010101
"95",95,54050,2,4,11,1,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,54050,3,4,12,0,0.282828282828283,0.909090909090909,0.313131313131313,0.282828282828283,0.222222222222222,0.333333333333333,0.252525252525253,0.333333333333333
"97",97,54050,1,5,13,0,0.727272727272727,0.767676767676768,0.262626262626263,0.868686868686869,0.171717171717172,0.262626262626263,0.181818181818182,0.262626262626263
"98",98,54050,2,5,14,0,0.858585858585859,0.787878787878788,0.777777777777778,0.797979797979798,0.0909090909090909,0.232323232323232,0.131313131313131,0.0303030303030303
"99",99,54050,3,5,15,0,0.707070707070707,0,0.0909090909090909,0.161616161616162,0.111111111111111,0.757575757575758,0.141414141414141,0.909090909090909
"100",100,54050,1,6,16,0,0.272727272727273,0.282828282828283,0.787878787878788,0.616161616161616,0.242424242424242,0.373737373737374,0.222222222222222,0.616161616161616
"101",101,54050,2,6,17,0,0.131313131313131,0.666666666666667,0.343434343434343,0.232323232323232,0.313131313131313,0.212121212121212,0.202020202020202,0.313131313131313
"102",102,54050,3,6,18,0,0.686868686868687,0.727272727272727,0.252525252525253,0.686868686868687,0.191919191919192,0.161616161616162,0.0404040404040404,0.111111111111111
"103",103,54050,1,7,19,0,0.0909090909090909,0.818181818181818,0.282828282828283,0.171717171717172,0.131313131313131,0.131313131313131,0.191919191919192,0.252525252525253
"104",104,54050,2,7,20,0,0.747474747474748,0.626262626262626,0.151515151515152,0.404040404040404,0.141414141414141,0.111111111111111,0.232323232323232,0.232323232323232
"105",105,54050,3,7,21,0,0.202020202020202,0.171717171717172,0.202020202020202,0.191919191919192,0.0606060606060606,0.292929292929293,0.161616161616162,0.131313131313131
"106",106,54050,1,8,22,0,0.747474747474748,0.313131313131313,0.272727272727273,0.272727272727273,0.232323232323232,0.292929292929293,0.242424242424242,0.292929292929293
"107",107,54050,2,8,23,0,0.212121212121212,0.666666666666667,0.262626262626263,0.555555555555556,0.343434343434343,0.404040404040404,0.313131313131313,0.303030303030303
"108",108,54050,3,8,24,0,0.171717171717172,0.595959595959596,0.323232323232323,0.656565656565657,0.626262626262626,0.202020202020202,0.252525252525253,0.292929292929293
"109",109,54050,1,9,25,0,0.0202020202020202,0.353535353535354,0.181818181818182,0.0808080808080808,0.141414141414141,0.262626262626263,0.202020202020202,0.232323232323232
"110",110,54050,2,9,26,0,0.232323232323232,0.666666666666667,0.636363636363636,0.282828282828283,0.252525252525253,0.262626262626263,0.202020202020202,0.282828282828283
"111",111,54050,3,9,27,0,0.323232323232323,0.545454545454545,0.383838383838384,0.737373737373737,0.0808080808080808,0.131313131313131,0.191919191919192,0.141414141414141
"112",112,54050,1,10,28,0,0.626262626262626,0.515151515151515,0.414141414141414,0.696969696969697,0.272727272727273,0.343434343434343,0.131313131313131,0.323232323232323
"113",113,54050,2,10,29,0,0.0808080808080808,0.303030303030303,0.101010101010101,0.181818181818182,0.95959595959596,0.282828282828283,0.222222222222222,0.525252525252525
"114",114,54050,3,10,30,0,0.555555555555556,0.616161616161616,0.646464646464647,0.606060606060606,0.292929292929293,0.303030303030303,0.222222222222222,0.262626262626263
"115",115,54050,1,11,31,0,0.282828282828283,0.272727272727273,0.252525252525253,0.343434343434343,0.595959595959596,0.747474747474748,0.606060606060606,0.202020202020202
"116",116,54050,2,11,32,0,0.727272727272727,0.343434343434343,0.656565656565657,0.202020202020202,0.0808080808080808,0.181818181818182,0.131313131313131,0.111111111111111
"117",117,54050,3,11,33,0,0.232323232323232,0.0808080808080808,0.828282828282828,0.767676767676768,0.151515151515152,0.272727272727273,0.141414141414141,0.0505050505050505
"118",118,54050,1,12,34,0,0.0606060606060606,0.646464646464647,0.646464646464647,0.656565656565657,0.0808080808080808,0.0707070707070707,0.0606060606060606,0.222222222222222
"119",119,54050,2,12,35,1,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,54050,3,12,36,1,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,54050,1,13,37,1,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,54050,2,13,38,1,NA,NA,NA,NA,NA,NA,NA,NA
"123",123,54050,3,13,39,1,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,54050,1,14,40,1,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,54050,2,14,41,1,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,54050,3,14,42,1,NA,NA,NA,NA,NA,NA,NA,NA
"127",127,54064,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,54064,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,54064,3,1,3,0,0.242424242424242,0.313131313131313,0.282828282828283,0.353535353535354,0.838383838383838,0.878787878787879,0.0808080808080808,0.161616161616162
"130",130,54064,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,54064,2,2,5,0,0.727272727272727,0.858585858585859,0.808080808080808,0.787878787878788,0.232323232323232,0.242424242424242,0.242424242424242,0.181818181818182
"132",132,54064,3,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,54064,1,3,7,0,0.676767676767677,0.696969696969697,0.808080808080808,0.747474747474748,0,0.242424242424242,0.686868686868687,0.111111111111111
"134",134,54064,2,3,8,0,0.181818181818182,0.353535353535354,0.303030303030303,0.434343434343434,0.666666666666667,0.333333333333333,0.818181818181818,0.404040404040404
"135",135,54064,3,3,9,0,0.363636363636364,0.525252525252525,0.696969696969697,0.646464646464647,0.454545454545455,0.313131313131313,0.333333333333333,0.686868686868687
"136",136,54064,1,4,10,0,0.606060606060606,0.777777777777778,0.808080808080808,0.737373737373737,0.0707070707070707,0.202020202020202,0.858585858585859,0.333333333333333
"137",137,54064,2,4,11,0,0.555555555555556,0.595959595959596,0.828282828282828,0.828282828282828,0.121212121212121,0.171717171717172,0.222222222222222,0.313131313131313
"138",138,54064,3,4,12,0,0.737373737373737,0.818181818181818,0.888888888888889,0.797979797979798,0.151515151515152,0.191919191919192,0.171717171717172,0.161616161616162
"139",139,54064,1,5,13,0,0.636363636363636,0.676767676767677,0.939393939393939,0.707070707070707,0.212121212121212,0.292929292929293,0.232323232323232,0.313131313131313
"140",140,54064,2,5,14,0,0.686868686868687,0.666666666666667,0.676767676767677,0.727272727272727,0.131313131313131,0.202020202020202,0.676767676767677,0.161616161616162
"141",141,54064,3,5,15,0,0.585858585858586,0.626262626262626,0.747474747474748,0.777777777777778,0.0808080808080808,0.171717171717172,0.515151515151515,0.242424242424242
"142",142,54064,1,6,16,0,0.636363636363636,0.464646464646465,0.797979797979798,0.696969696969697,0.252525252525253,0.202020202020202,0.616161616161616,0.343434343434343
"143",143,54064,2,6,17,0,0.606060606060606,0.575757575757576,0.757575757575758,0.777777777777778,0.222222222222222,0.212121212121212,0.212121212121212,0.222222222222222
