"","X","ID","day","beep","observationID","missing","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"38",38,2,3,2,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,2,3,3,11,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0,0.333333333333333,0.333333333333333
"40",40,2,3,4,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,2,4,1,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,2,4,2,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,2,4,3,15,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"44",44,2,4,4,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,2,5,1,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,2,5,2,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,2,5,3,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,2,5,4,20,0,0,0,0,0,0,0,0,0,0.333333333333333,1,1,1,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667
"49",49,2,6,1,21,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,1,1,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.333333333333333
"50",50,2,6,2,22,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0,0,0.333333333333333
"51",51,2,6,3,23,0,0,0,0,0,0,0,0,0,0,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"52",52,2,6,4,24,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333
"53",53,2,7,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,2,7,2,26,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333
"55",55,2,7,3,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,2,7,4,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,3,1,1,1,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"58",58,3,1,2,2,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"59",59,3,1,3,3,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0
"60",60,3,1,4,4,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"61",61,3,2,1,5,0,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"62",62,3,2,2,6,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0
"63",63,3,2,3,7,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"64",64,3,2,4,8,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0
"65",65,3,3,1,9,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
"66",66,3,3,2,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,3,3,3,11,0,0.333333333333333,0.666666666666667,0.666666666666667,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"68",68,3,3,4,12,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0
"69",69,3,4,1,13,0,1,1,0.666666666666667,1,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0
"70",70,3,4,2,14,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,1,0,0,0
"71",71,3,4,3,15,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0.666666666666667
"72",72,3,4,4,16,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,0
"73",73,3,5,1,17,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"74",74,3,5,2,18,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0
"75",75,3,5,3,19,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"76",76,3,5,4,20,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0
"77",77,3,6,1,21,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"78",78,3,6,2,22,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
"79",79,3,6,3,23,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0
"80",80,3,6,4,24,0,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0
"81",81,3,7,1,25,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"82",82,3,7,2,26,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"83",83,3,7,3,27,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0
"84",84,3,7,4,28,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0
"85",85,4,1,1,1,0,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333
"86",86,4,1,2,2,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,1,1,0.333333333333333,0,0,0,0,0,0,0,0
"87",87,4,1,3,3,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0
"88",88,4,1,4,4,0,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.333333333333333,1,1,1,0,0,0,0,0,0.333333333333333,0,0,0
"89",89,4,2,1,5,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.666666666666667,1,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333
"90",90,4,2,2,6,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,1,1,0.666666666666667,0,0.333333333333333,0,0,0,0,0.333333333333333,0
"91",91,4,2,3,7,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0
"92",92,4,2,4,8,0,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0
"93",93,4,3,1,9,0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,1,0,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,1,0.333333333333333
"94",94,4,3,2,10,0,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"95",95,4,3,3,11,0,0.666666666666667,1,1,1,1,0.333333333333333,1,0.666666666666667,1,0,0,0,0,0,0,0,0,0
