"","ID","Angry","Depressed","Anxiety","Stressed","Relaxed","Happy"
"1",1,0.168816881858778,0.242578196514958,0.256160767911181,0.16629216833901,0.125500948344577,0.244602853705048
"2",2,NA,NA,NA,NA,NA,NA
"3",3,0.0781257830618277,0.133027307205631,0.141507623093482,0.151064725458648,0.140563047399079,0.156434630134424
"4",4,0.162015903333533,0.109473548145681,0.206554833727335,0.12345026631556,0.154793144525727,0.102796998798029
"5",5,0.0738636563450286,0.116687166713379,0.240492246835449,0.314086559411673,0.281401287438,0.277963806914892
"6",6,0.170011145707481,0.153199217139557,0.222675330290954,0.280988615253668,0.103015170685665,0.145331230212714
"7",7,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA
"10",10,0.174226349366336,0.285286687914638,0.306708563395804,0.21265677174764,0.250742676366285,0.274483455571219
"11",11,0.13441372938336,0.236802819227641,0.156515178979194,0.184216652478362,0.124404395375958,0.136720992146567
"12",12,0.155774162755313,0.215393880483861,0.114744823363359,0.176598633588781,0.144948615067896,0.0893297149877799
"13",14,NA,NA,NA,NA,NA,NA
"14",15,NA,NA,NA,NA,NA,NA
"15",16,NA,NA,NA,NA,NA,NA
"16",17,0.220673648176505,0.211128565800881,0.26383900731454,0.360676117537102,0.240528767915314,0.181985586580587
"17",18,NA,NA,NA,NA,NA,NA
"18",19,NA,NA,NA,NA,NA,NA
"19",20,0.290162417139057,0.235055202702368,0.145225379493304,0.255545647618651,0.201047999642735,0.24814421401398
"20",21,0.191428025951128,0.137186296877771,0.0830728437407972,0.0838732664016616,0.181393249727169,0.0570578968080531
"21",22,0.0581343729119787,0.0701565092948979,0.121627464462458,0.207868410965894,0.222054578741701,0.207772852529245
"22",23,NA,NA,NA,NA,NA,NA
"23",24,NA,NA,NA,NA,NA,NA
"24",25,NA,NA,NA,NA,NA,NA
"25",26,0.385462608190649,0.205582848724805,0.286638864456409,0.470505981880638,0.329734674037186,0.313262321673993
"26",27,0.324061738204931,0.218940881361432,0.305432260302028,0.251434241495593,0.403400816128074,0.290894160120049
"27",28,NA,NA,NA,NA,NA,NA
"28",29,NA,NA,NA,NA,NA,NA
"29",30,0.357024462873552,0.167072877840207,0.141566459687382,0.244809482245285,0.274043982044036,0.248198120791903
"30",31,NA,NA,NA,NA,NA,NA
"31",32,0.169232160691721,0.189568284813006,0.175333390425339,0.198900652531947,0.210647227885368,0.204589629372812
"32",33,0.096076188082117,0.0524284741198349,0.135655622577455,0.218334954038651,0.153781720945288,0.148516078734893
"33",34,0.19234027117186,0.127183385547824,0.16150596649456,0.271211272937347,0.324479184424168,0.161176306005804
"34",35,0.0763392545837482,0.170688307949362,0.175686932986568,0.124196155030545,0.208818961194198,0.169064312520162
"35",36,NA,NA,NA,NA,NA,NA
"36",37,0.162953171999006,0.177789462477575,0.183269239091977,0.137797879120455,0.160440880433614,0.104459783114693
"37",38,NA,NA,NA,NA,NA,NA
"38",39,0.205353994541522,0.207980650341933,0.15476160922734,0.162231248988771,0.159169091241555,0.163110654664738
"39",40,0.0290243215278823,0.158080946721412,0.136287170427531,0.166768869521167,0.134012957663022,0.0838467672802378
"40",41,NA,NA,NA,NA,NA,NA
"41",42,NA,NA,NA,NA,NA,NA
"42",43,NA,NA,NA,NA,NA,NA
"43",45,0.0380265007706997,0.162534262504439,0.323063848385434,0.333842575768377,0.360316717976891,0.100834972395512
"44",46,NA,NA,NA,NA,NA,NA
"45",47,NA,NA,NA,NA,NA,NA
"46",48,0.362780894376017,0.142618848874971,0.140798661352119,0.207907728530631,0.258823870457049,0.274749937842888
"47",49,NA,NA,NA,NA,NA,NA
"48",50,NA,NA,NA,NA,NA,NA
