"","ID","Happy","Excited","Relaxed","Satisfied","Angry","Anxious","Depressed","Sad"
"1",1,0.140414460002944,0.190138357842994,0.152779849740787,0.133999165485686,0.222602535633767,0.259311687791357,0.121106109313406,0.272372536511694
"2",2,0.16199743012155,0.281434693916819,0.197743093692129,0.162289259296766,0.0825299108892301,0.164997025058356,0.279612381593016,0.1249561448537
"3",3,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,0.051396610212721,0.103069257052607,0.116363309151337,0.163911745614807,0.155065623150847,0.154320099992918,0.0846648399849945,0.134538663716873
"5",6,0.0818392582013996,0.150947715566791,0.189546946923108,0.170153472092446,0.0573482614441031,0.0344640773711269,0.0725869743879288,0.0418577053737903
"6",7,0.181429210387892,0.157049154098858,0.140547379345763,0.183453284017463,0.208708206596492,0.206302928444826,0.259320931168919,0.270004571420154
"7",8,0.0458625066158888,0.0782897938730665,0.0960508628228698,0.121683924711339,0.150907397545504,0.130995464529466,0.112980126658315,0.175465418445044
"8",10,NA,NA,NA,NA,NA,NA,NA,NA
"9",11,0.0886299501265034,0.247504202519234,0.19185509792475,0.155999302368897,0.15279865449914,0.178272447512969,0.12047517783479,0.231648116524201
"10",12,0.161869892123103,0.187131706635575,0.206751370818912,0.19669507419116,0.0941445912913383,0.263390898001087,0.161198190878754,0.10761069188315
"11",13,0.0850991056149025,0.108714829679643,0.111544184390049,0.0667054816429516,0.102764964463453,0.19263699289397,0.0666545523861473,0.114413848079388
"12",14,0.146833513394702,0.136318380834168,0.231138728532139,0.140663291420969,0.129791619706874,0.0254579847323169,0.112352670858452,0.12763006551731
"13",15,0.0465549916809492,0.112273528011737,0.145100963160965,0.125864660069373,0.137161591906514,0.0880572540099704,0.0656072157952639,0.0588491992951211
"14",18,0.137308146528286,0.197374865964562,0.141864104478463,0.121187193244106,0.157539060391487,0.144649251807121,0.16272414451792,0.032873256760283
"15",19,0.0572392553311049,0.0942865508540608,0.0853356998968175,0.0723482397540858,0.0886544422599215,0.0835108299748236,0.105136514644372,0.10245638856284
"16",21,0.157806327406049,0.287719363324124,0.15568809545974,0.128405339327972,0.152252581330933,0.10749496826936,0.132430054616627,0.0893346743970867
"17",22,0.127289008037113,0.13979298938941,0.145993393883691,0.1622074153074,0.041237740665383,0.00492743273881581,0.0319017138698218,0.00776756362445389
"18",23,0.157386958895953,0.0876584381698914,0.116935021716732,0.100928829093995,0.294526459505739,0.129904006788235,0.292663776356104,0.133592437192086
"19",24,0.104188935925996,0.106634146612007,0.159008966685125,0.133489817027063,0.0373326712686795,0.0125368115263834,0.111016479123516,0.12871143646006
"20",25,0.0618845084249588,0.11465878368722,0.13977576441766,0.0699715653716931,0.0493515974831174,0.0178198669434229,0.0172638612536814,0.0851518442717529
"21",26,0.121118378277967,0.0911556701933046,0.158547998213291,0.221382787635179,0.0379500066163485,0.0173111664035431,0.12848427477814,0.0319412326785271
"22",27,0.109483831934931,0.155927302381739,0.115124474715682,0.131267990317816,0.0576593200335482,0.112954728897642,0.0610256959150731,0.0415314347095727
"23",28,0.104451153373171,0.111803746135342,0.157533659730712,0.10934112181079,0.0772457860303786,0.063470129077813,0.147605332165325,0.0967028466576452
"24",29,0.130744103014729,0.123077074263482,0.122014111782693,0.109608862627024,0.0262288170281184,0.123532527612259,0.11735433575924,0.0847942678582493
"25",30,0.115556956403574,0.103795175350691,0.155783030449089,0.117150899661406,0.0489204006343327,0.0249828238962727,0.0522367124149846,0.0361926867427123
"26",31,0.095637121850268,0.128562481286865,0.106229889533262,0.135698753065996,0.144278554398201,0.159605298248649,0.151670230207255,0.149722387622114
"27",32,0.0995787656391944,0.110856197765006,0.208188782998821,0.184108678812283,0.247784998367306,0.13217501353682,0.109343174775033,0.119449390350297
"28",33,0.203661565281181,0.203439426286855,0.259418657989861,0.260958469384871,0.131741096507907,0.103294442953488,0.129286981657855,0.134742395592555
"29",34,0.25460116253464,0.228713148650836,0.302439665916914,0.319774756835314,0.139793723765713,0.108742642953305,0.171373611096695,0.238923910686447
"30",35,0.114608869722591,0.192707198959525,0.230642119801917,0.0918014836084253,0.0824413932009455,0.0667486045191121,0.075134228606962,0.00717868898850625
"31",36,0.0707587420198647,0.126901938342288,0.185957241525389,0.159854590785637,0.206203086245736,0.179013843095992,0.112247986247204,0.11924768999368
"32",37,0.160563174066645,0.115214794050845,0.187628315799857,0.166869214300929,0.110611586228929,0.0788493091144594,0.073601665288332,0.154588983635285
"33",39,0.10315604605157,0.173821547855716,0.114502559416967,0.0858057593606566,0.0846166698887616,0.0927582422489107,0.205473670386396,0.102686569880451
"34",40,0.125403043286608,0.168191143198472,0.19951661494935,0.0960913874848167,0.213922645191306,0.044915164506611,0.167547142260198,0.183242090480683
"35",41,0.121642324285065,0.186448818308164,0.139704409871367,0.128809221332364,0.040024625379008,0.0358180040202321,0.14318395937448,0.0105117669620305
"36",43,0.187060394515774,0.0909327072709983,0.146790773705502,0.0422186937093846,0.18410566738642,0.101970021115213,0.121655714889657,0.144635217556527
"37",46,0.144271891870486,0.0910759869058876,0.181941112489384,0.165434487205778,0.0866137547541294,0.103314519675293,0.144000405928235,0.117288479290798
"38",47,0.159142824995486,0.13085533015824,0.147498016523528,0.165722187320847,0.195459620875843,0.205319387806849,0.146985241837486,0.178966996171794
"39",48,0.105057560307207,0.162459924978924,0.112884876231841,0.161763814791759,0.0842569722205316,0.101025180965692,0.164738493546655,0.0418017006802533
