"","ID","Talkative","Energetic","Tense","Anxiety","Enthousiastic","Confident","Distracted","Restless","Irritated","Satisfied","Happy","Depressed","Cheerful","Guilty"
"1",150034,0.107937251622237,0.118500574770295,0.141350543753599,0.190826737162057,0.0838114450327105,0.110301373325993,0.101472801497216,0.184348570562308,0.139211536400132,0.12898258303006,0.0798324102515724,0.130646483755012,0.0930339072084059,0.0996993634995462
"2",150035,0.238042759552378,0.26932545187438,0.212194938430725,0.0801858683620316,0.246057889470692,0.144147597659266,0.100627295881727,0.14702609825728,0.042963628539281,0.149878478366357,0.160247175796455,0.0498710456653667,0.149696160907019,0.0407764862494491
"3",150036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",150038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",150039,0.153368443889545,0.160758089391138,0.196250224615967,0.150555571096498,0.193235225640972,0.120843038057542,0.142471323347559,0.138935586344987,0.091950198988932,0.165907052792109,0.220671419541649,0.117137573953758,0.137593307943086,0.157227530957404
"6",150040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",150041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",150042,0.160502478590982,0.103596305300397,0.119382269220748,0.11033051326914,0.13297328541701,0.1110992711491,0.151181774480241,0.111584928213352,0.1189698476223,0.103548807974806,0.118300079818563,0.156555414829974,0.116678812819727,0.133429994187517
"9",150043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",150045,0.167307119516761,0.131275967957268,0.177886569709336,0.11566604729401,0.156128720372319,0.159600715135311,0.160312993851598,0.125448608148536,0.00793664306466634,0.178075539084445,0.176795815393838,0.132671270593744,0.187851111881305,0.131626238382254
"11",150046,0.117769315438003,0.120832357377767,0.148677760546686,0.128215979619097,0.129383122491147,0.148667022533142,0.13513011785181,0.128987888507909,0.158839846900449,0.0825695768484237,0.152713651624242,0.109101510196804,0.171281159377371,0.2251604438563
"12",150047,0.0674959412966314,0.0688425349389727,0.106141269357966,0.0803449770448602,0.0904765513036831,0.121758016002274,0.120679154496539,0.0931942441527837,0.0518155986750734,0.0972198753899594,0.089973687412783,0.0826759974909587,0.0865241765360872,0.0454968149404338
