"","ID","Sad","Anxious","Angry"
"1",102,0.0780993079218232,0.142890211720528,0.178078952242596
"2",103,0.0519202582933758,0.186401202569431,0.0552598392142666
"3",104,0.164823649423737,0.158083587193372,0.152957836163003
"4",105,0.0516291809961339,0.0833127355528662,0.0271929619782499
"5",106,0.147910037198968,0.131139972352971,0.181615172024034
"6",107,0.0774550925053367,0.100622338628895,0.0250611667492273
"7",108,0.243211231252458,0.251379448504522,0.217097918013267
"8",110,0.214999761399992,0.182208112273504,0.255741957868933
"9",111,0.042024480419044,0.0561872139574545,0.0727345739987552
"10",112,0.366135988233325,0.293211433138243,0.268373171661135
"11",113,0.00925622371190788,0.0427946806746775,0.0214646128514491
"12",115,0.236909604041402,0.185076241991752,0.256496793642196
"13",116,0.0816768249001177,0.17934019973635,0.0920450747447795
"14",117,0.00553492852032789,0.0310647732039776,0.0120505985976671
"15",118,NA,NA,NA
"16",119,0.0530614671628319,0.236307635201304,0.0754752047503002
"17",120,0.201336514739451,0.256764448905335,0.242712687379221
"18",121,0.223566158463108,0.137986631932269,0.353804829314832
"19",122,0.142917347167088,0.271394867825355,0.209148681611381
"20",123,0.0918501657476593,0.224922063744935,0.0217083283870234
"21",124,0.0587116688110685,0.192217809004653,0.174229355470404
"22",126,0.21954537060395,0.230855361802415,0.208306808748194
"23",127,0.0922817319787023,0.0879728363232557,0.124677449898735
"24",130,0.0100049701119383,0.020864128534335,0.0146995434450866
"25",131,0.1438504863741,0.214509475748798,0.026211831309201
"26",132,0.0899179326470694,0.0702584849758682,0.0620735583595645
"27",134,0.10295994229747,0.190863758290302,0.0601841670033892
"28",135,0.257639759196289,0.191401775401154,0.258943993877982
"29",136,0.0807966861908325,0.124887567234304,0.0134764210173971
"30",137,0.079918844709129,0.0727864941714232,0.195778071145371
"31",138,0.17990629791627,0.141439180643086,0.230401951518312
"32",139,0.399262460906561,0.0354711728545023,0.445469415702069
"33",140,0.0851345959948393,0.171603027844414,0.15386088343302
"34",141,0.0939299030945857,0.220102269705563,0.167619916926665
"35",142,0.0278389946868221,0.0745068321269955,0.025528841718254
"36",143,0.0858338343979992,0.120252569777003,0.0536949480104401
"37",144,0.0961596455115767,0.125376708515862,0.193881041058565
"38",145,0.0853550426780195,0.108854141376242,0.0827537828600506
"39",146,0.0693473642339109,0.11819528124437,0.0643156324249979
"40",150,0.0555492654988141,0.0678522267787165,0.0697005680671297
"41",152,0.0629244640771566,0.196488754814325,0.0938618672320584
"42",153,0.142066165549167,0.148420489125608,0.121299356384967
"43",156,0.0718725346358476,0.160202024621532,0.0538044279310581
"44",158,0.409210558612033,0.0431502104142963,0.257228775050157
"45",159,0.104714850127703,0.091781884790999,0.100450205503357
"46",162,0.0149497140646244,0.00697628190517956,0.0200151523969581
"47",163,0.212653508005589,0.253982632143794,0.129200384681706
"48",164,0.105218569731733,0.152458030325342,0.0893987730261806
"49",165,0.154476194445317,0.225540352445909,0.25818862569582
"50",166,0.212983421233951,0.086541706844137,0.0875301293741092
"51",168,0.115992798006046,0.150146543081921,0.0162137285488821
"52",169,0.130949366645924,0.208783104269729,0.0750867035562052
"53",170,0.147409159783698,0.15954388623936,0.122448502237968
"54",171,0.0306961690546147,0.23883060264459,0.0574071048555952
"55",172,0.237206988455475,0.162798711573778,0.216383315177994
"56",173,0.0911256100209689,0.235013633586616,0.093528842859609
"57",175,0.0352224757799016,0.0288658560822883,0.00701585899680966
"58",176,0.0606545831223954,0.0882660226329212,0.0994334032122107
"59",178,0.16483358098757,0.212942226836986,0.0764768064142308
"60",179,0.146749949739963,0.0777976517518088,0.00888290501068637
"61",180,0.0984642361981097,0.127711572483983,0.106564942022549
"62",181,0.0728040723818967,0.0968717525589958,0.0746195611414911
"63",182,0.145176374104351,0.281133180186227,0.0362775612184123
"64",183,0.136609666142064,0.2187807109943,0.09152502683252
"65",184,0.0827549403007127,0.0957874504195197,0.129406376845002
"66",185,0.254145563969723,0.215784499404411,0.167615331219782
"67",186,0.00487894931170457,0.00568154585535404,0.0101369719416933
"68",187,0.216419231759951,0.407787212067777,0.217687704611853
"69",188,0.0432831562606111,0.168065760046215,0.101444597726119
"70",189,0.0430180953756708,0.097472339186083,0.0906759296389733
"71",190,0.174330237498071,0.234855683207488,0.190453254742665
"72",191,0.0925299043024828,0.0669997725889451,0.0937120255289648
