"","ID","Joy","Exciteme","Pride","Pleased","Anger","Anxiety","Shame","Sad"
"1",1,0.3598376657652,0.197104416749026,0.179490228482746,0.130933967090018,0.0368197368110636,0.2278943355831,0.0442291635949357,0.144337567297406
"2",2,0.188821901887584,0.211417900323959,0.269691784822405,0.253832689309131,0.202463633826687,0.167131698688407,0.0808991351087399,0.0241758494958947
"3",3,0.189421648813481,0.178111356870613,0.162739083006939,0.18553822544558,0,0.142645761541426,0.0337977505146092,0
"4",4,0.495295417436112,0.299237159918791,0.118702803395367,0.120518964231812,0.0501472259690624,0.14629687980177,0.102062072615966,0.176776695296637
"5",5,0.237402360427861,0.218442978549065,0.265322724751958,0.131703526047589,0.131319825772695,0.234434369658596,0.120356462799309,0.192861414784558
"6",6,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,0.229178119413933,0.343059549748624,0.300136088388339,0.128116834224228,0.141700944097465,0.134656283644974,0.0790119282059759,0.104286918822025
"8",8,NA,NA,NA,NA,NA,NA,NA,NA
"9",11,0.158305634211564,0.43718276924366,0.341976042029957,0.0905015451813521,0.0750762112464845,0.136611305108932,0.211840964708849,0.154776218501694
"10",12,0.371001373495176,0.222895294923293,0.429902922576404,0.190170780806963,0.199222526623728,0.227804159995508,0.221239157610869,0.214529284062274
"11",13,NA,NA,NA,NA,NA,NA,NA,NA
"12",14,0.293921026467429,0.360140151536008,0.224701595074569,0.268680987396375,0.0645325371132024,0.140187477818978,0.229437080858128,0.109312210587627
"13",15,0.347293795137132,0.292629915477392,0.346486619563913,0.324455491790311,0.0545890474295964,0.288153482287741,0.0533629301166932,0.0807696507516122
"14",16,0.15760314046679,0.298584034040126,0.353011735752922,0.342663086904606,0.0522648540182997,0.126716517763374,0.0151405661667873,0.0813176392358819
"15",17,0.174165273943115,0.126272497751796,0.062523809836419,0.259923605814821,0.108899568919219,0.220326860487352,0,0.056420965884443
"16",18,0.406114628035971,0.602752324308045,0.211657583449,0.378326809283207,0.0628786097308894,0.35281186545785,0,0.24290173401692
"17",19,0.202507733836659,0.304408425524608,0.208272112776345,0.177504357762573,0,0.0440677337069176,0.0727244757585296,0.0254178222402677
"18",20,0.178384872725225,0.169820047299706,0.166206198898833,0.172076507607339,0,0.411009091233962,0,0.275611100475968
"19",22,0.382303848599623,0.265401522008476,0.282521450371048,0.522092451862965,0.248207848741643,0.361973089060317,0.0944911182523068,0.106876033149695
"20",23,0.234998399070964,0.36492158435074,0.117440544841463,0.256956160446838,0.166260751070911,0.195249234846456,0.146573443651401,0.0776216600425866
"21",24,NA,NA,NA,NA,NA,NA,NA,NA
"22",25,0.148155492643771,0.224332146149894,0.462746196075473,0.137459119526868,0.127086793817618,0.0925708340796788,0.13380370421493,0.147660258133443
"23",26,0.256749751204462,0.250767234510612,0.29849095518017,0.297264885966769,0.0765035764679472,0.173507273238672,0.173517146163949,0.162467186516605
"24",27,0.240680433029824,0.177362146734935,0.0859875494217109,0.157452222189713,0,0.13726979963176,0,0.223606797749979
"25",28,0.160842500420969,0.188515852195031,0.11018551925543,0.175183069842855,0,0.0660886297335603,0.0202262056272181,0.0786798217247887
"26",29,NA,NA,NA,NA,NA,NA,NA,NA
"27",30,0.175629346894883,0.277747561666607,0.102805077082166,0.192711073370896,0.0584537604266004,0.157677242050853,0.119152002742475,0.119104497844323
"28",31,0.128870377485586,0.235845962206985,0.189617136822259,0.136458323376695,0.0691700910455877,0.150192138649194,0.216324282530937,0.328397506071862
"29",32,0.477829889636744,0.49616397295528,0.0655579713397558,0.531141087562212,0.353553390593274,0.159468691708258,0.153093108923949,0.766224853855536
"30",33,0.0981580247120795,0.0892993162579946,0.0205562265945905,0.0884002253619214,0,0.227430956604363,0,0
"31",34,0.240639079696502,0.357722227594286,0.306927847482359,0.291960111868512,0.110966665597462,0.249638094822371,0.318060737295424,0.123906281617888
"32",35,0.178025656139917,0.21076055476175,0.219814033785371,0.192039671939165,0.222229925790432,0.235254379479886,0.0496780973021276,0.23725384554165
"33",36,0.279857652761219,0.2196313030143,0.13524075159896,0.16716042319948,0.109171277102918,0.260923336954042,0.0397367710560075,0.172056728952867
"34",37,0.257882963916114,0.256979733728137,0.197770962608539,0.256593689825396,0.113523325374015,0.200406301142545,0.0188680205697378,0.138755428187746
"35",38,NA,NA,NA,NA,NA,NA,NA,NA
"36",40,0.455949579683421,0.444948968325346,0.0963952503171094,0.306010444942988,0.149406208881286,0.250068732379529,0.193911660722437,0.506472632172556
"37",41,0.491604691415885,0.334733286178873,0.455960388580931,0.461689324565035,0.102062072615966,0.542018612918504,0.130470344834928,0.19601154185169
"38",42,0.146522463990661,0.184787450320037,0.147281486411879,0.11462252531467,0.0396476929577411,0.136809198155477,0,0.19852773916351
"39",43,0.221513432390771,0.167658296827827,0.199593532301527,0.200692712543307,0,0.203784987483928,0.0257114606855101,0.131440267591201
"40",44,0.352165263298405,0.241052292996354,0.128391114101203,0.149538237998729,0,0.169468186217026,0,0.0978431272293089
"41",45,0.128870720088655,0.15683824030948,0.141339279300353,0.0846100692908092,0.0883883476483184,0.127197881020474,0.0226250669522169,0.0944502038861727
"42",46,0.164535004066268,0.200160005276916,0.17456615899091,0.207429433280138,0.0354818269992028,0.157663398522127,0.172473949085328,0.171708350901982
"43",47,0.16356305809801,0.394692174397948,0.110869455363805,0.244195302312929,0.121434155548676,0.138324815482829,0,0.152001560846982
"44",48,0.157845419969351,0.120625861736246,0.0667707955664075,0.213148046230489,0.12296604758504,0.143862682364113,0.0357718915036829,0.0808684193797606
