"","ID","Angry","Depressed","Anxiety","Stressed","Relaxed","Happy"
"1",1,0.168819366741321,0.242590671091875,0.256168720975519,0.166298494824081,0.125524264804815,0.24460396364139
"2",2,NA,NA,NA,NA,NA,NA
"3",3,0.0781266099092114,0.133088272642599,0.141535180485269,0.151063944318286,0.140508714710384,0.156381436844721
"4",4,0.120448977463408,0.113170851930191,0.155141997741122,0.104334525683351,0.141216005356988,0.119726452386136
"5",5,NA,NA,NA,NA,NA,NA
"6",6,0.180525457111369,0.0836646484729802,0.349728256714392,0.24133869501697,0.174415142044732,0.191371789620083
"7",7,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA
"10",10,0.23088247930471,0.314959768712737,0.316191502823947,0.206548098061831,0.277443385965386,0.283408300574939
"11",11,0.1344706876689,0.236796526047579,0.156505933665414,0.18429276127839,0.124076175186361,0.136700866059267
"12",12,NA,NA,NA,NA,NA,NA
"13",14,NA,NA,NA,NA,NA,NA
"14",15,NA,NA,NA,NA,NA,NA
"15",16,NA,NA,NA,NA,NA,NA
"16",17,NA,NA,NA,NA,NA,NA
"17",18,NA,NA,NA,NA,NA,NA
"18",19,NA,NA,NA,NA,NA,NA
"19",20,0.265196213666518,0.250945661762802,0.154501074641474,0.223708148319716,0.153937698336216,0.181432923078993
"20",21,0.191427802484306,0.137196935454207,0.083070814547261,0.0838678034120014,0.181397342291619,0.0570510777444146
"21",22,0.0585059742501487,0.0700030195888547,0.121823705479592,0.207900925228315,0.222040608074964,0.207918850784378
"22",23,NA,NA,NA,NA,NA,NA
"23",24,NA,NA,NA,NA,NA,NA
"24",25,NA,NA,NA,NA,NA,NA
"25",26,0.337351315660347,0.382393182556791,0.323350528475345,0.364055714788057,0.320392113702562,0.266858412658626
"26",27,0.323921112779009,0.218961761145578,0.305678616887272,0.251235682075492,0.403533847986515,0.291118775308868
"27",28,NA,NA,NA,NA,NA,NA
"28",29,NA,NA,NA,NA,NA,NA
"29",30,0.375795343423848,0.131562241237391,0.151849434491002,0.236911696225684,0.305592463139033,0.281851288755157
"30",31,NA,NA,NA,NA,NA,NA
"31",32,0.200866625673317,0.213579401110621,0.183142698440329,0.160847844515579,0.20227129065184,0.199269798391582
"32",33,0.0960761848205622,0.052428474882794,0.135655624392781,0.218334954126924,0.153781720912006,0.14851607873493
"33",34,0.161176921339378,0.140092459897283,0.206620229105339,0.192800036681104,0.353993108751006,0.221267824088864
"34",35,0.0751616887735914,0.167150140749165,0.163148385942527,0.0967446327087811,0.22714531993259,0.171331976995743
"35",36,NA,NA,NA,NA,NA,NA
"36",37,0.163362653840978,0.178057161028048,0.185932325761604,0.137029155773998,0.160469884347252,0.104734127050161
"37",38,NA,NA,NA,NA,NA,NA
"38",39,0.258532861162098,0.172399619226035,0.107312114368406,0.175580614996229,0.205339407970564,0.218519355497071
"39",40,0.0289753842799097,0.158734917183189,0.136040077176788,0.165661768411246,0.134148579173261,0.0840749976109275
"40",41,0.0847398398726563,0.111845648074983,0.105065748555725,0.140496488806352,0.0962459752584223,0.0339669662953771
"41",42,NA,NA,NA,NA,NA,NA
"42",43,NA,NA,NA,NA,NA,NA
"43",45,0.0408447231744251,0.159548947212203,0.333289094113385,0.341174933859544,0.361330861348004,0.101554793338222
"44",46,NA,NA,NA,NA,NA,NA
"45",47,NA,NA,NA,NA,NA,NA
"46",48,0.373540722639626,0.117404108013854,0.187046257485015,0.110132588346182,0.249716804431605,0.260184375502671
"47",49,NA,NA,NA,NA,NA,NA
"48",50,NA,NA,NA,NA,NA,NA
