"","ID","Angry","Stressed","Anxious","Sad","Happy","Relexed"
"1",1,0.0892581211528506,0.154159097024593,0.173624552399682,0.2120947770295,0.153820539569185,0.23353656678204
"2",2,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA
"4",4,0.248587326103087,0.0979574974041779,0.166844560072669,0.180073814731185,0.123057967964896,0.0995436331455179
"5",5,NA,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,NA
"7",7,0.158471677940482,0.170844565951647,0.195658550004113,0.355876292972137,0.271841357035768,0.107550447884274
"8",8,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA
"10",10,0.0848365034074969,0.122541440044559,0.153127413220122,0.0603212843027212,0.0800883536439149,0.14151991031525
"11",12,0.218441792711207,0.165813099585557,0.174100992626817,0.106194101686445,0.0881828183773435,0.120945187988261
"12",13,0.255154072157456,0.252922569385372,0.290324513794352,0.193429067364981,0.240193258002488,0.179493510686066
"13",14,0.211475976359012,0.210717333276242,0.126968815152795,0.122754658558603,0.124331631735833,0.147267306124251
"14",15,0.113755420654803,0.131930737097563,0.222146812453958,0.0726506298533065,0.236705447679979,0.314474832087759
"15",16,0.166504703813895,0.216924752422752,0.297832892542662,0.141755636780411,0.058137302532848,0.0916110937958081
"16",17,NA,NA,NA,NA,NA,NA
"17",18,NA,NA,NA,NA,NA,NA
"18",19,NA,NA,NA,NA,NA,NA
"19",20,0.108788901158607,0.16022538385461,0.140859042454753,0.0890870806374748,0.102257501728861,0.1620559323828
"20",21,0.152208978071356,0.13153903729045,0.130328868104374,0.185396127387796,0.149200850490396,0.154346805723446
"21",22,0.26386582966162,0.207610011853576,0.145209164862198,0.119982711345245,0.0839372192698217,0.205176558834804
"22",23,0.153624969458348,0.301874402256238,0.281673378005289,0.151485056995233,0.187765108247426,0.0825030597453042
"23",24,NA,NA,NA,NA,NA,NA
"24",25,0.082876623081256,0.152259949310925,0.129240970135516,0.149207952183767,0.107765060372369,0.188958500085201
"25",26,NA,NA,NA,NA,NA,NA
"26",27,NA,NA,NA,NA,NA,NA
"27",28,0.349495512022908,0.408415518255937,0.380838891170717,0.241246166015956,0.365703989315648,0.383796582023656
"28",29,0.271373940011256,0.187310899867659,0.203334599549273,0.239648858705751,0.250674847839381,0.230138804261456
"29",30,NA,NA,NA,NA,NA,NA
"30",31,NA,NA,NA,NA,NA,NA
"31",32,0.137646458384072,0.262251772014192,0.183960817451147,0.125016252713133,0.140699622241348,0.0872248222422986
"32",33,0.334920032305737,0.388302888746777,0.487071607262888,0.458729571186725,0.316702484123917,0.116048419556747
"33",34,NA,NA,NA,NA,NA,NA
"34",35,0.109562622522319,0.243415266701766,0.197237591621123,0.219351497293908,0.153335921303212,0.226958456756902
"35",36,0.0767103871664496,0.16182961006862,0.122808796892704,0.187697217765394,0.188110000970357,0.135157056198581
"36",37,0.165425519637514,0.108421418038154,0.138905196271047,0.0893726370880434,0.157686252056661,0.21449541268528
"37",38,0.154303349950448,0.343507309683621,0.256927820145521,0.214645448725747,0.117181051409783,0.185595486259634
"38",40,0.348035784171158,0.232256944568919,0.316043844409642,0.123333348335178,0.163162372757353,0.302714995158913
"39",41,0.197751449111128,0.183492719940485,0.208157549057252,0.18584279263482,0.233387421761842,0.290844333518874
"40",42,0.0723014893958946,0.214291375791204,0.268225360185233,0.319746512408746,0.302853899122559,0.210945528602442
"41",43,NA,NA,NA,NA,NA,NA
"42",44,0.180049898686316,0.127674145457211,0.129746348119764,0.101796657396999,0.053304529215512,0.085607913294814
"43",45,NA,NA,NA,NA,NA,NA
"44",46,0.060445567421327,0.11580737331693,0.153534503344954,0.118771431607652,0.0810951897295414,0.0846556580827314
"45",47,0.151930025748027,0.117560798288764,0.116801312415444,0.18678635792787,0.188294359628675,0.152975392297698
"46",48,NA,NA,NA,NA,NA,NA
"47",49,NA,NA,NA,NA,NA,NA
"48",50,0.11347411076646,0.144467042169577,0.089393207561575,0.15244838187619,0.188754169522371,0.259366496198981
"49",51,0.222193639280519,0.211589521483908,0.161035885165974,0.177859816938029,0.202089008276386,0.102448351541819
"50",52,0.0859381263004276,0.122438481115409,0.0984894733808798,0.119399831707902,0.151418920859833,0.162762924363398
"51",53,NA,NA,NA,NA,NA,NA
"52",54,NA,NA,NA,NA,NA,NA
"53",55,0.231422623069363,0.10595942612247,0.309201041234136,0.141931749472715,0.125639059686317,0.0908869070381459
"54",56,0.233546789748768,0.137548830286334,0.122192327669971,0.20856896387061,0.209081724625704,0.141622530722423
"55",57,NA,NA,NA,NA,NA,NA
"56",58,0.1940743008593,0.168584143029585,0.21475813457141,0.124329626281208,0.194884315771531,0.0957093064565483
"57",59,NA,NA,NA,NA,NA,NA
"58",60,0.1930200495769,0.143840682330436,0.116761386654447,0.0417174609189332,0.195963381138375,0.192642851092457
"59",61,0.250861239336335,0.26810507335598,0.301776965568611,0.191419797851897,0.204596408408408,0.176413485629579
"60",62,0.172017288316535,0.0843195602494695,0.0859124682276746,0.0633082687889722,0.129636240786849,0.149867662845065
"61",63,NA,NA,NA,NA,NA,NA
"62",64,NA,NA,NA,NA,NA,NA
"63",65,NA,NA,NA,NA,NA,NA
"64",66,NA,NA,NA,NA,NA,NA
"65",67,NA,NA,NA,NA,NA,NA
"66",68,NA,NA,NA,NA,NA,NA
"67",69,0.0578067362052004,0.182868191477064,0.108519669096188,0.180045774539591,0.199162512038427,0.139619228846984
"68",70,0.230584660345077,0.306660902524558,0.216175014304035,0.23662991115391,0.0897035083812883,0.181245615864291
