"","ID","Joy","Exciteme","Pride","Pleased","Anger","Anxiety","Shame","Sad"
"76",84,0.216178612276533,0.246915538112836,0.296683144556721,0.243169387482807,0.0477180416009433,0.229386545900099,0.130375078882893,0.215445554903761
"77",85,NA,NA,NA,NA,NA,NA,NA,NA
"78",86,NA,NA,NA,NA,NA,NA,NA,NA
"79",87,0.132888434071327,0.197882530159858,0.19088749985026,0.122950978893507,0.0140280790850989,0.190151121653975,0.069675344404539,0.0921102041262585
"80",88,NA,NA,NA,NA,NA,NA,NA,NA
"81",89,NA,NA,NA,NA,NA,NA,NA,NA
"82",90,NA,NA,NA,NA,NA,NA,NA,NA
"83",91,0.175330731610933,0.189170914803051,0.108042999344976,0.270765508388561,0.126981458627055,0.161740132787651,0.0850635417151153,0.0299561297998769
"84",92,NA,NA,NA,NA,NA,NA,NA,NA
"85",93,NA,NA,NA,NA,NA,NA,NA,NA
"86",94,NA,NA,NA,NA,NA,NA,NA,NA
"87",95,NA,NA,NA,NA,NA,NA,NA,NA
"88",96,NA,NA,NA,NA,NA,NA,NA,NA
"89",97,NA,NA,NA,NA,NA,NA,NA,NA
"90",98,NA,NA,NA,NA,NA,NA,NA,NA
"91",99,0.262555378404893,0.311753796770059,0.202424884562157,0.156533647352454,0.169372428804744,0.204188265655216,0.0409461046749843,0.083418748963781
"92",100,NA,NA,NA,NA,NA,NA,NA,NA
"93",102,NA,NA,NA,NA,NA,NA,NA,NA
"94",103,NA,NA,NA,NA,NA,NA,NA,NA
"95",104,NA,NA,NA,NA,NA,NA,NA,NA
"96",105,NA,NA,NA,NA,NA,NA,NA,NA
"97",106,NA,NA,NA,NA,NA,NA,NA,NA
"98",107,NA,NA,NA,NA,NA,NA,NA,NA
"99",108,NA,NA,NA,NA,NA,NA,NA,NA
"100",109,0.276228676215738,0.285606584377412,0.357999984430069,0.222608585196317,0.0588794715475467,0.166656346172111,0.116671371065905,0.171841437840245
"101",110,NA,NA,NA,NA,NA,NA,NA,NA
"102",111,NA,NA,NA,NA,NA,NA,NA,NA
"103",113,NA,NA,NA,NA,NA,NA,NA,NA
"104",114,NA,NA,NA,NA,NA,NA,NA,NA
"105",115,NA,NA,NA,NA,NA,NA,NA,NA
"106",116,NA,NA,NA,NA,NA,NA,NA,NA
"107",117,NA,NA,NA,NA,NA,NA,NA,NA
"108",118,NA,NA,NA,NA,NA,NA,NA,NA
"109",120,NA,NA,NA,NA,NA,NA,NA,NA
"110",121,NA,NA,NA,NA,NA,NA,NA,NA
"111",122,NA,NA,NA,NA,NA,NA,NA,NA
"112",124,NA,NA,NA,NA,NA,NA,NA,NA
"113",125,NA,NA,NA,NA,NA,NA,NA,NA
"114",126,0.184411137361031,0.187073065321121,0.155485696963061,0.175256707535735,0.320774288636187,0.215737457741638,0.29488978210744,0.159166067613395
"115",127,NA,NA,NA,NA,NA,NA,NA,NA
"116",128,NA,NA,NA,NA,NA,NA,NA,NA
"117",129,NA,NA,NA,NA,NA,NA,NA,NA
