"","ID","Angry","Depressed","Anxiety","Sad","Relaxed","Happy"
"1",2,NA,NA,NA,NA,NA,NA
"2",3,0.117426845193519,0.0494015786103989,0.0753664504087089,0.0771658019527804,0.219867746138774,0.0755977298877314
"3",4,0.22738135860979,0.196315319529774,0.229975016121252,0.239285026758312,0.200728183116869,0.208753735163
"4",6,0.0544886581607186,0.041902377266787,0.051208999890407,0.180125122565042,0.190186347942095,0.20846303711383
"5",8,0.0189138516860975,0.0351626096770546,0.0405750422143132,0.0287048056739688,0.205350661601423,0.137707190700289
"6",9,0.195236056909478,0.106648443069923,0.119108653461273,0.271292275374221,0.187980359119424,0.195382237037402
"7",10,0.0728616799225355,0.223602948550841,0.0225066345994879,0.10881764384238,0.0886093754018846,0.114066882207809
"8",12,0.120530522509342,0.123286288889673,0.110805639634933,0.101564207353119,0.139780140158421,0.191842822876063
"9",13,NA,NA,NA,NA,NA,NA
"10",17,0.0466754423201733,0.111876358100847,0.0446074750391354,0.0764882799478068,0.162664588103343,0.120199553074632
"11",20,0.248211011014701,0.246142140774939,0.0905667996519579,0.250456360818516,0.151565430239227,0.270844092923189
"12",23,0.167182518099066,0.131788900230598,0.168374596858254,0.109229632868607,0.213642889590531,0.157953660164152
"13",26,0.0269523588897856,0.079570459330872,0.0827893267556643,0.0657318942308054,0.218240653126021,0.165806697301053
"14",28,0.0541456578262,0.0860551823572262,0.0410366965259303,0.0995791163438127,0.0417115363119082,0.0850127247883986
"15",31,0.0388086298092755,0.077284456087972,0.0534840247116396,0.180040819385433,0.253669806043297,0.264369402463018
"16",34,0.155856161996202,0.18456039780357,0.069379178636931,0.126618571788073,0.21941811234955,0.229854572523118
"17",38,0.0734965667920232,0.0750304394033154,0.0687173803047128,0.116335610850187,0.21655017363189,0.229519529189257
"18",39,0.178500741282135,0.0331423149955142,0.0675342941915384,0.0915024485750063,0.0906028289856947,0.16214516456984
"19",41,0.0998786604780099,0.0983596008595795,0.100102284474614,0.231485232287037,0.131227005080613,0.188599346170976
"20",43,0.13187592190384,0.134441171154128,0.126355198446741,0.114908039274036,0.236575859337664,0.156080738835081
"21",46,0.206658277660094,0.0436817770068206,0.0410914533151156,0.0473070880673639,0.264868754590177,0.197999035548147
"22",47,0.232664641334786,0.116799085831303,0.150890826172825,0.149866491355626,0.23252243299763,0.202955533345494
"23",48,0.0834063631854157,0.00700795822875461,0.0716889926821601,0.0525854301964674,0.216370192576961,0.0548720302098815
"24",52,0.0679624363278302,0.0451891371025535,0.0408038596380582,0.0388089480821436,0.101901470927959,0.0589513294456133
"25",57,0.128778893908209,0.10932727689599,0.096740529507666,0.0820123702292159,0.176382583067187,0.0940181093396719
"26",74,0.105846738895574,0.0924962848828763,0.0318965249024287,0.0936620008072033,0.140348569926819,0.127234660843595
"27",82,0.0285255306139667,0.0254685673804856,0.0204386860877926,0.0189710352828689,0.272309644491995,0.114599458304671
"28",84,0.0269410311219135,0.0109581369405849,0.0126565538680863,0.0321197586923699,0.111705870289053,0.0901701516209225
"29",90,0.0729197237485417,0.0516477371488761,0.064685479642947,0.032768448754783,0.179906401728128,0.200487237008825
"30",94,0.122260580638347,0.0255691748425722,0.0442780281217165,0.0558324320701412,0.238785633965141,0.360550628473896
"31",105,0.128741419617647,0.0607050662410384,0.0639026274816148,0.0648628898739808,0.237694067297671,0.163923523320769
"32",107,0.11450902131253,0.177029206674892,0.106538104135098,0.16095856568578,0.117505128336583,0.129843868406661
"33",124,0.0687790085192161,0.0883211848596156,0.0855319992124551,0.176912087089232,0.186453323789378,0.204523521419379
"34",125,0.159293842970261,0.161364038724109,0.0838258512682891,0.131204347215098,0.211030063809408,0.225097942560416
"35",128,0.0435270094673871,0.0579576646411764,0.0759833949187216,0.0538168991066538,0.0921609431289223,0.110260396151489
"36",154,0.0578085385734171,0.0276997419489194,0.0186139256895143,0.102450454016532,0.123018776747646,0.0680372815503965
"37",162,0.148358751552704,0.136090594263841,0.0691498675790572,0.14723867874195,0.068421849363699,0.131818301746714
"38",172,0.13508169414646,0.0918941580167833,0.11811218602687,0.0849997925427066,0.242449356796307,0.158379560813756
"39",173,0.276383155792145,0.262098535652988,0.0525433677842889,0.335758491326667,0.146099855439754,0.136437492542048
"40",181,0.12511852823941,0.112562840687093,0.0737131902606387,0.159708768180521,0.146020227982737,0.132226692224367
"41",184,0.000723739207073317,0.0389084069103364,0.081867724925061,0.04231434163853,0.276981423093264,0.253584229213737
"42",186,0.0526597479423081,0.0406795053452427,0.0459235553657148,0.0328864537246653,0.201002351257379,0.177034724179694
"43",195,0.180978159244455,0.140014514102829,0.0892961797538441,0.129691444923414,0.234929252749591,0.197547170224065
"44",202,0.102621275914845,0.0348618947355499,0.100584878251905,0.0716563542868272,0.062817554350904,0.0959795937428496
"45",236,0.0609612681715932,0.0471589798743481,0.0428915777142768,0.0566749204165,0.170357222102001,0.136179811334344
"46",239,NA,NA,NA,NA,NA,NA
"47",258,0.239571396510049,0.123920882033126,0.0499798720427029,0.191904972675277,0.265410755924962,0.192539225888607
"48",259,0.123571167920789,0.0159774595336228,0.0554743018307849,0.0811242911127418,0.202705255532424,0.0647518279938212
"49",271,0.0964140451739596,0.140500534565688,0.0658791917340795,0.162908483292213,0.114878974503699,0.135259536539671
"50",281,0.0623066621763422,0.173589583033314,0.171613760101922,0.0600436689015682,0.173348744443643,0.195548695271955
"51",288,0.144719241478805,0.141642902097001,0.176780531730814,0.158741098432981,0.216801201224119,0.211191212036792
"52",300,NA,NA,NA,NA,NA,NA
