"","ID","Angry","Sad","Stressed","Relaxed","Happy"
"1",105,0.177184271484511,0.210587618665362,0.234800019554749,0.257699510829218,0.230945675156569
"2",106,0.257869840645262,0.0777167114482415,0.240355382415336,0.247755366194171,0.177186787102596
"3",107,NA,NA,NA,NA,NA
"4",108,0.12402987316457,0.0860525635592482,0.198891503773796,0.167302473198806,0.143261185672385
"5",109,0.118409144901135,0.0531059349160492,0.15356191910317,0.108429901461947,0.101209993856432
"6",110,0.125729302364323,0.211744590904147,0.258552477109563,0.305100433406535,0.159195522261156
"7",111,0.0149385086731256,0.0173382292550312,0.0142981390372321,0.0386753286302459,0.0203401021555383
"8",112,0.0874503744297187,0.16975741575207,0.163835666218587,0.205726391073208,0.23877743177584
"9",113,0.146727985003885,0.141306725265495,0.205120834991295,0.173554661102173,0.123140579711777
"10",115,NA,NA,NA,NA,NA
"11",116,NA,NA,NA,NA,NA
"12",117,0.292459755629825,0.289829462333204,0.248824282571356,0.286909872921862,0.120958113657739
"13",118,NA,NA,NA,NA,NA
"14",121,0.114149924789426,0.113824252148072,0.0580975205663301,0.113603794886739,0.0921925018403896
"15",122,0.191302570159123,0.206587943148277,0.0928432503848489,0.146405806331118,0.189478157858966
"16",123,0.0858741676690633,0.0906369771936094,0.118452996273079,0.117158046615424,0.124553531170824
"17",124,0.201231434436232,0.180407558288506,0.181532871055727,0.120612732228771,0.201569934595976
"18",125,NA,NA,NA,NA,NA
"19",126,0.118627062470366,0.0842024567670873,0.28695410141753,0.10027896481933,0.140327088211882
"20",127,NA,NA,NA,NA,NA
"21",128,0.163202284618233,0.128443535310597,0.177739014497694,0.190546734157533,0.170220525138309
"22",129,0.0586101136380141,0.0807074026440054,0.134977119180151,0.116042760750184,0.0701796076798317
"23",130,0.189979422263634,0.176817380927152,0.165841382318222,0.136127822275962,0.112415413314119
"24",131,0.200555218823588,0.0984254296796661,0.159571102455245,0.137600283556422,0.121704388953072
"25",132,NA,NA,NA,NA,NA
"26",133,NA,NA,NA,NA,NA
"27",134,NA,NA,NA,NA,NA
"28",135,0.0779565382997294,0.112516730923643,0.17004569434369,0.117467059785165,0.178230914972295
"29",136,NA,NA,NA,NA,NA
"30",137,0.147023126932172,0.18715743112325,0.14499730025578,0.151296525309166,0.116234760821846
"31",138,NA,NA,NA,NA,NA
"32",139,0.144157579395712,0.091175976194427,0.258759357187849,0.17853729998936,0.195934371636187
"33",140,0.0990980739956071,0.117831401787005,0.142718513649741,0.123197739289823,0.143022296565908
"34",141,0.0949093565251221,0.0745025822216455,0.124517479139844,0.197089860135335,0.213811442606245
"35",142,NA,NA,NA,NA,NA
"36",143,0.180995403351931,0.122755818841723,0.178449556204908,0.179155330679886,0.127369021341809
"37",145,0.166638558261571,0.0912947466289116,0.181042847513925,0.150646003560889,0.146531504752736
"38",146,0.0608585960373247,0.107278529981543,0.18270114060919,0.167102227880161,0.166472029434948
"39",147,NA,NA,NA,NA,NA
"40",148,0.180417199881184,0.169829326886913,0.183274403057291,0.193172736500134,0.108164919826648
"41",149,0.0806212324904956,0.06947836172011,0.165830299873708,0.153194658942509,0.134378613089328
"42",150,0.0745152115754345,0.0319293189600968,0.108285909493373,0.216082409138969,0.04895014531438
"43",151,0.0667394261987601,0.0587757307377341,0.180554905408793,0.145592535596848,0.133437180484199
"44",152,NA,NA,NA,NA,NA
"45",153,NA,NA,NA,NA,NA
"46",154,0.0354022663545734,0.0428731366814986,0.0420556037236503,0.0941803203686693,0.138594070690757
"47",156,NA,NA,NA,NA,NA
"48",158,0.0196289567518976,0.0345566420485303,0.0605111392020998,0.152254508111843,0.135098791272598
"49",159,NA,NA,NA,NA,NA
"50",160,0.0634556229508262,0.198242830752766,0.297588073601443,0.26439865864647,0.224953290736318
"51",161,NA,NA,NA,NA,NA
"52",162,0.158304108519346,0.16932385578163,0.39156604203456,0.234686752261711,0.190683307640905
"53",164,NA,NA,NA,NA,NA
"54",165,NA,NA,NA,NA,NA
"55",166,0.112594370741106,0.0920854206656604,0.167962177447685,0.139649697422755,0.144748143622496
"56",167,NA,NA,NA,NA,NA
"57",168,NA,NA,NA,NA,NA
"58",169,NA,NA,NA,NA,NA
"59",170,NA,NA,NA,NA,NA
"60",172,0.103305664813474,0.0874872420613468,0.152011713048202,0.238239540943146,0.233627595571434
"61",173,NA,NA,NA,NA,NA
"62",174,0.124768341163584,0.128427157521296,0.147139466454825,0.111571221181774,0.0965537792993893
"63",175,NA,NA,NA,NA,NA
"64",176,0.0405340202043997,0.149910237736762,0.158077774523246,0.102619776885614,0.0681222572251968
"65",177,0.153017993599125,0.139845079053043,0.114832900557903,0.108742846568983,0.158222042331778
"66",180,0.0564568205092432,0.117337122843928,0.121920358168608,0.148749022534312,0.168559577952688
"67",181,0.154219515654197,0.177260444484248,0.304619136208595,0.267692514309773,0.172271406068756
"68",183,NA,NA,NA,NA,NA
"69",184,0.0309615801403117,0.0854548015029092,0.136871190691679,0.113782718487881,0.0739598560479677
"70",186,NA,NA,NA,NA,NA
"71",187,0.0670948428349213,0.129747545453515,0.042966286984697,0.15498801469706,0.155854794580453
"72",188,0.275422809558948,0.238396381706957,0.263634318706035,0.350415254869947,0.321151628882309
"73",189,NA,NA,NA,NA,NA
"74",190,NA,NA,NA,NA,NA
"75",191,0.0366810346641009,0.0391678906109066,0.0310602337760834,0.149703952403768,0.129847327843392
"76",192,0.203796221561627,0.132563079165265,0.179468562900173,0.132329876175323,0.171991426060805
"77",193,0.195821124398876,0.14627325273207,0.140922692586729,0.169728570074534,0.224124473687963
