"","ID","Afraid","Active","Alert","Nervous","Attentive","Determined","Hostile","Inspired","Ashamed","Upset"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,0.0502617006886976,0.347091533109809,0.314381085353325,0.0779438373428226,0.27562413595769,0.266861891589211,0.205197108656672,0.195394547138785,0.00377419205946836,0.111796760027312
"4",4,0.100774300733096,0.0962394233623408,0.177488023931313,0.123712670458688,0.0452011736303487,0.0513972648074513,0.109041907695386,0.143111960464364,0.104975874509712,0.127266096561816
"5",5,0.141795664551183,0.090485436441708,0.13678973313834,0.0985977823726915,0.107798747750002,0.132514729924315,0.118931850931235,0.144707582332068,0.298323280656851,0.233398911628204
"6",6,0.291123384410042,0.283460499004805,0.272581057860648,0.242408685042205,0.259876290013753,0.36102826146382,0.24515686620947,0.206412181041698,0.255608567037172,0.29487194029868
"7",9,0.261836753957762,0.196840029464212,0.199484496022093,0.179179193984688,0.19103781546552,0.15810118274762,0.279770860064488,0.148277308930258,0.0681251043617291,0.235570198070904
"8",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",13,0.195372636984073,0.271690718491315,0.159311795038598,0.463507950936012,0.102267602859211,0.199944493977959,0.500679655663276,0.373203113384791,0.121416987261856,0.2674786216896
"12",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",16,0.0207113565297982,0.203483371972512,0.195973889988888,0.158468711544692,0.216972489406957,0.157034055485818,0.136360181003128,0.114000467437375,0.00125490451175555,0.273084765388042
"15",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",18,0.222799560259197,0.138889960576764,0.160140039162311,0.204567810065389,0.19798528329613,0.206719990129989,0.216161320183825,0.211073405990657,0.237745980233608,0.178296478645477
"17",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",21,0.124194531740146,0.161176891777457,0.154177032361282,0.200956017547074,0.185186084196936,0.222491621681136,0.0246351620958526,0.131365733324503,0.0943141481724295,0.119967711554441
"20",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",23,0.17493635426394,0.204567853749411,0.189611731378277,0.180795078457867,0.210537551576142,0.220647160550702,0.19555392773277,0.206662263799224,0.194602253389828,0.27457324224432
"22",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",26,0.0719315811458983,0.304671649207205,0.140661996151522,0.230910536315056,0.31226434860793,0.332547088189325,0.0657364393486555,0.266904546659214,0.0643790671423605,0.162115112740882
"24",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",29,0.121724666955053,0.05388544997433,0.0476734221413531,0.136472120850629,0.0471607135238671,0.13848974632606,0.128436287902681,0.132428747538785,0.114315433149143,0.134339986949335
"27",30,0.161037038046946,0.167785314152614,0.123905198008959,0.150900927100485,0.131199286633269,0.161118801073422,0.113857306176072,0.187658987766145,0.151467554087042,0.175943021998682
"28",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",32,0.336711932687794,0.207546171213879,0.217049884615372,0.230443243193169,0.20210015497676,0.14035523847532,0.072649856459198,0.0856644018661218,0.217477604759925,0.243217344981408
"30",33,0.135959881449737,0.191617730843979,0.137717735244344,0.226293991121531,0.129437762460753,0.159841197644075,0.304616309711925,0.181157046523372,0.263132980877419,0.133893772263338
"31",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",37,0.227541572628829,0.203462828143828,0.158948720519525,0.241262075973414,0.172937814195746,0.206861987412906,0.174381113830923,0.212252552882415,0.200185481877332,0.241901767331849
"35",38,0.0438308466139271,0.297905940070949,0.176726250508602,0.141170602834222,0.152813854870087,0.224071598868083,0.115237044300151,0.155683875223763,0.142876037751219,0.159919187277187
"36",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",41,0.24281165007522,0.212582396845792,0.21662287576938,0.193104911247799,0.196734405689015,0.21793765296921,0.297235290134503,0.214428621685391,0.275942120830064,0.22805725114747
"39",42,0.00435556336094708,0.00916070560837945,0.00147753316264215,0.0106382978730297,0.0106382978739731,0.0149637412539399,0.00265955969275543,0.00875226713085447,0.00443259948792576,0.000295506632528641
"40",43,0.18448509308907,0.130012543495316,0.153737197518148,0.167059044287298,0.111876836299971,0.114905992800276,0.1917682939948,0.170511029802254,0.175276139693274,0.196848858034027
"41",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",47,0.0888160897350777,0.149568763420292,0.326193870621348,0.332871142056541,0.0961180866372347,0.26310224567007,0.145813168884834,0.287464862532664,0.0413514369773481,0.167880936999015
"44",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",51,0.00522551975120537,0.41275033750053,0.328465593241123,0.161848424715784,0.390159122316721,0.365043794937199,0.0102987623263916,0.269227420116572,0.0852465829597443,0.00938122546064932
"48",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",53,0.274789156118193,0.162402870364452,0.15308282535287,0.274452002276997,0.133808307683349,0.198171979075387,0.313982648373295,0.15138777372329,0.109585389147256,0.313049053749922
"50",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",56,0.187416956876812,0.210576439834499,0.161894315005534,0.158375606379771,0.159329015979026,0.19331629671674,0.0542101690933964,0.145186982266293,0.158529481335733,0.217621241693045
"52",57,0.165909897908742,0.190037470284461,0.145712529992808,0.152989171659225,0.117338008281194,0.12051717073367,0.207513106219004,0.147580820930407,0.171405675619907,0.149488222927913
"53",58,0.172750681528074,0.20501696034176,0.122660926416054,0.113705926866676,0.206004769975127,0.124224737582866,0.270908286441133,0.016135056118253,0.132824426885385,0.277103594192929
"54",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",60,0.169174677262102,0.122099395343411,0.12892502517847,0.164663427279937,0.144398411478396,0.171817064566145,0.00836811852363549,0.199460120368801,0.167810656674392,0.174696309260942
"56",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",64,0.14182191159526,0.215467224760924,0.216533684062288,0.201572237154768,0.200479956016567,0.185256719256091,0.12404359951585,0.254116648241374,0.0760438551816326,0.280948420626713
"59",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",66,0.0329433855354804,0.0376361682965997,0.0436834623164911,0.0392122441015636,0.0392122441015636,0.037555010698528,0.0335535052092618,0.0392122441015636,0.0392122441015636,0.0392122441015636
