"","ID","Happy","Excited","Relaxed","Satisfied","Angry","Anxious","Depressed","Sad"
"1",1,0.0772667059829358,0.153347440445086,0.15170359690249,0.109398263256311,0.166751258442815,0.241502961384652,0.127296743836539,0.225743150643014
"2",2,0.12951609817885,0.213469396797102,0.178067145451079,0.156062022086559,0.142202983340451,0.150198165289377,0.212044594732937,0.104080113348203
"3",3,0.103869709874776,0.0266972732820655,0.0900975812012153,0.12136091145674,0.148730215631583,0.123119008944491,0.146921375091582,0.135133014179163
"4",4,0.0631689430756268,0.0973382218015999,0.0917847432051285,0.13653827650303,0.137017137588171,0.170649426322523,0.084194691632177,0.126636348270176
"5",6,0.0993357459219253,0.147705856086303,0.178471246129632,0.161350893846726,0.0426754341152302,0.0462965281772699,0.0663171175634157,0.0383568179444729
"6",7,0.121249242812657,0.120064690439803,0.194335400506509,0.151665923832096,0.224443850123104,0.201358107869798,0.218094658715198,0.245081614706296
"7",8,0.0464140072075997,0.086561834974817,0.112133687845187,0.103627815817717,0.149516071273948,0.154903681787761,0.152520309708211,0.184884898823055
"8",10,0.0777162923583575,0.11399235679594,0.13445845959437,0.093650976251864,0.044607188054846,0.0543408402763116,0.118994641549224,0.103125138089985
"9",11,0.0803232953907655,0.237524842277286,0.203814301777248,0.126851114036988,0.13773091556542,0.151232006391831,0.154305516051806,0.206488365462437
"10",12,0.140879605429299,0.179735036881664,0.192798194316313,0.186148151683718,0.11369975341591,0.293108740490285,0.114351382038758,0.101900411604601
"11",13,0.0586770986187703,0.072334155984749,0.0800638375691835,0.0702732164683527,0.083967489810859,0.163850209715164,0.0453119249025353,0.0820632435097544
"12",14,0.0945967035133654,0.178789012251636,0.215428551208117,0.158092917810974,0.0679678953747,0.0211667074178615,0.115653282896083,0.0740497884892729
"13",15,0.0674072785979023,0.134392517108036,0.170041788110685,0.121651853566124,0.090162881669765,0.101655039576134,0.0723115590317485,0.0380152903412144
"14",18,0.11853505682208,0.155563106816706,0.121700467228176,0.114052833232912,0.150901028058858,0.12197152868957,0.116256680667394,0.0299685203487136
"15",19,0.0561516782106393,0.0714848590944104,0.0762866792801785,0.0642535356194704,0.0769455527563895,0.0693939754506135,0.102507851244932,0.0863633634783825
"16",21,0.140221683560334,0.250628397651058,0.120469028908095,0.0842467139972765,0.10786417875987,0.0871040339632281,0.127885710988544,0.0891014162791934
"17",22,0.103796218824575,0.127684991529116,0.125817802894041,0.128551520221709,0.0354822537330893,0.0117182416814929,0.0290693566503091,0.0158346437322682
"18",23,0.222758722567345,0.133651120062779,0.146758147189936,0.172313062455297,0.276653211745239,0.240851063816923,0.308662319227637,0.221482413726664
"19",24,0.112235343589526,0.106883097928378,0.141849837443771,0.138819919749567,0.0218131904940594,0.0208347433292445,0.0857060058355426,0.104575496553854
"20",25,0.0679941837990066,0.17042483371007,0.123898110496654,0.0469650439993049,0.0369283758068114,0.127284606932448,0.014616369607125,0.0683111460215057
"21",26,0.124116713924136,0.0613219755848691,0.163213290249128,0.166567604968699,0.0296482679846557,0.0161371508338113,0.089473235422177,0.0372360655262681
