"","ID","Angry","Depressed","Anxiety","Sad","Relaxed","Happy"
"1",2,NA,NA,NA,NA,NA,NA
"2",3,0.0877215784178268,0.0416691249200273,0.0616749335436811,0.0635021059657889,0.175619532105695,0.0845079077256689
"3",4,0.154511535349082,0.142324934677357,0.0713852585300035,0.120699152122484,0.147284292334861,0.171565941057968
"4",6,0.0998784463108536,0.0849936873000347,0.057611779556709,0.209516121351189,0.190418715268445,0.208854251743218
"5",8,0.0174729230851002,0.0308844326219901,0.0311340896254401,0.0395583546141156,0.183038540118463,0.144685789023362
"6",9,0.190172178517315,0.0996597807959639,0.167445141859195,0.20975096085652,0.21681813392969,0.186540039556109
"7",10,0.0556541680735318,0.171269817077061,0.0243881231193193,0.0808796489780901,0.0964214158361126,0.114502396656775
"8",12,0.0734866105739968,0.0931616796668118,0.104585873244476,0.120792014964264,0.13772663737373,0.185757493257702
"9",13,NA,NA,NA,NA,NA,NA
"10",17,0.047125932606998,0.144092214176167,0.0336093086528631,0.0863964821852144,0.135800509657981,0.116386597973953
"11",20,0.221543937505573,0.203788637839928,0.0827913917521411,0.199881835846975,0.130910186792672,0.209888587356813
"12",23,0.167624869264098,0.155147989171839,0.129407497182669,0.142004913430572,0.199415188926785,0.140731929945805
"13",26,0.033743358384345,0.0948969508034635,0.0893874802077983,0.146026219119874,0.186910213900747,0.139035518682279
"14",28,0.0451681551806469,0.0740136735659106,0.0466554903477936,0.103413875530099,0.0603183313711233,0.0760616094274638
"15",31,0.0708903558545279,0.0791214535428988,0.0578818879192308,0.165321702179138,0.205804447642249,0.250490717524888
"16",34,0.15854140310479,0.122963538533303,0.104203760383835,0.12177092249755,0.226480074959625,0.239893845699205
"17",38,0.109339384135854,0.075986268134703,0.0678465632103262,0.113761097358035,0.229450433308541,0.222586477983608
"18",39,0.177557208438916,0.0335981791727318,0.131389046218222,0.0731578218969872,0.178271341525523,0.106993103818575
"19",41,0.107833519444679,0.0938776475281864,0.0841704922585201,0.169787443493392,0.169198527610818,0.165613987282042
"20",43,0.112142284561191,0.14128916709178,0.171163218107943,0.0963463118680385,0.180927954372737,0.137518150055901
"21",46,0.192596573376143,0.0359658624853967,0.0362825384110441,0.0438484452249084,0.245174396455554,0.177636044706261
"22",47,0.108572334860705,0.0955900049017753,0.148293384723877,0.145133416699138,0.202856129198616,0.212831163253242
"23",48,0.115941607391073,1.73775293802695e-05,0.0708304541139348,0.0197039280270119,0.194942238876543,0.0499231471278161
"24",52,0.0447837123346064,0.0480119395432596,0.0427454842046632,0.0322733312081231,0.112853978029214,0.0822049252666698
"25",57,0.120955440571818,0.091300973877611,0.0832866483976617,0.0978340943298063,0.175001162356108,0.104815496703472
"26",74,0.0643641829136546,0.0288045054486796,0.0214795835054341,0.0228874774267867,0.220546821541856,0.128860311812472
"27",82,0.0256428032648004,0.0226975393613865,0.0212197470226807,0.0153181786044218,0.20735145038007,0.107023020586193
"28",84,0.0224931674555101,0.00868452641251511,0.0240715834487487,0.0210227389981035,0.102706961913398,0.0872911311605537
"29",90,0.0770341409651555,0.0472114518496887,0.0673782814926688,0.0831464760370173,0.170918286455669,0.188767290650736
"30",94,0.192312554004775,0.0235088215404287,0.0872577981715767,0.0929489971766277,0.241284963336204,0.338253372822711
"31",105,0.0873292546958472,0.0741966758252156,0.0683336841523551,0.118451599721914,0.151261484863522,0.14002247126966
"32",107,0.118516058785425,0.0650055866106498,0.195917573442083,0.214986090429086,0.146731817699557,0.148339279207539
"33",124,0.13229626796938,0.0804558752946679,0.0733462904411609,0.208527932586753,0.174684614865507,0.226144638646522
"34",125,0.139662443747417,0.150166223589211,0.0724270361480769,0.110175160238441,0.232847178349958,0.196554528697733
"35",128,0.0378580018278979,0.0513868840200808,0.0597547262717775,0.0408892168436536,0.112057790573577,0.154909572367903
"36",154,0.0201340634723405,0.0346392505282107,0.0230758735283035,0.109620811641896,0.132346465988811,0.0789131053898794
"37",162,0.133428742842068,0.136818953599692,0.0422672210243865,0.131668494831674,0.0616513545902675,0.0871113683211235
"38",172,0.136239695854085,0.095999562724285,0.113971175627215,0.0717916664583392,0.27905541233782,0.154564229520798
"39",173,0.250768472105428,0.180257034716898,0.108678421990022,0.235821192310744,0.15719405709394,0.128223107100794
"40",181,0.123545066348497,0.0651338895860991,0.0757497573124382,0.137433780348642,0.193976046564494,0.114149470543048
"41",184,0.00082221314034171,0.0391919336415471,0.0788880826373453,0.0432389800106863,0.267004748763738,0.245435910570464
"42",186,0.0425856122180214,0.030426701648528,0.0430760537381729,0.0252784250563558,0.191184875896964,0.159430714419343
"43",195,0.187732430306163,0.094589797572081,0.0803301990086396,0.148589800646641,0.23569896058114,0.155247372239386
"44",202,0.0896905163101365,0.0409148961821459,0.100252190424929,0.0661151447211439,0.121376772527358,0.155848883468072
"45",236,0.0519592632848616,0.0455796091701354,0.0411142803282906,0.0435693135810056,0.150328271440125,0.139288722079402
"46",239,NA,NA,NA,NA,NA,NA
"47",258,0.193356483020822,0.121347974262849,0.0568253652942759,0.151188972807935,0.205759412995513,0.206529969738041
"48",259,0.12352407433316,0.015317965925335,0.0555692574910581,0.0813362533671161,0.202847838322148,0.0656484899926277
"49",271,0.120007356636084,0.120992911256468,0.0542165081865222,0.12299533860054,0.236951172699844,0.169118463863599
"50",281,0.0910770543700286,0.141763172857883,0.108152393727555,0.105979897351331,0.201862759554816,0.248480836798785
"51",288,0.111196017973946,0.0922033867703903,0.177433607572416,0.16487162122278,0.269185369551231,0.321931386515677
