"","ID","Angry","Happy","Friendly","Irritable"
"1",10019,NA,NA,NA,NA
"2",10474,NA,NA,NA,NA
"3",11366,0.119008864715728,0.0500458719684389,0.109917449144869,0.0667183722732323
"4",11627,NA,NA,NA,NA
"5",12396,NA,NA,NA,NA
"6",12774,0.129827419022943,0.117521844474002,0.0907250063968821,0.19555292741515
"7",14594,0.13925423179002,0.07935441396591,0.0774524623790066,0.102725144717069
"8",14634,NA,NA,NA,NA
"9",15593,0.185645591690957,0.242765700182676,0.21631534398264,0.0566946709513841
"10",16681,NA,NA,NA,NA
"11",16994,0.097334102624387,0.0880597121768695,0.118501402953006,0.101095344525381
"12",17365,0.163708114005568,0.198866620045463,0.209323433491905,0.238194415735895
"13",17796,0.149895985490247,0.112270892852067,0.110720992377162,0.131596202412909
"14",19713,0.246224751666423,0.263820343358852,0.280747300094056,0.166472902140971
"15",20516,0.13327660777872,0.0831122934621722,0.182453364135686,0.0338696846490722
"16",22054,NA,NA,NA,NA
"17",25373,0.0900086973109299,0.0472455591261534,0.0472455591261534,0.121335278065389
"18",25891,0.258886935619108,0.146999062379002,0.107226295323898,0.323790362453706
"19",27832,NA,NA,NA,NA
"20",32058,NA,NA,NA,NA
"21",33716,NA,NA,NA,NA
"22",34215,0.0959643943699335,0.149289871408238,0.155170143484374,0.105694041314364
"23",35161,0.113926911108852,0.0963483978725998,0.0108695652173916,0.123386152331174
"24",38678,NA,NA,NA,NA
"25",39482,NA,NA,NA,NA
"26",39689,0.242018052044589,0.198191315884661,0.119481254427692,0.113575577449832
"27",41600,NA,NA,NA,NA
"28",42916,NA,NA,NA,NA
"29",44191,NA,NA,NA,NA
"30",45878,NA,NA,NA,NA
"31",46015,NA,NA,NA,NA
"32",46075,0.215174168848727,0.221772771130494,0.222825302377125,0.161119982257774
"33",46236,0.185147611735191,0.141959779479993,0.0944911182523069,0.296396806161392
"34",46753,0.142673492370878,0.36449044872439,0.277572003422427,0.0886413361900384
"35",47699,0.102142215009195,0.140830136370091,0.119587774137716,0.291885469823107
"36",48628,NA,NA,NA,NA
"37",49826,NA,NA,NA,NA
"38",50668,0.104766775361507,0.220493397201207,0.1821996657271,0.270817913182716
"39",51899,NA,NA,NA,NA
"40",54166,0.0925033686845052,0.0515355236576049,0.0363572425318247,0.265567108965543
"41",56952,0.242262534730552,1.11022302462516e-16,1.11022302462516e-16,0.179242900590096
"42",57390,1.11022302462516e-16,0.114953406710222,0.1329068908017,1.11022302462516e-16
"43",58340,0.145032315547395,0.136765100105221,0.0934053536788773,0.176000903525126
"44",58607,0.263926320451523,0.113006930639703,0.252861622433482,0.363975632128902
"45",59643,NA,NA,NA,NA
"46",60230,0.436675443846489,0.149136571121925,0.235105946566906,0.342995110914244
"47",60512,5.13933395714123e-17,0.111931907777143,0.111931907777143,0.097454747344479
"48",62352,0.143287267984218,0.143574856566273,0.135195971164416,0.135762243464174
"49",62367,NA,NA,NA,NA
"50",64025,NA,NA,NA,NA
"51",65399,NA,NA,NA,NA
"52",65786,NA,NA,NA,NA
"53",66510,0.110974102994729,0.123290051765105,0.106243323881489,0.108961435810815
"54",66938,0.0666666666666667,0.066666666666667,2.22044604925031e-16,0.108562029668362
"55",67734,NA,NA,NA,NA
"56",67775,0.165821795976783,0.22779889194128,0.186108376995551,0.322363705975363
"57",69506,0.128821268498983,0.249574467776626,0.223035642799943,0.131632657638852
"58",70302,NA,NA,NA,NA
"59",72281,NA,NA,NA,NA
"60",72918,NA,NA,NA,NA
"61",74060,0.216449642375869,0.0495863081836147,0.0847526706304042,0.191056826094916
"62",76241,0.149763180585966,0.182098693272808,0.255861061760672,0.16624027507292
"63",76660,NA,NA,NA,NA
"64",77013,0.133412210145788,0.12365353651919,0.121398926464439,0.151680248307066
"65",77048,0.121760057573834,1.87661942591903e-16,0.0659926875021222,0.168044382401981
"66",77113,NA,NA,NA,NA
"67",77227,NA,NA,NA,NA
"68",78914,NA,NA,NA,NA
"69",79564,0.142592702318706,0.140702595525855,0.161334724783611,0.128544509710588
"70",81844,NA,NA,NA,NA
"71",83036,NA,NA,NA,NA
"72",83737,0.0547259486282585,0.16146649364939,0.186125917439934,0.117649863152592
"73",83792,NA,NA,NA,NA
"74",84097,0.247941598855756,0.0134987311789011,0.0809923870734059,0.173110866191121
"75",84668,0.033355594471982,0.199204316176557,0.296106756724408,0.202365091839343
"76",85433,NA,NA,NA,NA
"77",86122,0.114064810337337,0.0971310222983469,0.180513130812644,0.0693612907777206
"78",92649,0.189764025786465,0.273869579238399,0.243164553231566,0.127793138191132
"79",92654,0.364538280643974,0.214174153632285,0.193690762679903,0.41196017431517
"80",92919,NA,NA,NA,NA
"81",92948,0.100740157817131,0.204862322492941,0.185770682637582,0.13483136429812
"82",94218,NA,NA,NA,NA
"83",94549,NA,NA,NA,NA
"84",95398,0.0882880772273293,2.22044604925031e-16,0.0119047619047621,0.156129488673857
"85",97514,0.189717148038824,0.251381187361815,0.230677906392458,0.173210197900666
"86",99432,NA,NA,NA,NA
