"","ID","Angry","Depressed","Sad","Anxious","Relaxed","Happy"
"1",2,NA,NA,NA,NA,NA,NA
"2",3,0.109050392894175,0.049234062902182,0.0633533772615086,0.0560921615771424,0.163693861815858,0.0609985531832719
"3",4,0.235704872847665,0.152302283474007,0.138765103615297,0.0993528595707189,0.146453365804647,0.116042202284863
"4",6,0.106181730800752,0.0833076684009718,0.0836949935616398,0.044196961861722,0.204983183777231,0.221897233042496
"5",8,0.0174915310197687,0.0066462282982697,0.0439085550767164,0.0109586107431084,0.151453959536749,0.102909638766428
"6",9,0.182893553414979,0.119458924600764,0.303591371564427,0.217698700818952,0.165597534466632,0.207167762779948
"7",10,NA,NA,NA,NA,NA,NA
"8",12,0.159235154634807,0.189559277960217,0.119045877383159,0.145269143478626,0.120383341399479,0.189177437811634
"9",13,NA,NA,NA,NA,NA,NA
"10",20,0.240764190201039,0.182949266007818,0.175886152903841,0.0894702396783499,0.11359573600924,0.143919158130006
"11",23,0.13684277003362,0.142634358620162,0.120653513619214,0.124925470399157,0.174810188175943,0.175492140213377
"12",26,0.0612766814643027,0.111943198597396,0.131420425286892,0.066964112628868,0.218325003641765,0.170807006736055
"13",28,0.0343601542796837,0.0736941816034224,0.114847383638849,0.0482835480880899,0.103993498209534,0.108867881751396
"14",31,0.0754646672241386,0.109922470735645,0.256752298349049,0.0520439764816777,0.19759010673975,0.287106156829623
"15",34,0.151288456216237,0.179654690711281,0.134531662787396,0.129132911249568,0.22093988251508,0.235356472609032
"16",38,0.0818012732852595,0.0789402644352026,0.0979495938600781,0.0652896647196128,0.18961138779101,0.163390178016341
"17",39,0.172193229696342,0.0273387381920468,0.0702480813108281,0.221536446954915,0.185236569383513,0.147727500696288
"18",41,0.089980873072348,0.110335172315278,0.17922115925515,0.131280171357224,0.175970612017564,0.219258539285474
"19",43,0.130111028672213,0.134459203523142,0.118025435369421,0.128578503092542,0.237002397033208,0.156314140534018
"20",46,0.150209259934668,0.049658523742266,0.0865738584005499,0.0399749664132245,0.298866652916832,0.173984733014448
"21",47,0.202821188044519,0.139405504120914,0.161309069916581,0.13064867269435,0.210907817933884,0.21503786920085
"22",48,NA,NA,NA,NA,NA,NA
"23",52,0.0636287126717357,0.0483057200184204,0.0587692545374383,0.0341791143271855,0.0970719914985051,0.0755489409388632
"24",57,0.117281912024291,0.105663830899407,0.112443729717092,0.105231217452539,0.176910834600635,0.129229100451912
"25",74,0.103661736580214,0.0411245342053273,0.0239797612921104,0.0509292223016187,0.164659278822965,0.174861956558631
"26",82,0.0355447580600935,0.0267096798845818,0.0156847881006705,0.0242498588813229,0.1558849186713,0.117780256816041
"27",84,0.0194242282587628,0.0084697272913587,0.0292604836732762,0.0205967958097526,0.101834101297837,0.108293514275872
"28",90,0.04792306417794,0.056388628845443,0.094715395009338,0.0613409512108155,0.146329616465687,0.168517257863547
"29",105,0.106762865067662,0.0662744713244374,0.0668741549599842,0.0608185968805388,0.180188527296668,0.184408072718154
"30",107,0.0893762488775456,0.131840232532356,0.390031136557239,0.22144541898967,0.225478588811081,0.233069673940825
"31",124,0.122941345502792,0.110437702459368,0.20475051919052,0.0838789857907491,0.190412337847585,0.19962487926457
"32",125,0.126441289900193,0.153908994375776,0.122642399979586,0.0906670201736129,0.214017613080527,0.205568503897989
"33",128,0.0386501897026713,0.054076655578369,0.0450971870729524,0.0574647323999727,0.108464757278359,0.161749587553765
"34",154,0.0583346306990713,0.0457170356495519,0.122423378770869,0.0105256547120927,0.0677074981047093,0.0686540348245423
"35",162,0.145167571974214,0.135354839299831,0.13326075176093,0.0738729303946585,0.079452874372142,0.138414954133168
"36",172,0.138015850332303,0.102097261747613,0.0776895552218781,0.104690775938605,0.27152970989078,0.158812842855513
"37",173,0.224732362578585,0.0927602184931781,0.196670941867272,0.078502598875271,0.203672901965147,0.11067410207344
"38",181,0.192865518990347,0.0773671917367506,0.152130977459582,0.0583042811448541,0.180451405975803,0.142349918635575
"39",184,0.000724365074894921,0.0388543924971807,0.0422729526718221,0.0817698030422971,0.277051914672086,0.253623142115943
"40",186,0.043200123592177,0.03781260131102,0.0258293579083926,0.0455393351635255,0.16338207320315,0.140784432267624
"41",195,0.187030193638133,0.102862737752748,0.115129801335774,0.0846781381686957,0.25299647185543,0.17550466077522
"42",202,0.0985888881608155,0.0754879488021426,0.0416596578413496,0.0909897461842417,0.129780551325934,0.138199850612123
"43",236,0.0563842649332647,0.0355996874595209,0.0493709455332239,0.051371894266132,0.109524705153015,0.0945055739713112
"44",239,NA,NA,NA,NA,NA,NA
"45",258,0.245180235531935,0.201830179610254,0.145421343598863,0.046094650010821,0.236988573265924,0.205188247699113
"46",259,0.123592537745647,0.0159800759953759,0.0810820567713935,0.0554438960267222,0.202705012681132,0.0647742225717568
"47",271,0.0970728200569515,0.122615779107094,0.148959377964585,0.0525550058420378,0.218871611596545,0.176098389708529
"48",281,0.0932935396524009,0.162235886025016,0.0692294182387544,0.095480232492833,0.203168150217921,0.264431002008326
"49",288,0.12834083300611,0.154205900674109,0.169191851431416,0.243424365019722,0.255926933115222,0.286820702679217
"50",300,0.182532337039276,0.175589041671493,0.2616407544714,0.187908074141047,0.254683559511618,0.258366207211452
"51",306,0.033851425165865,0.0428310222391019,0.0358683253557211,0.0230749471967839,0.198081964763994,0.147056073296977
"52",323,0.0804715231558806,0.0244494301163751,0.116826478464326,0.0627411503635642,0.199531609480047,0.165637775648898
"53",332,0.219286495712542,0.200513628188759,0.232708011626902,0.252251987901551,0.280281576287681,0.227573336974647
