"","ID","Discontent","Calm","Energetic","Wellbeing","Tense","Happy"
"1",1,0.0426222070663509,0.247319281912158,0.145661027537736,0.0746997962134888,0.205989424302261,0.0436505567023999
"2",2,0.13040584567068,0.0873939771706876,0.227427888439307,0.103112840404621,0.116110413491802,0.244381871169665
"3",5,0.376719948278754,0.096188671760306,0.557036323394149,0.181015026749983,0.23321572579898,0.228495480229515
"4",9,0.284899935833555,0.194920287057657,0.258097799261123,0.217585644648631,0.292140213754639,0.134911215724981
"5",11,0.166927288221276,0.185702349612214,0.260865812495144,0.213218445328475,0.1880577742398,0.168426356051886
"6",14,NA,NA,NA,NA,NA,NA
"7",19,0.233333333333333,0.263523138347365,0.351188458428425,0.117851130197758,0.268224615657185,0.25
"8",22,0.107290238643804,0.126193495642274,0.214555590920587,0.109154358213811,0.179054974389234,0.140984483354557
"9",23,NA,NA,NA,NA,NA,NA
"10",24,0.294811910376769,0.448562196335672,0.281763933731505,0.279249573095598,0.255438529968743,0.239356776939085
"11",25,0.338404235208817,0.211294144940177,0.189377244462587,0.197810902942882,0.202583286226167,0.10876429041589
"12",26,NA,NA,NA,NA,NA,NA
"13",32,0.318761136712581,0.222875033556817,0.334566163931607,0.31144904286604,0.350197406790367,0.110075703208157
"14",33,0.176216440938553,0.40024380742687,0.210350328573257,0.141625693276683,0.163192333175722,0.074390098589968
"15",34,0.170963139482546,0.0699362748693245,0.194905003558664,0.239566489406696,0.131604184048438,0.153664884222778
"16",35,NA,NA,NA,NA,NA,NA
"17",36,NA,NA,NA,NA,NA,NA
"18",38,0.0806067115815262,0.0699224660090559,0.118215113524973,0.234689933911459,0.0768492769019775,0.0951189731211342
"19",39,0.268676457048218,0.236866627463486,0.248605236215679,0.202928265721852,0.19259195092039,0.199884795250052
"20",47,0.181301870464636,0.10677477268208,0.192744422237357,0.177430184019839,0.190451368204182,0.109339581120944
"21",48,0.0679562767929168,0.0943269285222648,0.182026592990023,0.0416666666666666,0.0786716982854134,0.131530784313872
"22",58,0.339988007284021,0.193518462155751,0.198265878847181,0.183718183297375,0.183734633190375,0.134379395784011
"23",66,0.189957373716701,0.217883260694159,0.134138796061126,0.0822871967497223,0.227138693198536,0.151283665214355
"24",68,0.0653804070893208,0.11848517958023,0.251293004110251,0.120332334581675,0.11116355854833,0.140431710131981
"25",70,NA,NA,NA,NA,NA,NA
"26",72,0.216595067194145,0.164435967084713,0.224250334315775,0.180210437297707,0.186850644930993,0.181010699502047
"27",73,0.277459544355374,0.176831451062905,0.181048480887413,0.144538076339169,0.127170832274547,0.156382809694643
"28",74,0.0454545454545396,0.0691015409151013,0.349208734324561,0.0986595187642386,0.0606060606060556,0.135010117636034
"29",75,0.247436227997768,0.137101339760779,0.295484328769483,0.203645108359094,0.185487752824912,0.203645793469759
"30",76,0.168674420558792,0.152732673640551,0.179093987747352,0.150760297741846,0.19336366973939,0.14618860659725
"31",77,0.155440457089514,0.0384615384615389,0.161278790069348,0.072239920958876,0.25657046277166,0.0946463016681628
"32",79,NA,NA,NA,NA,NA,NA
"33",81,0.124075910887007,0.0970583598017647,0.0997132715985417,0.126558931591024,0.149792247604956,0.11202305574249
"34",83,0.185225241321683,0.178761803282819,0.132816814155622,2.22044604925031e-16,0.0833333333333331,0.119451695186771
"35",89,0.158357697930436,0.0589255650988789,0.310312560220923,0.158614440396076,0.262440055986336,0.352404897807134
"36",90,0.184290311040591,0.188910020359145,0.186715561687627,0.219434100153012,0.127074043948128,0.107282446165406
"37",91,0.0319062547411844,0.058502403979496,0.156006244068297,0.0676031370090835,0.0173380450553207,0.0472794017397901
"38",94,9.06493303673679e-17,0.129441157091722,0.124962327218071,0.0771009339857635,0.147714341305165,0.0938469711794774
"39",98,0.0222222222222224,2.22044604925031e-16,0.356892328355207,2.22044604925031e-16,2.22044604925031e-16,0.0222222222222224
"40",103,0.11208792339731,0.229892060199309,0.285542691216195,0.118519278050285,0.179211449960983,0.112087937876279
"41",104,NA,NA,NA,NA,NA,NA
