"","ID","Cheerful","Satisfied","Happy","Insecure","Anxious","Down","Tired","Energetic"
"1",27953,NA,NA,NA,NA,NA,NA,NA,NA
"2",27954,NA,NA,NA,NA,NA,NA,NA,NA
"3",27955,NA,NA,NA,NA,NA,NA,NA,NA
"4",27956,NA,NA,NA,NA,NA,NA,NA,NA
"5",27957,0.167144153349367,0.253139331029536,0.165215324977569,0.150033636814771,0.20449297363262,0.263672654243382,0.191990819619793,0.177166731951578
"6",27958,NA,NA,NA,NA,NA,NA,NA,NA
"7",27959,NA,NA,NA,NA,NA,NA,NA,NA
"8",27966,0.0725021285341012,0.0734930919740165,1.11022302462516e-16,0.266796843226369,0.136789691691613,0.110458150837409,0.229902018850651,0.117851130197758
"9",27972,0.145488828803408,0.0584789336936414,0.0987051719176363,0.319882753218915,0.0897551713825345,0.0700700081302112,0.339388004545822,0.273877582132067
"10",27984,0.154644529660437,0.175846717061554,0.141826570979127,0.117441211951759,0.0920237153999307,0.128331379255191,0.161239771428946,0.184400827337787
"11",27985,NA,NA,NA,NA,NA,NA,NA,NA
"12",27987,0.125863564869966,0.0725232816395231,0.0833254346719369,0.055400732526558,0.0734930919740163,0.11625254929848,0.331542926997751,0.142263535557003
"13",27994,0.138445234518744,0.175269796321471,0.176117419476127,0.166477987818576,0.181856974161337,0.153719662591234,0.222975953374874,0.12435989292989
"14",27995,NA,NA,NA,NA,NA,NA,NA,NA
"15",27999,0.279142311163459,0.252349718688766,0.0837784792078481,0.178406008037016,0.234747318474576,0.100154202096222,0.285582055518752,0.293475775818985
"16",28004,NA,NA,NA,NA,NA,NA,NA,NA
"17",28010,NA,NA,NA,NA,NA,NA,NA,NA
"18",28012,NA,NA,NA,NA,NA,NA,NA,NA
"19",28039,NA,NA,NA,NA,NA,NA,NA,NA
"20",28063,0.328681243074282,0.199536499956304,0.17546235219282,0.276919111804417,0.18931606662767,0.161602886933002,0.442609165108058,0.47176307057346
"21",28065,NA,NA,NA,NA,NA,NA,NA,NA
"22",28081,NA,NA,NA,NA,NA,NA,NA,NA
"23",28085,NA,NA,NA,NA,NA,NA,NA,NA
"24",28092,0.134190969991623,0.133329957733691,0.117060885828754,0.149311906734606,0.155244324783509,0.20839722970066,0.159172178892811,0.115365020074
"25",28097,0.108463062311741,0.194360157644482,0.102436328053032,0.128591424267218,0.162448646657139,0.201683033030249,0.159957732209868,0.254727669781295
"26",28116,0.225493444855451,0.160791825807283,0.183873662631503,0.222853169275116,0.16097766884197,0.19323835594202,0.173561103909036,0.273607440910521
"27",28118,0.176776695296637,0.149099717047293,0.129318815371431,0.196143371598997,0.131890578573882,0.0786435455472081,0.333830411682597,0.175957052583128
"28",28119,NA,NA,NA,NA,NA,NA,NA,NA
"29",28120,NA,NA,NA,NA,NA,NA,NA,NA
"30",28122,NA,NA,NA,NA,NA,NA,NA,NA
"31",28127,NA,NA,NA,NA,NA,NA,NA,NA
"32",28147,NA,NA,NA,NA,NA,NA,NA,NA
"33",28150,NA,NA,NA,NA,NA,NA,NA,NA
"34",28151,NA,NA,NA,NA,NA,NA,NA,NA
"35",28153,NA,NA,NA,NA,NA,NA,NA,NA
"36",28160,0.129805188658788,0.0674084249007457,0.039419875847052,0.19094766957768,0.207172692919115,0.0976072622329071,0.20485784157257,0.0930544038992677
"37",28166,0.177274596190987,0.118916048689963,0.138443790220053,0.0840659174596408,0.0552594336876866,0.105325071307467,0.254972219499319,0.0995201159887567
"38",28171,NA,NA,NA,NA,NA,NA,NA,NA
"39",28174,NA,NA,NA,NA,NA,NA,NA,NA
"40",28187,NA,NA,NA,NA,NA,NA,NA,NA
"41",28188,NA,NA,NA,NA,NA,NA,NA,NA
"42",28195,NA,NA,NA,NA,NA,NA,NA,NA
"43",28197,NA,NA,NA,NA,NA,NA,NA,NA
"44",28199,0.128728037807059,0.0838754718631111,0.0969786916699644,0.0776963254842511,0.0187735709837572,0.135703164212774,0.192679090331438,0.137312403363388
"45",28233,NA,NA,NA,NA,NA,NA,NA,NA
"46",28236,NA,NA,NA,NA,NA,NA,NA,NA
"47",28336,0.116945580770085,0.0909483641307627,0.148344776921087,0.121434046742349,0.0564131341172843,0.0691165096528858,0.241679082976966,0.0697093712087422
"48",28425,NA,NA,NA,NA,NA,NA,NA,NA
"49",28427,NA,NA,NA,NA,NA,NA,NA,NA
"50",28432,NA,NA,NA,NA,NA,NA,NA,NA
"51",28447,NA,NA,NA,NA,NA,NA,NA,NA
"52",28448,NA,NA,NA,NA,NA,NA,NA,NA
"53",28492,0.0789755653205184,0.0987533750356551,0.0481125224324686,0.0120281306081173,0.0833333333333331,0.0608492566115504,0.147204750885043,0.0969738891928398
"54",28496,0.0843184716455279,0.152118034624074,0.0865733464115146,0.0124503335946478,0.210878048504731,0.340840486718714,0.367860837621003,0.22423735846697
"55",28546,0.143243025471378,0.144618032549008,0.126876097013226,0.0451341452517801,0.0714652360373415,0.100634883152823,0.445834031086379,0.29179116279068
"56",28695,NA,NA,NA,NA,NA,NA,NA,NA
"57",28697,NA,NA,NA,NA,NA,NA,NA,NA
"58",28729,NA,NA,NA,NA,NA,NA,NA,NA
"59",28734,0.205261418433814,0.167344067099213,0.294247246462118,0.198515412679431,0.169704882451105,0.173017208019514,0.337570822566636,0.0732202360890161
"60",28747,0.054708164085378,0.159571184626057,0.0830616230132342,2.77555756156289e-17,0.0481125224324689,0.0680413817439773,0.149356015375022,0.119678388469542
"61",28748,NA,NA,NA,NA,NA,NA,NA,NA
