"","ID","Angry","Depressed","Sad","Anxious","Relaxed","Happy"
"1",2,NA,NA,NA,NA,NA,NA
"2",3,0.108501086995935,0.0527988789173412,0.0710096976683693,0.0690595415357185,0.233243434721828,0.0674411516659502
"3",4,0.181474917440522,0.100950877125233,0.231705402779691,0.170927544038716,0.15611603542511,0.161235749309828
"4",6,0.0532479049845374,0.0453582864409422,0.187536182208455,0.0515142813748488,0.190135189485796,0.208053021879989
"5",8,0.018122975506863,0.00823248788769908,0.0644681886802581,0.0124789783930092,0.155962371212273,0.0957626873338868
"6",9,0.195238384604712,0.106642735251842,0.271295967086144,0.119106017836613,0.187979329156323,0.195384187472053
"7",10,NA,NA,NA,NA,NA,NA
"8",12,0.0797660193571322,0.102118985750552,0.0693463568649851,0.146453532033692,0.139902980457616,0.176755046899095
"9",13,NA,NA,NA,NA,NA,NA
"10",20,0.2386489007478,0.207793127238429,0.20009738599892,0.0863256890739379,0.0947651861992211,0.179272464053496
"11",23,0.182663337951949,0.136075823022884,0.13288713277982,0.157831188747273,0.198781692460973,0.159764907047777
"12",26,0.0285031580590181,0.106408063208143,0.133712893080864,0.0698669488108313,0.221266173815226,0.163423966557239
"13",28,0.0500963045898333,0.0805949793816229,0.0984473265750261,0.0414964906778956,0.0653977375035221,0.076943303441701
"14",31,0.075526458934558,0.0993278123641311,0.198770532972118,0.0520666957271811,0.223691249926027,0.264357961605306
"15",34,0.157713215506138,0.162038213509198,0.146465168276998,0.119198268887221,0.207784740583255,0.23379344408506
"16",38,0.0545314848536303,0.0770300700119942,0.0949007574320512,0.0775415928076013,0.221340986973093,0.193567613353003
"17",39,0.198914765509217,0.0414260280792353,0.0602468275374691,0.127840781045986,0.0953075496737517,0.174374496160542
"18",41,0.123814581539107,0.104118718488508,0.177622622949876,0.113802560846173,0.165133512062726,0.175941633132579
"19",43,0.0931509096610613,0.176976909239108,0.105725538134018,0.180151412329094,0.201634580665449,0.132061065988392
"20",46,0.206436246165207,0.0431753250730091,0.0495955784508589,0.0395943817066925,0.248886043786837,0.194796065419021
"21",47,0.173636925266083,0.122166408203147,0.174995008494836,0.140322809546812,0.232322544001837,0.242948580011412
"22",48,0.0834067599809364,0.00700789381404778,0.0525855634884999,0.0716890084812003,0.216369957081178,0.0548722479534408
"23",52,0.0723273385140869,0.0721179767079531,0.0670886026197762,0.0778846571117445,0.046144289483261,0.0855442993707765
"24",57,0.122929208800356,0.106957599706855,0.0842620088123674,0.0981342500237586,0.187041985026434,0.107931918319115
"25",74,0.129406629322109,0.0788822819016149,0.0895177597708997,0.034188090387597,0.148556987091931,0.146873368459517
"26",82,0.0331313376608604,0.0217659144624754,0.0164682136356003,0.0203117129051959,0.197755451295666,0.120624627872285
"27",84,0.0258885330214628,0.00665155614755106,0.017609212060824,0.0124775803623483,0.11874615318993,0.0632582165342919
"28",90,0.0917846741894064,0.085419642963582,0.111151640293632,0.0474569584899101,0.199077365892357,0.195565197811087
"29",105,0.122950787153079,0.0512560476877683,0.0733250211582867,0.0672846710882156,0.193777906828113,0.137105174428395
"30",107,0.052427559950728,0.0865423764536812,0.200715746953829,0.232893718624953,0.0950332342891945,0.153865870409829
"31",124,0.0884246822718743,0.149637008410013,0.17395212544266,0.118914372834686,0.209496503431287,0.183754828169235
"32",125,0.0515229489730367,0.152676438762106,0.102479072213547,0.104347169625882,0.285939845530165,0.218589480077665
"33",128,0.0351527531582509,0.0438650266478758,0.0466209555874733,0.0521587267779995,0.0724311562490988,0.134362214127853
"34",154,0.0501233921675308,0.0391154434187243,0.1159618978892,0.0126821815829468,0.115963042858466,0.084902853260104
"35",162,0.14492494882664,0.149878464142087,0.139296207048905,0.0757691695467252,0.0734577691726517,0.137478717169959
"36",172,0.137305650643488,0.136524301321415,0.0986223705695272,0.13432910587899,0.317025190102903,0.190302125527011
"37",173,0.297254933103512,0.236934393527841,0.257724698840445,0.0907911657178767,0.107693083471312,0.1266196884181
"38",181,0.144327724396071,0.0775058600582817,0.124177627079465,0.0956500999308134,0.170824484383963,0.111865856338627
"39",184,0.000723738802974346,0.03890841059887,0.0423143466117857,0.0818677696627664,0.276981385854102,0.253584199751368
"40",186,0.0550424789758038,0.0399145977164834,0.0255386319398728,0.0423431429872865,0.212947369091729,0.182751714005249
"41",195,0.180977743110154,0.140014539653583,0.129691547974684,0.0892963308412592,0.234929123913193,0.197547697799179
"42",202,0.113161651042714,0.0485847364682299,0.0648798594743919,0.0990539469346587,0.153795346379296,0.103759507293158
"43",236,0.0475016362585806,0.0436168285429606,0.04908144855425,0.0517255892934067,0.174403000945228,0.171817693150829
"44",239,NA,NA,NA,NA,NA,NA
"45",258,0.166577718644727,0.175405861945819,0.135352689676553,0.0900991924497052,0.127720933045122,0.17749867449134
"46",259,0.123569990090754,0.0159773225451941,0.0811275466483077,0.055476028748917,0.202705380131246,0.0647513550809723
"47",271,0.0971164863151538,0.13564374551046,0.149635602681418,0.0465384637681088,0.245703152273362,0.172298859259228
"48",281,0.0869340130110357,0.150426172472971,0.0693624744001035,0.106179674683634,0.211498246534331,0.231789385405383
"49",288,0.122644259379083,0.11272805404408,0.166247812590903,0.0951404694160516,0.301053803736185,0.30382602609259
"50",300,NA,NA,NA,NA,NA,NA
"51",306,0.0315995830556747,0.0479368348420638,0.0345432891459323,0.0379655078188241,0.0775183915763973,0.156279481867365
"52",323,0.0854113067345936,0.0499583058687722,0.169074691205213,0.0469542909856595,0.231209786431808,0.177581592501217
