"","ID","Discontent","Calm","Energetic","Wellbeing","Tense","Happy"
"1",1,NA,NA,NA,NA,NA,NA
"2",2,0.23207640685127,0.168658753620397,0.235890150946381,0.193741459201056,0.210466637085422,0.339899679636371
"3",5,0.376719948278754,0.096188671760306,0.557036323394149,0.181015026749983,0.23321572579898,0.228495480229515
"4",9,0.2678991190627,0.198582573075798,0.277748144804711,0.211833193324408,0.272011827336649,0.112875243945683
"5",11,0.187108580530819,0.185244080775022,0.303259158662404,0.191528225758713,0.209824673454647,0.1666635889237
"6",14,0.109108945117996,0.281718084909505,0.112466926355304,0.0320348960963079,0.0627398396392127,0.128907189450641
"7",19,0.12759393709225,0.162256872260669,0.166141030018493,0.0462181040976936,0.106117374594184,0.0895417973489352
"8",22,0.148395905659398,0.134658368888016,0.203434661232653,0.0802114606141549,0.213085882716261,0.121757833178021
"9",23,NA,NA,NA,NA,NA,NA
"10",24,0.192010013950125,0.347159311781739,0.219350754325557,0.210248676252418,0.216013833570085,0.17535282696752
"11",25,0.330718925222818,0.15232270057474,0.222545644678266,0.197585884486762,0.240420075739734,0.10203724577111
"12",26,0.294665078320569,0.385996790659265,0.0712098079503428,0.178568135468579,0.342874565960368,0.155319513531605
"13",32,0.306152361434023,0.156263808251993,0.352344239117608,0.30194364334435,0.318015996439648,0.133523861924071
"14",33,0.156990550905073,0.343995793257087,0.157567755570124,0.0954556081129158,0.191455911226111,0.0844054066456516
"15",34,0.170963139482546,0.0699362748693245,0.194905003558664,0.239566489406695,0.131604184048438,0.153664884222778
"16",35,NA,NA,NA,NA,NA,NA
"17",36,NA,NA,NA,NA,NA,NA
"18",38,NA,NA,NA,NA,NA,NA
"19",39,0.295408304080967,0.334944981234801,0.369884346331968,0.231734726846629,0.240328606705518,0.188200773912872
"20",47,0.324772027267795,0.294080024409686,0.312934875626242,0.201419944274714,0.373815057963719,0.160324418281584
"21",48,0.18616494370193,0.334324203086749,0.154575199350746,0.194282419610782,0.334443579098743,0.249843339634647
"22",58,0.34012992698225,0.193878765537008,0.198442289317695,0.183783019810953,0.183746327757874,0.134243702113003
"23",66,0.111008597495677,0.196814072542886,0.127293884873299,0.068225639544407,0.216956128572879,0.118481066981691
"24",68,0.157478445402072,0.22425873961025,0.14258084705948,0.0666028527854515,0.370796453671013,0.193118745566628
"25",70,0.0690472624596582,0.242939209573121,0.12702175414474,0.10357865555712,0.230098200915242,0.106683152000263
"26",72,0.247906127803961,0.156308276102963,0.238365541258457,0.204351600022252,0.201219333543975,0.186777222393263
"27",73,0.217769374461172,0.188926159500959,0.284119890216118,0.156335530009995,0.145862740244456,0.139435836318088
"28",74,0.045431778983305,0.0691074908513226,0.349222865554576,0.0986510944971311,0.06058614247146,0.135013529925317
"29",75,0.132931106480368,0.192761922096501,0.267266834598857,0.0928269490164428,0.106080524980228,0.0762896459486149
"30",76,0.150282977346978,0.0923844109415454,0.237781134545061,0.147013391678569,0.114593415833964,0.1412464891799
"31",77,NA,NA,NA,NA,NA,NA
"32",79,0.287178250891834,0.0687076159287034,0.130006273616235,0.225599947100415,0.182139122221026,0.222454407868947
"33",81,0.129134708562321,0.11059375647393,0.0823008806621642,0.127365320672944,0.120339595272959,0.132313623326967
"34",83,0.0431655649347754,0.124896023725536,0.128395468627784,0.122081970659422,0.152800646411905,0.134327189453604
"35",89,0.0613177130439389,0.0589255650988789,0.283448043711399,0.0667713674871782,0.223303377542953,0.316870327947771
"36",90,0.161819049696115,0.21667502140684,0.182494435550429,0.202193143147254,0.0846940446542266,0.107124214745792
"37",91,0.0765465544619741,0.0673288869085595,0.194444444444444,0.0544596775741599,0.108808608444391,0.122269561539298
"38",94,0.0660073675720374,0.0805373373677233,0.0977466528384033,0.0777543558087413,0.12745658370426,0.111363447979302
"39",98,0.0648187920243672,0.0462981646502385,0.336968225656625,0.0370378412853546,0.0555573812294252,0.0555585064704244
"40",103,0.186137292783626,0.23336769052907,0.266975823273227,0.143041520002994,0.16686028574224,0.147043634560872
"41",104,0.182088667321605,0.313441570472678,0.402251846857106,0.241589658772128,0.281592520084268,0.23567688245552
