"","ID","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"16",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",53,0.298210248802692,0.204274578643692,0.185843471913495,0.120563609121541,0.181057341858562,0.130804117969455,0.117046660169957,0.130502045958867,0.180999427259282,0.254953226970501,0.184332730438397,0.166628513623184,0.215017612409383,0.141257332805128,0.244083022385893,0.134896861436105,0.163961365496151,0.242752823462611,0.170222259421546,0.147464937430791,0.172249749611623,0.171679756160572,0.369589367670508,0.360709694389246,0.203341085941027,0.239970356877875,0.12977837351826,0.320090789033144,0.184456505347065,0.152750267045086,0.187697461082901,0.261850007208172,0.263192534169536,0.143313480730151,0.17515576045174,0.242392299533486,0.281317035013884,0.290305170415471
"22",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",58,0.171725906040667,0.113192294224925,0.123434026242346,0.324391047219871,0.200885518297194,0.309734289057477,0.241536075699833,0.0953310549895323,0.108012318589399,0.110579780188811,0.245849899282321,0.211705657608912,0.285368051708223,0.213629869347546,0.149225556790314,0.271991836996217,0.243377399707788,0.255500694325829,0.112627442568988,0.0945248620161528,0.166770748875921,0.119949014960257,0.0878697258434576,0.12710808308048,0.213126828968611,0.251893350421018,0.0718292072839512,0.16925079372731,0.251454085614692,0.181423692688062,0.170552029485874,0.156165716024506,0.144888826860677,0.182591606770928,0.20084322771265,0.135149167432257,0.142021348137945,0.227788782136817
"24",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",61,0.191200516515699,0.146392863862593,0.203557185146403,0.208805349602073,0.281349286676895,0.315711907205305,0.145759937536902,0.0934539026872948,0.093123546155956,0.22580804934405,0.120416457636577,0.146392863862641,0.127508792393035,0.188971235033888,0.106140890676889,0.348814560544212,0.195241159214003,0.170224195132267,0.135931700373974,0.111858515152362,0.152645106996915,0.166774496495497,0.197386634934905,0.191951236684077,0.102062072743264,0.193466062568473,0.14326600424049,0.105111591901889,0.168429410996969,0.168429410673907,0.261344091499251,0.179377446684807,0.235673202761926,0.153495192748264,0.148292753234374,0.170224195052758,0.171332016464914,0.173496839448235
"26",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",66,0.20090937644737,0.372823567251732,0.1795176066323,0.478713605278864,0.257694013150935,0.463161165772986,0.257061727277637,0.186629924363542,0.206502403716465,0.206502371706377,0.187499998857456,0.187500007152619,0.246723303360903,0.36577188499699,0.179517565639726,0.393634282310475,0.239356767449731,0.415754187032498,0.375000006021265,0.267000119688257,0.324257974947239,0.367990015051739,0.303516712822684,0.200097653891505,0.173054660486375,0.230347377807028,0.421971445739172,0.246723303393096,0.225346955619312,0.271833052028092,0.235932329918414,0.246723303546416,0.206502382500427,0.218749964242051,0.28641094513037,0.246723262078732,0.193480988028311,0.190940657761987
"29",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",70,0.166665632606603,0.102061297860227,0.249224785757282,0.176776574844231,0.305548596964117,0.0277826682116329,0.20412182098677,0.154659605531451,0.185298519110406,0.121079549465716,0.306183623869735,0.083336958572354,0.130287175973214,0.182149526607308,0.131762169321106,0.216950968658229,0.134655490174446,0.161975636573025,0.211548920687745,0.09419965789548,0.206006195987632,0.0277771451803604,0.102061374250097,5.84694361871474e-06,0.197394856812283,0.121079945724325,0.142992787185802,0.176774906193063,0.102062065764785,0.204122665263603,0.178946881503531,0.144338662994034,0.195433217121532,0.234882236931275,0.102062072619113,0.166668394113435,0.195433180803902,0.176776247990904
"31",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",109,0.210647996278522,0.201332382828893,0.153572247760282,0.176151339904847,0.277175457859747,0.248727570802339,0.208859757496407,0.178868805784715,0.249702530447287,0.169259532018683,0.207932728508527,0.254277005956429,0.211561123294138,0.20735613698259,0.252844517041152,0.343926474670595,0.211870647843958,0.315816619822174,0.322773450758937,0.224872606224356,0.258289680938703,0.356367476922753,0.155822883412454,0.13181133884643,0.18767664103753,0.101959907520103,0.349187839009538,0.0831400337312758,0.178995079702057,0.270935160692431,0.266707897632103,0.218378435436891,0.248665349111465,0.300914182524782,0.0789130787086739,0.188147791113416,0.105504271445394,0.169888657730048
"49",112,0.205126975167244,0.235239346311756,0.391840285890444,0.362774119269935,0.319829441451798,0.378905672571423,0.215237701095546,0.149107020817323,0.237196310478553,0.27069960940125,0.350663171108638,0.141717105979894,0.390477540347158,0.191717499386031,0.27228345398503,0.405482413186055,0.389368756004808,0.419166542651202,0.362505534182875,0.520533311525081,0.179165842060723,0.522488040913414,0.150015857960513,0.255800191387534,0.25827426540966,0.320403114367487,0.392147745182306,0.326993822324933,0.293717425762033,0.238449200994783,0.145392082397113,0.283345506539785,0.203905104410986,0.258039371373086,0.23112273094398,0.222219789334123,0.155766806715404,0.118812839179369
"50",116,0.40850008709961,0.221526287148468,0.27211835842088,0.31801199219891,0.241469616219344,0.289564733383378,0.30802862974582,0.332366875621154,0.292261283223294,0.292876717196637,0.193781250369872,0.239061172199548,0.42078215528208,0.297451398149624,0.299519269976437,0.283414781944956,0.233013702782935,0.270981998043787,0.365007314588553,0.296673093017994,0.344563923195571,0.289031476952611,0.287021594814467,0.249536546143169,0.232737302019602,0.194972326323661,0.356450884106781,0.183837645941771,0.290672499095119,0.365218784242554,0.196615043768181,0.229341776562757,0.177139913050026,0.332288653832583,0.204438950078109,0.262447380217568,0.152567192429384,0.313121830855541
"51",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
