"","ID","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"1",7,0.249410349238458,0.3501167733211,0.418996409710586,0.210935743153828,0.284354672854441,0.187363104485025,0.254907967769756,0.152680730186416,0.223454314743595,0.233834930047887,0.311286154389571,0.231540852010992,0.35914392321915,0.272867267528313,0.344539011141796,0.169320564657402,0.14249131380683,0.157602906653231,0.264445001275177,0.351164885204907,0.266276887701701,0.25227216109118,0.231891324064546,0.237038180981601,0.294225564705387,0.236785590198653,0.147453347484828,0.314999228280415,0.287797617696469,0.139384971296677,0.296412582308019,0.204641554721213,0.350397386073879,0.227165789875374,0.260274953186533,0.241501648213168,0.109554970660884,0.184997765571613
"2",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",27,0.172897686247296,0.213346535515293,0.267391180532927,0.0832497330651821,0.190949959169399,0.298207355615954,0.240249039734588,0.171765959849446,0.157361558623318,0.093169508811166,0.375055385247212,0.0624385949766119,0.095456872201321,0.188056566382985,0.187808783974217,0.277180668013915,0.166502813749442,0.25677082001536,0.095456814443885,0.0832510353192411,0.14643087886196,0.0416257512260106,0.0416257512458338,0.19076188802279,0.228263175030659,0.145689364886882,0.0624385949964352,0.0834991573612061,0.239335110817063,0.200852120971243,0.176776695293277,0.139781658805951,0.228520340089457,0.173316734537197,0.236736857779494,0.270031125631344,0.0208129074603371,0.176775346600995
"8",28,0.204124129055703,0.249227215379287,0.38137584146616,0.256850581344536,0.191445124107507,0.281913645897636,0.204124145231941,0.206005509960205,0.197398217365742,0.276385371375958,0.144337552046389,0.327495161682578,0.188398052490308,0.263523139719977,0.29462783670156,0.270030863801867,0.121080517105032,0.224811302796916,0.206005507593989,0.13028932475805,0.237333442000258,0.194444449476035,0.306186214843849,0.178945789337328,0.204124159560432,0.172356578071746,0.155902401705356,0.361111108363728,0.307443663623749,0.253828718929515,0.121080523165167,0.228217700979394,0.0941990320872967,0.357891567398492,0.242161061523413,0.130289317275323,0.176776667278584,0.244539095573066
"9",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",35,0.234023185472879,0.167730905052394,0.172145630761319,0.13893889527594,0.253495871704799,0.0394736842105264,0.0962417028837356,0.149637913238877,0.119149804449176,0.0657894736842107,0.195974610638148,0.152313643457766,0.0938124984044186,0.173979679564024,0.0962417028837355,0.115335033265831,0.155129291086205,0.0131578947368421,0.214464266287678,0.102062072615966,0.186313187611925,0.164517538013255,0.188851317031675,0.189993803660443,0.196268866976004,0.164517538013255,0.14691345810916,0.204124145231931,0.183268266805054,0.343997801642141,0.065789473684211,0.245104421186805,0.100351413935505,0.152313643457767,0.155129291086205,5.55111512312578e-16,0.126548579353101,0.173398222813779
"12",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
