"","ID","Happy","Relaxed","Sad","Stressed","Angry"
"1",45876,0.0671822328602819,0.0935879876301429,0.044076822395123,0.0957722502701045,0.0219554513916817
"2",46729,0.123161348131913,0.142393465337353,0.118092891092607,0.109880457586536,0.0860111287051891
"3",56782,0.0966804536396972,0.101048209130067,0.0649085158038555,0.0825127874168985,0.107177562978768
"4",84639,0.221179356738563,0.275993022719259,0.177279188944734,0.245145873225245,0.0848054673291549
"5",154485,0.172110859303967,0.243513857366454,0.0786185842967409,0.178320216141903,0.227638970522245
"6",175961,0.248780848700875,0.168788882386146,0.173633110201419,0.161031597239688,0.127466067798766
"7",230649,NA,NA,NA,NA,NA
"8",269797,0.1534385527319,0.15444730106996,0.131467590518613,0.163392292410992,0.122255272484505
"9",283922,0.11176166152656,0.0737030025245703,0.123084463230904,0.0847892469156938,0.142120222994637
"10",483952,0.203431434321915,0.246427940729044,0.129550284690015,0.255110806641329,0.211190455340704
"11",542921,0.134121379066269,0.13012401440914,0.0727639055953811,0.125140801830528,0.0754713432501814
"12",543670,NA,NA,NA,NA,NA
"13",580800,0.0993109640398667,0.124758561872872,0.0176221590022576,0.0857743966851455,0.0291182094126788
"14",600011,0.0991257422994397,0.0937850141921452,0.0396871415245983,0.0873107231251608,0.0279488962333476
"15",621190,0.124752256643984,0.127342176374444,0.116703133034399,0.118610383293618,0.0742467566221355
"16",631524,0.132785323397963,0.131969653985323,0.07396554499879,0.115293277036293,0.0580000006618558
"17",709845,NA,NA,NA,NA,NA
"18",718883,0.126918518792831,0.14501501887835,0.148531115940882,0.224077382909986,0.122982115446373
"19",735244,0.0330801296987557,0.056688030201539,0.0227249622104995,0.0284998541552555,0.028822356963492
"20",855701,0.0839713092030987,0.105098259120732,0.0714536352737051,0.0844685536629408,0.0628836281020397
"21",1024119,0.0657541431535636,0.0959340077785396,0.134400899114628,0.144229415046537,0.0579996353336402
"22",1095723,0.0860705796773588,0.0944258566438944,0.0644359380818064,0.0935701571409726,0.0953655163414431
"23",1115262,0.195878811897574,0.202150977409278,0.1137202892346,0.178585076332659,0.090059806478629
"24",1143997,0.181538096866441,0.138861376378404,0.261016436576903,0.248174769555136,0.177044327105544
"25",1190767,0.109426032746965,0.0878555075562591,0.0597941242903847,0.119942170192386,0.0717915809423002
"26",1217508,0.134175513122753,0.183041321371798,0.103807148527534,0.177201866714412,0.150530650896552
"27",1303462,0.195846134819927,0.141477866957106,0.179191771472565,0.27330257358669,0.111171574517921
"28",1356094,0.115925146367113,0.266944383109558,0.0319063507809015,0.131875181645278,0.00513752252844751
"29",1421052,0.111840070704908,0.0798186674234675,0.132950807731885,0.104257914462512,0.27580077345861
"30",1462424,0.105474223572311,0.0919236640261154,0.124825160482374,0.137783794460885,0.0727616061809122
"31",1541444,0.1267342679711,0.145523514336351,0.0744927401363028,0.143290903444877,0.138554831311278
"32",1632073,0.148941642553943,0.215485105679666,0.156974817111689,0.181244359185176,0.170313626387467
"33",1661817,0.158787227717876,0.166715848923071,0.218083800852622,0.13899371041026,0.18072436504301
"34",1670119,0.18800304090847,0.151593739147524,0.07345117236113,0.125913942306066,0.0250390080289895
"35",1700139,NA,NA,NA,NA,NA
"36",1844703,0.124363168886794,0.132684020714108,0.0884971872677872,0.097070779021254,0.103349347767475
"37",2011403,NA,NA,NA,NA,NA
"38",2031649,0.19488113821094,0.244758756366721,0.131878204487252,0.241003051185836,0.128606164910655
"39",2098152,0.039203278246492,0.0514046302009777,0.188343914446006,0.0676371609466078,0.0982734794260884
"40",2182590,0.0682962370600781,0.169683114387219,0.00639017506183024,0.106969409066738,0.00135406052201267
"41",2197307,0.0976064086242243,0.111262821938062,0.114024066167834,0.131859027164495,0.10364303838368
"42",2199641,0.0503855985856918,0.148116315433668,0.0594232437498321,0.0782613956312476,0.0172498106070936
"43",2430222,0.0636302031058838,0.0809592089714504,0.0821116558462293,0.0674731247844787,0.0927814067980385
"44",2482155,NA,NA,NA,NA,NA
"45",2608190,0.0907996977016258,0.121979317345828,0.176575624461233,0.168932626276438,0.16784168546208
"46",2632561,0.0366354000480819,0.0407161269172931,0.13937518966022,0.0681696175544471,0.0717899319055749
"47",2672189,0.172748705608958,0.186275206620538,0.152713174756168,0.211562122440194,0.0232254809659728
"48",2733379,0.046492803036307,0.181134619996561,0.0524199469874681,0.136636139500548,0.0495222331907412
"49",2751400,0.217963909482375,0.293983648035624,0.0975290393969685,0.259612795859704,0.0347369077453252
"50",2797518,0.076643813871548,0.0821341680559387,0.137184702341327,0.13328573945701,0.103226616821699
"51",2842994,0.0269487075725536,0.0356636484663864,0.0383662194988803,0.0590014329774519,0.0493733502218058
"52",2891334,0.0471242092634489,0.0870163008655349,0.0305583990538923,0.0388543620364306,0.0156913434005117
"53",2980289,0.234352063962537,0.375182453618125,0.155909423929346,0.155378972903314,0.160670424092675
"54",3018346,0.225112491353372,0.217998727164933,0.256248763574944,0.197221287444599,0.232781468687374
"55",3036591,0.179313056481746,0.148644533346617,0.242604475097642,0.193206111023996,0.135828603546165
"56",3136377,NA,NA,NA,NA,NA
"57",3149920,0.215967265208687,0.214743074387345,0.0513916871951056,0.105118447936012,0.020339413776843
"58",3181171,0.123444306882983,0.112691742652859,0.177445154595065,0.140538805872516,0.150148082841296
"59",3253266,0.14376257071225,0.113217396677414,0.157127766736959,0.148710150682373,0.162510262281229
"60",3257787,0.235753977474991,0.246683497835113,0.198427863634979,0.223096402515959,0.179817217218651
"61",3364897,0.0797234926537433,0.103633494582163,0.0723368516258669,0.0851682959632661,0.0798953811366386
