"","ID","Angry","Stressed","Anxious","Sad","Happy","Relexed"
"1",1,0.0927044519675622,0.150104251326003,0.163702051926399,0.203431498737064,0.155100115386072,0.238845358972168
"2",2,0.174312960370565,0.209742612033441,0.20707650520069,0.147713545167048,0.139855266667627,0.185658405887512
"3",3,0.0316276460711301,0.175958308900472,0.184170214979402,0.0148218872350819,0.195105411124703,0.208280216316691
"4",4,0.246458673166944,0.0951972870498334,0.163729791047775,0.180523025471017,0.12343150774033,0.100759611323159
"5",5,0.177818412919456,0.365419983048278,0.197306458542653,0.235700382803856,0.30998920319265,0.172051426135376
"6",6,NA,NA,NA,NA,NA,NA
"7",7,0.0854018538831732,0.325935212127645,0.249769268505881,0.322388979308729,0.2744697651831,0.227437567662297
"8",8,NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,NA,NA
"10",10,0.0848605385001603,0.122524335053126,0.153128100330586,0.0603273059407814,0.0801029031548791,0.141530554330029
"11",12,NA,NA,NA,NA,NA,NA
"12",13,0.288118216381597,0.202741458157391,0.304178766206158,0.169273058902688,0.228997713950696,0.166191721481208
"13",14,0.219019661260152,0.220192732962511,0.140862459859812,0.164530899059953,0.134980937273795,0.160729086286692
"14",15,0.113288686669902,0.132494144644289,0.219226522763965,0.0736802793712115,0.236591067344585,0.314305968238454
"15",16,0.157770201024189,0.199180955863431,0.25026742219756,0.144709019511358,0.063111059069145,0.0968841517597722
"16",17,0.0940879279447197,0.106488086922297,0.0854402620037284,0.0923254332476337,0.108036177480048,0.0957134842275552
"17",18,NA,NA,NA,NA,NA,NA
"18",19,NA,NA,NA,NA,NA,NA
"19",20,0.131864150863433,0.21083312993679,0.209462621981678,0.095017225997173,0.0968314833935229,0.13888487821734
"20",21,0.148362540830739,0.126347988192028,0.129876731995155,0.180550059769801,0.148878826611759,0.153079190247999
"21",22,NA,NA,NA,NA,NA,NA
"22",23,0.153624969325039,0.301874501439542,0.281673431848385,0.151485153932178,0.187765010382201,0.082503037772658
"23",24,0.0415256716961609,0.0819275338859689,0.124573118499177,0.116625565316178,0.074878449395314,0.196199850703149
"24",25,0.112810559132405,0.120245693885649,0.107354727932955,0.157488371420254,0.0773710099008746,0.160538204488768
"25",26,0.179918718709952,0.268907422931796,0.234996753522074,0.312433251870821,0.338470479772099,0.121951466863754
"26",27,0.225931612461618,0.222924826732148,0.250907680394613,0.194199087878314,0.291130511386583,0.143566532300034
"27",28,0.307589523748617,0.379414521756556,0.335885320046238,0.205500897404678,0.282599968940109,0.347617036873683
"28",29,0.400336268572507,0.186940553575856,0.184878740512954,0.194821208776906,0.278541054411225,0.231062285226983
"29",30,0.249560618728671,0.18623368933207,0.13070139835385,0.183782914021658,0.240354859594454,0.343096212698774
"30",31,0.0749182772589093,0.151945948617995,0.164256670104495,0.107676195475775,0.13833743414622,0.109064974810299
"31",32,0.121049912990349,0.225173911318788,0.212720123009114,0.124137712866129,0.128117360880816,0.032616419550072
"32",33,0.305542176832399,0.239111537309721,0.404754375794053,0.410014592511456,0.382642474754781,0.153478100511514
"33",34,0.163990918981528,0.113848133830916,0.182285872688987,0.156192426229503,0.0996023841111994,0.168447794667979
"34",35,0.107459848390193,0.256580069764431,0.277293224951337,0.358660791109831,0.107240792917877,0.183188976522353
"35",36,0.146061513342814,0.190251824336773,0.0916076892171663,0.144488761199147,0.197725756355056,0.113028748084789
"36",37,0.186793437041526,0.201211940291991,0.211194118416919,0.0868686497951861,0.216500039032519,0.179623768738184
"37",38,0.194008800275629,0.207439347484212,0.125995351063765,0.164248968956528,0.104619611828604,0.132365409978491
"38",40,0.194830486441668,0.148614746918043,0.241502942708895,0.0581013257141339,0.0903879412421745,0.343300337443844
"39",41,0.197753220255758,0.183509103967434,0.208138043959736,0.185811424239202,0.233404244220037,0.290853570882782
"40",42,0.0725723136639261,0.212478607698154,0.268155813229995,0.316363116927082,0.302625310244412,0.208783702297564
"41",43,0.140559164329964,0.0903096791232522,0.145272462203824,0.105272432917579,0.111423288324881,0.0796180382148484
"42",44,0.180049897068422,0.127674147798942,0.129746348785102,0.101796658215544,0.0533045307728809,0.0856079120562156
"43",45,0.261443700095482,0.333909536083956,0.287793821588112,0.295305720370265,0.187523455197004,0.157517894991877
"44",46,0.0886948197304867,0.0565389160665424,0.212684028348716,0.147360671647726,0.0936181195162515,0.159437200798447
"45",47,0.138761711115997,0.0753260594247541,0.233910603784444,0.163195011033657,0.236892741556174,0.185508541594011
