"","ID","Excited","Worried","Anxiety","Sad","Relaxed"
"1",10720,0.0151261973978661,0.0407548968905449,0.00360349984389228,0.0168563241228721,0.0422125570010096
"2",10722,0.0321153901580377,0.0704750932192726,0.0536233724452673,0.0275996940559739,0.0938076156912554
"3",10724,0.0308751793197054,0.11157126657989,0.0883441364072695,0.0968808013346759,0.0462652433094817
"4",10725,0.0326786979371175,0.00672747794562042,0.00111371515577521,0.0125214858068523,0.030031078590138
"5",10726,0.0768585204596536,0.0284778769389013,0.0268775614188191,0.0711875505620699,0.0876702791978133
"6",10727,0.0370284715860004,0.0115798460535743,0.0439222944788543,0.0812850358834307,0.0804839715912367
"7",10728,0.0140477905609829,0.106508452169148,0.0379331043766945,0.027892431935739,0.0853186909270479
"8",10729,0.100736904588973,0.0236636686361152,0.0129425897520057,0.0595931202947359,0.0504525649281907
"9",10732,0.028740511922864,0.23655770849096,0.0242668677320665,0.0937840520774209,0.0493000545706441
"10",10734,0.0490722358351945,0.155780282383683,0.0321744554519178,0.048010009649377,0.0285374680951482
"11",10735,0.00686680765393691,0.199310791002809,0.0541901505331287,0.0444797446407174,0.0611806669348794
"12",10736,0.0688663762067155,0.106968546464577,0.00470731023242208,0.0386912571145955,0.169707883680148
"13",10737,0.0393200979604434,0.0495845910334641,0.056389483561166,0.204935705839234,0.0698024283212108
"14",10738,0.171358275631799,0.0185055689604332,0.013277490848011,0.126965918975162,0.0540514046914883
"15",10739,0.012580981586162,0.0742291626544091,0.00657947500314407,0.0295523273118977,0.0929164574825151
"16",10740,0.0482465317476183,0.00759188886000029,0.00146604270526688,0.00737104134145578,0.064710796993009
"17",10741,0.0659767530317919,0.0344642152924551,0.0135851876216713,0.0500537461190294,0.0920639985427848
"18",10742,0.0551555617519611,0.0498306187313277,0.0642510323156394,0.0344254361017737,0.0854065862607107
"19",10744,0.0489022906789613,0.0289235651997968,0.0161868003856679,0.0308188293471711,0.0432889208833612
"20",10746,0.102616466464561,0.113099153489234,0.00717377310783058,0.0561366792350911,0.0132711111534396
"21",10747,0.0325545805231245,0.198835223979729,0,0.0260342584180047,0.154044614871888
"22",10748,0.0711009508459735,0.147779966596271,0.084566230928438,0.124161678226217,0.0741919382931322
"23",10750,0.115707415481493,0.134041239207648,0.101584765785195,0.167109418438667,0.0745114324265756
"24",10751,0.0150943407085999,0.136082687241779,0.105872487730547,0.0231948169849654,0.0348908408501921
"25",10753,0.0464772174293975,0.0529799012539757,0.00823334332927452,0.0532643741666083,0.172236196600604
"26",10754,0.0938769828454528,0.00881416064188471,0.000981848971010066,0.0101442659476966,0.00804145045571671
"27",10755,0.0112795651567515,0.00873128319575915,0.00659268746489985,0.00123563072691037,0.0400225688967444
"28",10756,0.084613993207044,0.0493201206697703,0.0255409051274768,0.188244871167618,0.0346113814968305
"29",10757,0.0392757844557875,0.0272992992474117,0.0338376357060669,0.0369231870458233,0.052679421498613
"30",10758,0.0551704101266006,0.0269035381057292,0.0102388823099838,0.0323946688652809,0.0483086404182095
"31",10759,0.0840091361329604,0.0376304506117556,0.0475712092456295,0.0527994927198819,0.0894154185431731
"32",10760,0.0669643197896171,0.112030405269664,0.0757462657140778,0.0701848578698542,0.0630224651004166
"33",10761,0.0957537121515491,0.154948012005857,0.106244455616702,0.15206528946023,0.0850703310970586
"34",10762,0.0687852162468709,0.180379905838088,0.0022323352170052,0.100922823697024,0.12932251724704
"35",10763,0.00138232751276227,0.0210178102255984,0.00211566728573816,0.0291336272225546,0.0490273082200831
"36",10764,0.0426640365189117,0.0497541480327197,0.0344929194416004,0.0587245172845928,0.0507415660023869
"37",10765,0.0213848778202444,0.0962130064510804,0.0258612148929272,0.0463570053556966,0.105906272770265
"38",10766,0.0139824162186244,0.0347580422929663,0.011648384200172,0.0907517619133752,0.0120579255717757
"39",10768,0.0417318523281996,0.0765737922903503,0.0356249481063465,0.0402226803352664,0.100789492858662
